image_id,binary_label,source_dataset,generator,canonical_generator_id,prompt_group,real_domain,path,sha256,fold_1_role,fold_2_role,fold_3_role,fold_4_role
pilot_000000,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_11602.JPEG,0c15d4ba0506219a72f8a72c68475a377c81388d11874d4c8df56e2fa9995f7c,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION
pilot_000001,1,Tiny-GenImage,ADM,tiny::ADM,,,data/raw/tiny-genimage/images/ADM/0_adm_123.PNG,d55272c734d1bb6e0edd9a2461eee49859ee1aae951efcd9deac7101626064cc,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000002,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_5969.JPEG,c5a86af3f9e695ab89a4c909e01cb47a6135406411f9dcb04475bb2e8d5f3847,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000003,1,Tiny-GenImage,BigGAN,tiny::BigGAN,,,data/raw/tiny-genimage/images/BigGAN/000_biggan_00093.png,7862522839d96dffe5fe708837c0922384c8b0dc2442da3bcde90714f78b487f,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000004,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_2751.JPEG,52ba4933f3a0a7aeb561eb2a7ab33aef76be5a8bd448f3ed3874a36d9d208869,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT
pilot_000005,1,Tiny-GenImage,GLIDE,tiny::GLIDE,,,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_001_glide_00086.png,afea950148d53be152039ccaea075d54b4bfe9e5575e8b8a407cf9d7594bd88f,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000006,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_15678.JPEG,5edfae364f5c1fda3795ea5f5cdff1ee2b734f8867adfde598fbdf2b148a0ff9,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000007,1,Tiny-GenImage,Midjourney,tiny::Midjourney,,,data/raw/tiny-genimage/images/Midjourney/0_midjourney_161.png,5dd4821edd69f0dc4f44aceb2c2cc5fb3a4695b8fceb305d44997ec96578ba46,TRAIN,TRAIN,TRAIN,HOLDOUT_VALIDATION
pilot_000008,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_12548.JPEG,da1cab33e5019105f4a0c4a39b2214abb4148a4ce6a432ace08c8c8d6c65d949,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000009,1,Tiny-GenImage,SD15,tiny::SD15,,,data/raw/tiny-genimage/images/SD15/001_sdv5_00094.png,4c410f7fd60b219356275c0d7e0f47f261ab37730ac5865002a60554641211e4,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
