image_id,source_dataset,dataset_revision,license,acquisition_date,domain,class_name,label,generator,native_path,source_hf_path,width,height,format,mode,sha256,provenance_verified
MLLM_HYB_GPT-Image2-fake_1,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/1.png,images/Raw/Hybrid Images/GPT-Image2-fake/1.png,941,1563,PNG,RGB,1e4b1bceb48733b15aadab42187f8555c560d7dcdb23fd48dee18facedd253b4,true
MLLM_HYB_GPT-Image2-fake_10,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/10.png,images/Raw/Hybrid Images/GPT-Image2-fake/10.png,941,1563,PNG,RGB,07732df3a9d8f0efa4ad3ba2e505109f761ff8195b1ba4b6a5dd7edfd516c71f,true
MLLM_HYB_GPT-Image2-fake_100,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/100.png,images/Raw/Hybrid Images/GPT-Image2-fake/100.png,1448,999,PNG,RGB,8a852b9bc97fbf038373f16b074efc243d37811d01f1d06434de9db3f74e58e2,true
MLLM_HYB_GPT-Image2-fake_101,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/101.png,images/Raw/Hybrid Images/GPT-Image2-fake/101.png,1448,999,PNG,RGB,c04e87771ce5d2a723a16f123162aa50d168efcc6b22e49da76eb149d56714c4,true
MLLM_HYB_GPT-Image2-fake_102,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/102.png,images/Raw/Hybrid Images/GPT-Image2-fake/102.png,941,1538,PNG,RGB,81addb2dad28f33d9e8451320c2894807cc1a3b0aad52129c162568acf9b4732,true
MLLM_HYB_GPT-Image2-fake_103,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/103.png,images/Raw/Hybrid Images/GPT-Image2-fake/103.png,941,1538,PNG,RGB,bfb5532d08b09aa605c4436549281fcce70c73b250267343b9fef9296726cd9e,true
MLLM_HYB_GPT-Image2-fake_104,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/104.png,images/Raw/Hybrid Images/GPT-Image2-fake/104.png,941,1538,PNG,RGB,b6c3e5aa4ab6271ca8917a1a7cfe6da9169b8c48dd0d046ee6607819be99080c,true
MLLM_HYB_GPT-Image2-fake_105,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/105.png,images/Raw/Hybrid Images/GPT-Image2-fake/105.png,1122,1290,PNG,RGB,7408b444a214762e99a0a4db624d19e74f3a9697c677fd2ddf0616469dbda482,true
MLLM_HYB_GPT-Image2-fake_106,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/106.png,images/Raw/Hybrid Images/GPT-Image2-fake/106.png,1122,1290,PNG,RGB,48e03f6bd9daf486b0ef49e13860844b5d2ca97b6524d0c35eff5106657ea594,true
MLLM_HYB_GPT-Image2-fake_107,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/107.png,images/Raw/Hybrid Images/GPT-Image2-fake/107.png,1122,1290,PNG,RGB,eff123d1852879798842b99661532a2a5035517338a586c46cbacf8815fad15c,true
MLLM_HYB_GPT-Image2-fake_108,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/108.png,images/Raw/Hybrid Images/GPT-Image2-fake/108.png,941,1538,PNG,RGB,aaeeea7ef6bd14c2b5da9c2ef933f62a43dae9c991676b5fa870ed2244e71cb7,true
MLLM_HYB_GPT-Image2-fake_109,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/109.png,images/Raw/Hybrid Images/GPT-Image2-fake/109.png,941,1538,PNG,RGB,cd457ce623c3836b786a5bdebbacfca19f97b6f3fecec416a7540db24edc0181,true
MLLM_HYB_GPT-Image2-fake_11,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/11.png,images/Raw/Hybrid Images/GPT-Image2-fake/11.png,941,1563,PNG,RGB,01ecbcb4067c86cfbb67d67fecaaa561fa6646bb0429dcb0ba249ab1a32e6702,true
MLLM_HYB_GPT-Image2-fake_110,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/110.png,images/Raw/Hybrid Images/GPT-Image2-fake/110.png,941,1538,PNG,RGB,6e7b4e6c44d7ca4b3579b2491804551b69d4b519f934698ba2c20cb4e3289483,true
MLLM_HYB_GPT-Image2-fake_111,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/111.png,images/Raw/Hybrid Images/GPT-Image2-fake/111.png,941,1538,PNG,RGB,612a3123d5469559a47c068054c420ddeb6c4b81f85277195b985bf249e08c36,true
MLLM_HYB_GPT-Image2-fake_112,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/112.png,images/Raw/Hybrid Images/GPT-Image2-fake/112.png,941,1538,PNG,RGB,429e14e20aa072ca98377e552c28104b3c7a84439c647614d8d8a0a3894ff394,true
MLLM_HYB_GPT-Image2-fake_113,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/113.png,images/Raw/Hybrid Images/GPT-Image2-fake/113.png,941,1538,PNG,RGB,1e702fe4efaf6c6f4645c8fbf73e0997611b0732601508c194b31d2db8eb8ab8,true
MLLM_HYB_GPT-Image2-fake_114,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/114.png,images/Raw/Hybrid Images/GPT-Image2-fake/114.png,941,1538,PNG,RGB,ca25f4ade0f6b589cf313f1985908c81e95680402f5214a7a90d738649483172,true
MLLM_HYB_GPT-Image2-fake_115,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/115.png,images/Raw/Hybrid Images/GPT-Image2-fake/115.png,941,1538,PNG,RGB,9d3021f0065a6fccd55227f03ddc49d5e3fa95eae4125d386afb5d0a0d1eae0d,true
MLLM_HYB_GPT-Image2-fake_116,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/116.png,images/Raw/Hybrid Images/GPT-Image2-fake/116.png,941,1538,PNG,RGB,5ba3a36c5eaccfcfca1e0ed7759cbdcaf61d93a5ffb16149a9ef2aa380a78d19,true
MLLM_HYB_GPT-Image2-fake_117,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/117.png,images/Raw/Hybrid Images/GPT-Image2-fake/117.png,941,1538,PNG,RGB,66303308e8d8feefe2565f1caabe69f4c3080181c8fe322ae4cd3b9551a70434,true
MLLM_HYB_GPT-Image2-fake_118,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/118.png,images/Raw/Hybrid Images/GPT-Image2-fake/118.png,941,1538,PNG,RGB,e0b107cbe46a8706ea38e7ea46288113f01452df0f3cc5e8105c47956ff2e3cf,true
MLLM_HYB_GPT-Image2-fake_119,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/119.png,images/Raw/Hybrid Images/GPT-Image2-fake/119.png,941,1538,PNG,RGB,89a96d621f2d91921a60b53c3cf3ded86b5ebc2256354cccc81dc97c566eec07,true
MLLM_HYB_GPT-Image2-fake_12,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/12.png,images/Raw/Hybrid Images/GPT-Image2-fake/12.png,941,1563,PNG,RGB,f9e56ab26b10d1c01c6c48a335182eff704ff508215bf73cfe3464643146cbdc,true
MLLM_HYB_GPT-Image2-fake_120,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/120.png,images/Raw/Hybrid Images/GPT-Image2-fake/120.png,941,1538,PNG,RGB,bad5cd9fdc42c9ad1a9dc28a6062723ee60e9976242c5118a7a56117c317ad67,true
