image_id,prompt_id,generator,source_dataset,dataset_revision,label,native_path,source_hf_path,width,height,format,sha256,provenance_status
QWEN_0042_Qwen_Image_20_pro,42,Qwen-Image-2.0-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2.0-pro/000042_32a2b808.png,images/Qwen-Image-2.0-pro/000042_32a2b808.png,1024,1024,PNG,8269ee6d1bcd8e08c92e7f80601894a6bb5be4f5d85f0379bdd71154039dfc50,verified
QWEN_0042_gpt_image_2,42,gpt-image-2,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/gpt-image-2/000042_001c7df0.png,images/gpt-image-2/000042_001c7df0.png,1024,1024,PNG,0228f8a344f108ef8c0ff3ea4e4266c27b8de72831a9961c682428c2e20e64ab,verified
QWEN_0042_FLUX2_max,42,FLUX.2_max,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2_max/000042_019b6e43.jpg,images/FLUX.2_max/000042_019b6e43.jpg,1024,1024,JPEG,053e267cc0d614d5781309a6a37e6ba92d6b3062db9e9ce385bec13bf7f13f1a,verified
QWEN_0042_nano_banana_20,42,nano-banana-2.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-2.0/000042_09f2c3ed.jpg,images/nano-banana-2.0/000042_09f2c3ed.jpg,1024,1024,JPEG,d7378d00aa7bcc19502664a26e489630d8006cd8cf5d2203baec714ec95d6858,verified
QWEN_0042_nano_banana_pro,42,nano-banana-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-pro/000042_04d62c8c.png,images/nano-banana-pro/000042_04d62c8c.png,1024,1024,PNG,ea624b4490777d02453b059e5510435c852b2d82ed12b4615feb4e32e9723c0d,verified
QWEN_0042_Seedream_40,42,Seedream-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.0/000042_acc426da.jpg,images/Seedream-4.0/000042_acc426da.jpg,1024,1024,JPEG,25bb526e858480e4a4f9b01af93ff9f9dfcdd5c86e0578be6ef0b6d7b715a56d,verified
QWEN_0042_Seedream_45,42,Seedream-4.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.5/000042_b7cb535c.jpg,images/Seedream-4.5/000042_b7cb535c.jpg,1024,1024,JPEG,2a205cab6c57eb2f4a2d2973b954401e68ac1f8fd2ed9c51d431c96dd5505150,verified
QWEN_0042_Seedream_50,42,Seedream-5.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-5.0/000042_07d81e71.jpg,images/Seedream-5.0/000042_07d81e71.jpg,1024,1024,JPEG,3682fc15a29d7a2716da2987d897c03de9654ae7af8e65236d7fb1bf6b4390a6,verified
QWEN_0042_GLM_Image,42,GLM-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GLM-Image/000042_4d697913.jpg,images/GLM-Image/000042_4d697913.jpg,1024,1024,JPEG,71373b8ee7ee0dd53083036a0aa798c5185e2db49012323926f7d089cf22ebf8,verified
QWEN_0042_kling_v2_1,42,kling_v2_1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/kling_v2_1/000042_96001a15.jpg,images/kling_v2_1/000042_96001a15.jpg,1024,1024,JPEG,5283e0307d306353e8089a8ab367fb0f29d78a133ba8aefdfff348b18a1b0986,verified
