image_id,raw_path,processed_path,label,generator,original_filename,original_format,original_width,original_height,original_aspect_ratio,original_mode,processed_format,processed_width,processed_height,processed_mode,processing_version,raw_sha256,processed_sha256,processing_failed,failure_reason
pilot_000000,data/raw/tiny-genimage/images/Real/n01440764_11602.JPEG,data/processed/controlled_v1/images/Real/pilot_000000.jpg,0,Real,n01440764_11602.JPEG,JPEG,400,300,1.333333,RGB,JPEG,224,224,RGB,controlled_v1,0c15d4ba0506219a72f8a72c68475a377c81388d11874d4c8df56e2fa9995f7c,8694c078f0645a5ae987d4b99167d11921d41b599831e8d60d48457e957a34dc,False,
pilot_000001,data/raw/tiny-genimage/images/ADM/0_adm_123.PNG,data/processed/controlled_v1/images/ADM/pilot_000001.jpg,1,ADM,0_adm_123.PNG,PNG,256,256,1.0,RGBA,JPEG,224,224,RGB,controlled_v1,d55272c734d1bb6e0edd9a2461eee49859ee1aae951efcd9deac7101626064cc,09862d2071682e77d1f9aa5e93aed97f8c7544d736ba78f3a15b7a158b60a709,False,
pilot_000002,data/raw/tiny-genimage/images/Real/n01440764_5969.JPEG,data/processed/controlled_v1/images/Real/pilot_000002.jpg,0,Real,n01440764_5969.JPEG,JPEG,300,367,0.817439,RGB,JPEG,224,224,RGB,controlled_v1,c5a86af3f9e695ab89a4c909e01cb47a6135406411f9dcb04475bb2e8d5f3847,edab8228427da99d202e67651717f72b1df90c21f73bd81d4ca49786e7c7821f,False,
pilot_000003,data/raw/tiny-genimage/images/BigGAN/000_biggan_00093.png,data/processed/controlled_v1/images/BigGAN/pilot_000003.jpg,1,BigGAN,000_biggan_00093.png,PNG,128,128,1.0,RGB,JPEG,224,224,RGB,controlled_v1,7862522839d96dffe5fe708837c0922384c8b0dc2442da3bcde90714f78b487f,89ce6f6f1dc3e0a27941871a3b1ba44a962dbfdea6fba3cd9fe13dec155b2c6b,False,
pilot_000004,data/raw/tiny-genimage/images/Real/n01440764_2751.JPEG,data/processed/controlled_v1/images/Real/pilot_000004.jpg,0,Real,n01440764_2751.JPEG,JPEG,500,375,1.333333,RGB,JPEG,224,224,RGB,controlled_v1,52ba4933f3a0a7aeb561eb2a7ab33aef76be5a8bd448f3ed3874a36d9d208869,ef6ccc56fefa40ea6ede40d87274ad00c2d6adabbdff42ba851e44adec466ba4,False,
pilot_000005,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_001_glide_00086.png,data/processed/controlled_v1/images/GLIDE/pilot_000005.jpg,1,GLIDE,GLIDE_1000_200_00_001_glide_00086.png,PNG,256,256,1.0,RGB,JPEG,224,224,RGB,controlled_v1,afea950148d53be152039ccaea075d54b4bfe9e5575e8b8a407cf9d7594bd88f,ef4950248ce9bcb5687daa67a4578507442c80e4a86e83b0e9894f4bdb415834,False,
pilot_000006,data/raw/tiny-genimage/images/Real/n01440764_15678.JPEG,data/processed/controlled_v1/images/Real/pilot_000006.jpg,0,Real,n01440764_15678.JPEG,JPEG,240,180,1.333333,RGB,JPEG,224,224,RGB,controlled_v1,5edfae364f5c1fda3795ea5f5cdff1ee2b734f8867adfde598fbdf2b148a0ff9,6d967a06f4f6353968037f52251811a6a9496d6af47dc04bd6ae01baf7e34256,False,
pilot_000007,data/raw/tiny-genimage/images/Midjourney/0_midjourney_161.png,data/processed/controlled_v1/images/Midjourney/pilot_000007.jpg,1,Midjourney,0_midjourney_161.png,PNG,1024,1024,1.0,RGB,JPEG,224,224,RGB,controlled_v1,5dd4821edd69f0dc4f44aceb2c2cc5fb3a4695b8fceb305d44997ec96578ba46,1b69183912ea3b5c9926769c80a3c0e9a88900cb941726d5e867ef5e3feeb52f,False,
pilot_000008,data/raw/tiny-genimage/images/Real/n01440764_12548.JPEG,data/processed/controlled_v1/images/Real/pilot_000008.jpg,0,Real,n01440764_12548.JPEG,JPEG,310,263,1.178707,RGB,JPEG,224,224,RGB,controlled_v1,da1cab33e5019105f4a0c4a39b2214abb4148a4ce6a432ace08c8c8d6c65d949,f4911b600c4dea4c382e6b7c56126b46c01be935047df8bbbacd441ba8c5cebc,False,
pilot_000009,data/raw/tiny-genimage/images/SD15/001_sdv5_00094.png,data/processed/controlled_v1/images/SD15/pilot_000009.jpg,1,SD15,001_sdv5_00094.png,PNG,512,512,1.0,RGB,JPEG,224,224,RGB,controlled_v1,4c410f7fd60b219356275c0d7e0f47f261ab37730ac5865002a60554641211e4,b80eb94b737c43f6c5024cf6f94dae67b07d72f6aceb2257153de4a832a9b4a3,False,
pilot_000010,data/raw/tiny-genimage/images/Real/n01440764_24828.JPEG,data/processed/controlled_v1/images/Real/pilot_000010.jpg,0,Real,n01440764_24828.JPEG,JPEG,480,320,1.5,RGB,JPEG,224,224,RGB,controlled_v1,7a8f1a24e8c5036f10842a989288a7938065ac960f519054e4f9009c759923e7,208a2caf40f80c4744d4f968066d8b4e81b5b865d524b7d2fb4300efe237f844,False,
pilot_000011,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_001_vqdm_00085.png,data/processed/controlled_v1/images/VQDM/pilot_000011.jpg,1,VQDM,VQDM_1000_200_00_001_vqdm_00085.png,PNG,256,256,1.0,RGB,JPEG,224,224,RGB,controlled_v1,5d715759e54a649ad139d18b79d374b6e283028cd37d4df0c80b853ca34fa64a,bbe61b432b2e4143ca353fb38e52d437b3b914108385b12e7a8113f6ea52e11f,False,
pilot_000012,data/raw/tiny-genimage/images/Real/n01440764_14342.JPEG,data/processed/controlled_v1/images/Real/pilot_000012.jpg,0,Real,n01440764_14342.JPEG,JPEG,500,375,1.333333,RGB,JPEG,224,224,RGB,controlled_v1,af9503b14543a2367a2cebe3eac79de178f59749fdbd784c3b4a2b39b2c4de1b,6d7e5c1579e34e534f591d4aa005c068310bc69481126bf28694d5bd4ccb0c61,False,
pilot_000013,data/raw/tiny-genimage/images/Wukong/0_wukong_image104.png,data/processed/controlled_v1/images/Wukong/pilot_000013.jpg,1,Wukong,0_wukong_image104.png,PNG,512,512,1.0,RGB,JPEG,224,224,RGB,controlled_v1,aa3e5c7a2bad73cb3701b66abe36e7257036c183385f0e866b848a40d61b114e,10916c2e706b454503b27665ea17685d5e8dc704b9ce090efb906acab2487cf1,False,
pilot_000014,data/raw/tiny-genimage/images/Real/n01440764_13625.JPEG,data/processed/controlled_v1/images/Real/pilot_000014.jpg,0,Real,n01440764_13625.JPEG,JPEG,244,227,1.07489,RGB,JPEG,224,224,RGB,controlled_v1,27de8e99427ffc7c857c69bc4cfb40f92ca74cb4dfeb91bbe6463b372b5b0932,6b972b2f8618cc596cffc3693f6e697fc04d4f1a55bb8f3c12ad497fc4ae7ef6,False,
pilot_000015,data/raw/tiny-genimage/images/ADM/100_adm_127.PNG,data/processed/controlled_v1/images/ADM/pilot_000015.jpg,1,ADM,100_adm_127.PNG,PNG,256,256,1.0,RGBA,JPEG,224,224,RGB,controlled_v1,0c36b19b5ee3d43c55e2bfbe9601423d7f9ddd29e90e43d75f16073372e4d7ea,1678875ae709b4f3489f5832ce4d85469f06af8601cb3d02237208f0abedbe01,False,
pilot_000016,data/raw/tiny-genimage/images/Real/n01443537_4572.JPEG,data/processed/controlled_v1/images/Real/pilot_000016.jpg,0,Real,n01443537_4572.JPEG,JPEG,500,375,1.333333,RGB,JPEG,224,224,RGB,controlled_v1,aadefb43cca2b76a14e341ce414c120232e4481c68266110148a7755c802aba9,c3911309f708f698d1c3c4986952416ea8f2c2acd16a81c9c13638521744b231,False,
pilot_000017,data/raw/tiny-genimage/images/BigGAN/001_biggan_00033.png,data/processed/controlled_v1/images/BigGAN/pilot_000017.jpg,1,BigGAN,001_biggan_00033.png,PNG,128,128,1.0,RGB,JPEG,224,224,RGB,controlled_v1,3d5c62b727252d915265e7cd9b634e4ddf34df560630fbfeb74a7602f22ca2d7,f3f2ec0d3672adcb08d292625bb4c3ec2bbc4ca392c7238db29d0c17da238c34,False,
pilot_000018,data/raw/tiny-genimage/images/Real/n01440764_7819.JPEG,data/processed/controlled_v1/images/Real/pilot_000018.jpg,0,Real,n01440764_7819.JPEG,JPEG,250,187,1.336898,RGB,JPEG,224,224,RGB,controlled_v1,ab48025883bc975cbd0e77e7ed52d17ae9e746e6946fe32a7f1f6129f50d7595,620ba9c04c8619c31cc19f1fa12c06d97f39fdab215f4436b8a1c74b578006a9,False,
pilot_000019,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00060.png,data/processed/controlled_v1/images/GLIDE/pilot_000019.jpg,1,GLIDE,GLIDE_1000_200_00_002_glide_00060.png,PNG,256,256,1.0,RGB,JPEG,224,224,RGB,controlled_v1,747d5d531bdda5b9274aa25a42881bc8703efe2c354cbed624babe4de4c57c97,33a3dec0ab48c74249f3c927e3a730e77dd01224521d84cfa7fdb762b158acd2,False,
pilot_000020,data/raw/tiny-genimage/images/Real/n01440764_7277.JPEG,data/processed/controlled_v1/images/Real/pilot_000020.jpg,0,Real,n01440764_7277.JPEG,JPEG,350,239,1.464435,RGB,JPEG,224,224,RGB,controlled_v1,c7730500a01087e3d95f59091c2e1d2fedaddb0656c0434f6d156e57a40225dd,c3621609e1687281a98691c1d2b5b5adedeeeadff42612c3d980687faab95ac3,False,
pilot_000021,data/raw/tiny-genimage/images/Midjourney/0_midjourney_199.png,data/processed/controlled_v1/images/Midjourney/pilot_000021.jpg,1,Midjourney,0_midjourney_199.png,PNG,1024,1024,1.0,RGB,JPEG,224,224,RGB,controlled_v1,72af0afae4d274611dbf438df87230a694e1ba665b3c558ab04542979cd154d1,e70a4562ae66a637b7693bf643b71b916b3f579fc88baabb1ae2a0680d5487ae,False,
pilot_000022,data/raw/tiny-genimage/images/Real/n01440764_6169.JPEG,data/processed/controlled_v1/images/Real/pilot_000022.jpg,0,Real,n01440764_6169.JPEG,JPEG,400,300,1.333333,RGB,JPEG,224,224,RGB,controlled_v1,2d58f9ad5ce0813a9a13aa6a6e0b608615a47a44e5ae577c8215359e8fe6983e,47ff7decc414a65d1c0bad9d4f57d784ebb54db545924fc2da570e7f3a0454cb,False,
pilot_000023,data/raw/tiny-genimage/images/SD15/001_sdv5_00188.png,data/processed/controlled_v1/images/SD15/pilot_000023.jpg,1,SD15,001_sdv5_00188.png,PNG,512,512,1.0,RGB,JPEG,224,224,RGB,controlled_v1,c7136f8fcb8903483248afaa2ea25a52a3afcf84ec0cbf1aedee535fc8502559,3c881d94edef7a95ae9951bcf18cc5d6a7bd122db806c1268d88ca4f86513869,False,
pilot_000024,data/raw/tiny-genimage/images/Real/n01440764_8045.JPEG,data/processed/controlled_v1/images/Real/pilot_000024.jpg,0,Real,n01440764_8045.JPEG,JPEG,256,341,0.750733,RGB,JPEG,224,224,RGB,controlled_v1,374c42adbe19c385b22b35a6505710ea26f5b49c34b79276b46e52a2d951909b,9663f7ccb9efc2382fc7d9f893f0d3db13c6db476f66cddb02cca358d70607c3,False,
pilot_000025,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00088.png,data/processed/controlled_v1/images/VQDM/pilot_000025.jpg,1,VQDM,VQDM_1000_200_00_002_vqdm_00088.png,PNG,256,256,1.0,RGB,JPEG,224,224,RGB,controlled_v1,da3220d91e2183a9d54c13b55b811d91c40b064d8112d789cce3bb3f6a6dbb71,50aa8a701eb113a32198e7b23277520b5a7a0a569a65bc7e8b501d0a932e868b,False,
pilot_000026,data/raw/tiny-genimage/images/Real/n01440764_2577.JPEG,data/processed/controlled_v1/images/Real/pilot_000026.jpg,0,Real,n01440764_2577.JPEG,JPEG,500,375,1.333333,RGB,JPEG,224,224,RGB,controlled_v1,cd94faaa61d5f65d1649bb42d0eb863ca55aa00042046572a01b5cede5024fff,4bfa23a0fe5825fa80a97b8ae873efce9a8af6cd40cc0da803876ddfa63dc3ba,False,
