image_id,path,label,generator,generator_id,original_dataset,original_split,original_filename,shard,file_size
pilot_000000,data/raw/tiny-genimage/images/Real/n01440764_11602.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_11602.JPEG,data/train-00000-of-00014.parquet,14058
pilot_000001,data/raw/tiny-genimage/images/ADM/0_adm_123.PNG,1,ADM,1,Tiny-GenImage,train,0_adm_123.PNG,data/train-00000-of-00014.parquet,134103
pilot_000002,data/raw/tiny-genimage/images/Real/n01440764_5969.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_5969.JPEG,data/train-00000-of-00014.parquet,150144
pilot_000003,data/raw/tiny-genimage/images/BigGAN/000_biggan_00093.png,1,BigGAN,2,Tiny-GenImage,train,000_biggan_00093.png,data/train-00000-of-00014.parquet,32865
pilot_000004,data/raw/tiny-genimage/images/Real/n01440764_2751.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_2751.JPEG,data/train-00000-of-00014.parquet,168447
pilot_000005,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_001_glide_00086.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_001_glide_00086.png,data/train-00000-of-00014.parquet,64314
pilot_000006,data/raw/tiny-genimage/images/Real/n01440764_15678.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_15678.JPEG,data/train-00000-of-00014.parquet,23725
pilot_000007,data/raw/tiny-genimage/images/Midjourney/0_midjourney_161.png,1,Midjourney,4,Tiny-GenImage,train,0_midjourney_161.png,data/train-00000-of-00014.parquet,944629
pilot_000008,data/raw/tiny-genimage/images/Real/n01440764_12548.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_12548.JPEG,data/train-00000-of-00014.parquet,31133
pilot_000009,data/raw/tiny-genimage/images/SD15/001_sdv5_00094.png,1,SD15,6,Tiny-GenImage,train,001_sdv5_00094.png,data/train-00000-of-00014.parquet,413480
pilot_000010,data/raw/tiny-genimage/images/Real/n01440764_24828.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_24828.JPEG,data/train-00000-of-00014.parquet,91344
pilot_000011,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_001_vqdm_00085.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_001_vqdm_00085.png,data/train-00000-of-00014.parquet,110948
pilot_000012,data/raw/tiny-genimage/images/Real/n01440764_14342.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_14342.JPEG,data/train-00000-of-00014.parquet,173031
pilot_000013,data/raw/tiny-genimage/images/Wukong/0_wukong_image104.png,1,Wukong,8,Tiny-GenImage,train,0_wukong_image104.png,data/train-00000-of-00014.parquet,494943
pilot_000014,data/raw/tiny-genimage/images/Real/n01440764_13625.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_13625.JPEG,data/train-00000-of-00014.parquet,7921
pilot_000015,data/raw/tiny-genimage/images/ADM/100_adm_127.PNG,1,ADM,1,Tiny-GenImage,train,100_adm_127.PNG,data/train-00000-of-00014.parquet,125474
pilot_000016,data/raw/tiny-genimage/images/Real/n01443537_4572.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_4572.JPEG,data/train-00000-of-00014.parquet,140814
pilot_000017,data/raw/tiny-genimage/images/BigGAN/001_biggan_00033.png,1,BigGAN,2,Tiny-GenImage,train,001_biggan_00033.png,data/train-00000-of-00014.parquet,29827
pilot_000018,data/raw/tiny-genimage/images/Real/n01440764_7819.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_7819.JPEG,data/train-00000-of-00014.parquet,16713
pilot_000019,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00060.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_002_glide_00060.png,data/train-00000-of-00014.parquet,40735
pilot_000020,data/raw/tiny-genimage/images/Real/n01440764_7277.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_7277.JPEG,data/train-00000-of-00014.parquet,28268
