path,generator,prompt_id,sha256,provenance_verified,used_for_training,used_for_inference,used_for_metrics,exclusion_reason
data/external_v1/native/ai/gpt_image_2/GPT2_P0001.png,GPT Image 2,P0001,853cb0c97bbaec359bf1e050fe96f82d42b04a6ba8759f16d93748608747c3b3,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0002.png,GPT Image 2,P0002,9328cb00278d5a53c0fb146af1e1e6bb9d24ab68b8e2976726f783b84e031592,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0003.png,GPT Image 2,P0003,8dcdd4553c58a75c1780aca50455ed69297badab2fa2a7eb5c32193ca8a37e04,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0004.png,GPT Image 2,P0004,8bf86a3cc656c9143fb1e7d3b07d4b5de4dc56ebd586e9cdef8f9785eede262f,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0005.png,GPT Image 2,P0005,8ee1c1edbcd275b4cc21ed329063a7b8e387afb3e0cb459e088d8999b9db7676,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0006.png,GPT Image 2,P0006,50e19547bf1df42f40cef33a5b439e913de12bba729e33ee97999edd45116108,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0007.png,GPT Image 2,P0007,2b81a7d9cafde4ec50790b0f5d15a8907207570f6a9483f7e2c584a8bd315b4b,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0008.png,GPT Image 2,P0008,54dd86229f8dd51e937d6aff8cf43e0aca5426e47d52f42fae941b09a672ea41,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0009.png,GPT Image 2,P0009,1af3a710be7944d428160d9b37e091b876da42a9c3f4370836a0298520d7afb0,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0010.png,GPT Image 2,P0010,35e0618fc5bdb522775e8ecb7039ef4d3192a99fe58dd495cb61627b4bb1a7c9,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0011.png,GPT Image 2,P0011,fad8959a8b190f6e7df11b0748f03b49fa43aa7dc91094ff699cbda58df0c3d8,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0012.png,GPT Image 2,P0012,b4e3d89c880808b576b3068e661246b10f3725323e37a58fd2544ef2bae9a90f,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0013.png,GPT Image 2,P0013,2bc1542b1d0271ba226ea3a8e995302bbf3842c8f57864fa742a582565312ab3,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0014.png,GPT Image 2,P0014,dd7136c7890179aabc359f489e5d7a52da65379146b4ab33f24a4f39e4b3352b,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0015.png,GPT Image 2,P0015,5f68edf37e4a901c1e85c358b71eea963d956aba52cd1de96e717891aa7d035f,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0016.png,GPT Image 2,P0016,5906267671ddd8d533303a88b443550f544b08ff622775f7a30be38a113c0f28,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
