image_id,path,label,generator,generator_id,original_dataset,original_split,original_filename,shard,file_size,exists,readable,format,format_magic,width,height,aspect_ratio,image_mode,channels,file_size_bytes,exact_sha256,issue
pilot_000000,data/raw/tiny-genimage/images/Real/n01440764_11602.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_11602.JPEG,data/train-00000-of-00014.parquet,14058,True,True,JPEG,JPEG,400,300,1.333333,RGB,3,14058,0c15d4ba0506219a72f8a72c68475a377c81388d11874d4c8df56e2fa9995f7c,
pilot_000001,data/raw/tiny-genimage/images/ADM/0_adm_123.PNG,1,ADM,1,Tiny-GenImage,train,0_adm_123.PNG,data/train-00000-of-00014.parquet,134103,True,True,PNG,PNG,256,256,1.0,RGBA,4,134103,d55272c734d1bb6e0edd9a2461eee49859ee1aae951efcd9deac7101626064cc,unexpected_mode:RGBA
pilot_000002,data/raw/tiny-genimage/images/Real/n01440764_5969.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_5969.JPEG,data/train-00000-of-00014.parquet,150144,True,True,JPEG,JPEG,300,367,0.817439,RGB,3,150144,c5a86af3f9e695ab89a4c909e01cb47a6135406411f9dcb04475bb2e8d5f3847,
pilot_000003,data/raw/tiny-genimage/images/BigGAN/000_biggan_00093.png,1,BigGAN,2,Tiny-GenImage,train,000_biggan_00093.png,data/train-00000-of-00014.parquet,32865,True,True,PNG,PNG,128,128,1.0,RGB,3,32865,7862522839d96dffe5fe708837c0922384c8b0dc2442da3bcde90714f78b487f,
pilot_000004,data/raw/tiny-genimage/images/Real/n01440764_2751.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_2751.JPEG,data/train-00000-of-00014.parquet,168447,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,168447,52ba4933f3a0a7aeb561eb2a7ab33aef76be5a8bd448f3ed3874a36d9d208869,
pilot_000005,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_001_glide_00086.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_001_glide_00086.png,data/train-00000-of-00014.parquet,64314,True,True,PNG,PNG,256,256,1.0,RGB,3,64314,afea950148d53be152039ccaea075d54b4bfe9e5575e8b8a407cf9d7594bd88f,
pilot_000006,data/raw/tiny-genimage/images/Real/n01440764_15678.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_15678.JPEG,data/train-00000-of-00014.parquet,23725,True,True,JPEG,JPEG,240,180,1.333333,RGB,3,23725,5edfae364f5c1fda3795ea5f5cdff1ee2b734f8867adfde598fbdf2b148a0ff9,
pilot_000007,data/raw/tiny-genimage/images/Midjourney/0_midjourney_161.png,1,Midjourney,4,Tiny-GenImage,train,0_midjourney_161.png,data/train-00000-of-00014.parquet,944629,True,True,PNG,PNG,1024,1024,1.0,RGB,3,944629,5dd4821edd69f0dc4f44aceb2c2cc5fb3a4695b8fceb305d44997ec96578ba46,
pilot_000008,data/raw/tiny-genimage/images/Real/n01440764_12548.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_12548.JPEG,data/train-00000-of-00014.parquet,31133,True,True,JPEG,JPEG,310,263,1.178707,RGB,3,31133,da1cab33e5019105f4a0c4a39b2214abb4148a4ce6a432ace08c8c8d6c65d949,
pilot_000009,data/raw/tiny-genimage/images/SD15/001_sdv5_00094.png,1,SD15,6,Tiny-GenImage,train,001_sdv5_00094.png,data/train-00000-of-00014.parquet,413480,True,True,PNG,PNG,512,512,1.0,RGB,3,413480,4c410f7fd60b219356275c0d7e0f47f261ab37730ac5865002a60554641211e4,
pilot_000010,data/raw/tiny-genimage/images/Real/n01440764_24828.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_24828.JPEG,data/train-00000-of-00014.parquet,91344,True,True,JPEG,JPEG,480,320,1.5,RGB,3,91344,7a8f1a24e8c5036f10842a989288a7938065ac960f519054e4f9009c759923e7,
pilot_000011,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_001_vqdm_00085.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_001_vqdm_00085.png,data/train-00000-of-00014.parquet,110948,True,True,PNG,PNG,256,256,1.0,RGB,3,110948,5d715759e54a649ad139d18b79d374b6e283028cd37d4df0c80b853ca34fa64a,
pilot_000012,data/raw/tiny-genimage/images/Real/n01440764_14342.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_14342.JPEG,data/train-00000-of-00014.parquet,173031,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,173031,af9503b14543a2367a2cebe3eac79de178f59749fdbd784c3b4a2b39b2c4de1b,
pilot_000013,data/raw/tiny-genimage/images/Wukong/0_wukong_image104.png,1,Wukong,8,Tiny-GenImage,train,0_wukong_image104.png,data/train-00000-of-00014.parquet,494943,True,True,PNG,PNG,512,512,1.0,RGB,3,494943,aa3e5c7a2bad73cb3701b66abe36e7257036c183385f0e866b848a40d61b114e,
pilot_000014,data/raw/tiny-genimage/images/Real/n01440764_13625.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_13625.JPEG,data/train-00000-of-00014.parquet,7921,True,True,JPEG,JPEG,244,227,1.07489,RGB,3,7921,27de8e99427ffc7c857c69bc4cfb40f92ca74cb4dfeb91bbe6463b372b5b0932,
pilot_000015,data/raw/tiny-genimage/images/ADM/100_adm_127.PNG,1,ADM,1,Tiny-GenImage,train,100_adm_127.PNG,data/train-00000-of-00014.parquet,125474,True,True,PNG,PNG,256,256,1.0,RGBA,4,125474,0c36b19b5ee3d43c55e2bfbe9601423d7f9ddd29e90e43d75f16073372e4d7ea,unexpected_mode:RGBA
pilot_000016,data/raw/tiny-genimage/images/Real/n01443537_4572.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_4572.JPEG,data/train-00000-of-00014.parquet,140814,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,140814,aadefb43cca2b76a14e341ce414c120232e4481c68266110148a7755c802aba9,
pilot_000017,data/raw/tiny-genimage/images/BigGAN/001_biggan_00033.png,1,BigGAN,2,Tiny-GenImage,train,001_biggan_00033.png,data/train-00000-of-00014.parquet,29827,True,True,PNG,PNG,128,128,1.0,RGB,3,29827,3d5c62b727252d915265e7cd9b634e4ddf34df560630fbfeb74a7602f22ca2d7,
pilot_000018,data/raw/tiny-genimage/images/Real/n01440764_7819.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_7819.JPEG,data/train-00000-of-00014.parquet,16713,True,True,JPEG,JPEG,250,187,1.336898,RGB,3,16713,ab48025883bc975cbd0e77e7ed52d17ae9e746e6946fe32a7f1f6129f50d7595,
