image_id,path,label,generator,original_filename,exact_sha256,phash,dhash,filename_imagenet_synset,filename_leading_index,filename_parse_note
pilot_000000,data/raw/tiny-genimage/images/Real/n01440764_11602.JPEG,0,Real,n01440764_11602.JPEG,0c15d4ba0506219a72f8a72c68475a377c81388d11874d4c8df56e2fa9995f7c,97a5e4d3192c1a3d,f24c6f7068696d92,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000001,data/raw/tiny-genimage/images/ADM/0_adm_123.PNG,1,ADM,0_adm_123.PNG,d55272c734d1bb6e0edd9a2461eee49859ee1aae951efcd9deac7101626064cc,8c4e2c9f93725b85,766470c8f0b09793,,0,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000002,data/raw/tiny-genimage/images/Real/n01440764_5969.JPEG,0,Real,n01440764_5969.JPEG,c5a86af3f9e695ab89a4c909e01cb47a6135406411f9dcb04475bb2e8d5f3847,d5604a877897c3c7,8497c62ec0c86c99,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000003,data/raw/tiny-genimage/images/BigGAN/000_biggan_00093.png,1,BigGAN,000_biggan_00093.png,7862522839d96dffe5fe708837c0922384c8b0dc2442da3bcde90714f78b487f,c0e13935c6d20f6f,8c9cd08cc61ebce8,,0,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000004,data/raw/tiny-genimage/images/Real/n01440764_2751.JPEG,0,Real,n01440764_2751.JPEG,52ba4933f3a0a7aeb561eb2a7ab33aef76be5a8bd448f3ed3874a36d9d208869,95ca69959aca313d,ba2703e1781e639b,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000005,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_001_glide_00086.png,1,GLIDE,GLIDE_1000_200_00_001_glide_00086.png,afea950148d53be152039ccaea075d54b4bfe9e5575e8b8a407cf9d7594bd88f,a51bd96496fb48c4,5e7f5f4deee6c3fe,,1,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000006,data/raw/tiny-genimage/images/Real/n01440764_15678.JPEG,0,Real,n01440764_15678.JPEG,5edfae364f5c1fda3795ea5f5cdff1ee2b734f8867adfde598fbdf2b148a0ff9,a5ba9bd933a38134,183547cec6f2e2e6,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000007,data/raw/tiny-genimage/images/Midjourney/0_midjourney_161.png,1,Midjourney,0_midjourney_161.png,5dd4821edd69f0dc4f44aceb2c2cc5fb3a4695b8fceb305d44997ec96578ba46,846a3d1fe234d88f,0743808ec97d7ec6,,0,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000008,data/raw/tiny-genimage/images/Real/n01440764_12548.JPEG,0,Real,n01440764_12548.JPEG,da1cab33e5019105f4a0c4a39b2214abb4148a4ce6a432ace08c8c8d6c65d949,8b1175c2c62f619f,cc1a7b71f8d13727,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000009,data/raw/tiny-genimage/images/SD15/001_sdv5_00094.png,1,SD15,001_sdv5_00094.png,4c410f7fd60b219356275c0d7e0f47f261ab37730ac5865002a60554641211e4,c1c53f61fc1ec2c4,d0c2c4e4c4d8fcfd,,1,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000010,data/raw/tiny-genimage/images/Real/n01440764_24828.JPEG,0,Real,n01440764_24828.JPEG,7a8f1a24e8c5036f10842a989288a7938065ac960f519054e4f9009c759923e7,d20d247b6ce29a8f,a6f0f0343199ccec,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000011,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_001_vqdm_00085.png,1,VQDM,VQDM_1000_200_00_001_vqdm_00085.png,5d715759e54a649ad139d18b79d374b6e283028cd37d4df0c80b853ca34fa64a,e10717c83e07f17c,4fcf854d35914519,,1,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000012,data/raw/tiny-genimage/images/Real/n01440764_14342.JPEG,0,Real,n01440764_14342.JPEG,af9503b14543a2367a2cebe3eac79de178f59749fdbd784c3b4a2b39b2c4de1b,a69ed819b38c92ad,f8686c6e4ef6b60f,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000013,data/raw/tiny-genimage/images/Wukong/0_wukong_image104.png,1,Wukong,0_wukong_image104.png,aa3e5c7a2bad73cb3701b66abe36e7257036c183385f0e866b848a40d61b114e,bb888555256ad6b6,b29239071c585f4c,,0,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000014,data/raw/tiny-genimage/images/Real/n01440764_13625.JPEG,0,Real,n01440764_13625.JPEG,27de8e99427ffc7c857c69bc4cfb40f92ca74cb4dfeb91bbe6463b372b5b0932,ffbd3c20604b4347,273a711316cb0919,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000015,data/raw/tiny-genimage/images/ADM/100_adm_127.PNG,1,ADM,100_adm_127.PNG,0c36b19b5ee3d43c55e2bfbe9601423d7f9ddd29e90e43d75f16073372e4d7ea,a0b4db99865eed18,cc9ea6f6bff3f1e1,,100,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000016,data/raw/tiny-genimage/images/Real/n01443537_4572.JPEG,0,Real,n01443537_4572.JPEG,aadefb43cca2b76a14e341ce414c120232e4481c68266110148a7755c802aba9,87c9f134676a318e,c8f0f0e8ecec69d8,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000017,data/raw/tiny-genimage/images/BigGAN/001_biggan_00033.png,1,BigGAN,001_biggan_00033.png,3d5c62b727252d915265e7cd9b634e4ddf34df560630fbfeb74a7602f22ca2d7,b90a46e99768639e,89c1e01a3897334c,,1,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000018,data/raw/tiny-genimage/images/Real/n01440764_7819.JPEG,0,Real,n01440764_7819.JPEG,ab48025883bc975cbd0e77e7ed52d17ae9e746e6946fe32a7f1f6129f50d7595,a2c708d9f38d991d,4eeeeccc4c98998f,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000019,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00060.png,1,GLIDE,GLIDE_1000_200_00_002_glide_00060.png,747d5d531bdda5b9274aa25a42881bc8703efe2c354cbed624babe4de4c57c97,b1b996cc4c667391,efdf1f07d3090e06,,2,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000020,data/raw/tiny-genimage/images/Real/n01440764_7277.JPEG,0,Real,n01440764_7277.JPEG,c7730500a01087e3d95f59091c2e1d2fedaddb0656c0434f6d156e57a40225dd,fed083f2f4861d81,90987820166d4d47,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000021,data/raw/tiny-genimage/images/Midjourney/0_midjourney_199.png,1,Midjourney,0_midjourney_199.png,72af0afae4d274611dbf438df87230a694e1ba665b3c558ab04542979cd154d1,d679691e9621299e,000186ccec64ace4,,0,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000022,data/raw/tiny-genimage/images/Real/n01440764_6169.JPEG,0,Real,n01440764_6169.JPEG,2d58f9ad5ce0813a9a13aa6a6e0b608615a47a44e5ae577c8215359e8fe6983e,dde9e19416163ab2,02122b60b8fcccc4,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000023,data/raw/tiny-genimage/images/SD15/001_sdv5_00188.png,1,SD15,001_sdv5_00188.png,c7136f8fcb8903483248afaa2ea25a52a3afcf84ec0cbf1aedee535fc8502559,843b60f08e33dce7,0f3a367c6094cee6,,1,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000024,data/raw/tiny-genimage/images/Real/n01440764_8045.JPEG,0,Real,n01440764_8045.JPEG,374c42adbe19c385b22b35a6505710ea26f5b49c34b79276b46e52a2d951909b,9be28cb5c9994327,d60489395d9cf673,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000025,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00088.png,1,VQDM,VQDM_1000_200_00_002_vqdm_00088.png,da3220d91e2183a9d54c13b55b811d91c40b064d8112d789cce3bb3f6a6dbb71,938ecc33761c9396,7ce9e49eceded4e0,,2,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000026,data/raw/tiny-genimage/images/Real/n01440764_2577.JPEG,0,Real,n01440764_2577.JPEG,cd94faaa61d5f65d1649bb42d0eb863ca55aa00042046572a01b5cede5024fff,ac93bcbb83c4c16a,bcbfb7c70f272737,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000027,data/raw/tiny-genimage/images/Wukong/0_wukong_image123.png,1,Wukong,0_wukong_image123.png,e4bb3e7e1f60b8c477368d5cc9b2e27d24be593516048568a75f302858881055,fac0859757c0788f,d02e83916c1fc738,,0,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000028,data/raw/tiny-genimage/images/Real/n01440764_21052.JPEG,0,Real,n01440764_21052.JPEG,7d79d21265a3a1d5d7d608a32db21d79fafee82044bbd0aca054a0052dbacf91,99b8816f4c3bccc6,93dbb031255349e0,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000029,data/raw/tiny-genimage/images/ADM/100_adm_168.PNG,1,ADM,100_adm_168.PNG,c3c62440a4e1592f037f84ea60911cd4942e3398bf394d6740c0ec3a6ea430ae,bf4163ce78315931,60629a3a22696f1f,,100,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000030,data/raw/tiny-genimage/images/Real/n01443537_6853.JPEG,0,Real,n01443537_6853.JPEG,66790d56c6d2a7032f6971b6da28e1f2a9aae50255efd3b18ea02f8084e34ead,f3bf40e13c1ea170,83932b3c0ac8c880,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
