prompt_id,seed,n_generators
42,42,18
60,42,18
65,42,18
74,42,18
78,42,18
81,42,18
86,42,18
96,42,18
118,42,18
127,42,18
140,42,18
148,42,18
156,42,18
158,42,18
169,42,18
184,42,18
185,42,18
186,42,18
212,42,18
222,42,18
239,42,18
260,42,18
288,42,18
309,42,18
315,42,18
323,42,18
335,42,18
342,42,18
347,42,18
354,42,18
359,42,18
374,42,18
386,42,18
392,42,18
397,42,18
413,42,18
415,42,18
420,42,18
423,42,18
430,42,18
432,42,18
446,42,18
451,42,18
456,42,18
461,42,18
465,42,18
471,42,18
476,42,18
480,42,18
507,42,18
518,42,18
524,42,18
553,42,18
592,42,18
594,42,18
597,42,18
621,42,18
634,42,18
637,42,18
644,42,18
656,42,18
657,42,18
661,42,18
670,42,18
672,42,18
682,42,18
691,42,18
696,42,18
699,42,18
713,42,18
715,42,18
717,42,18
721,42,18
723,42,18
740,42,18
760,42,18
764,42,18
772,42,18
773,42,18
777,42,18
778,42,18
799,42,18
805,42,18
820,42,18
824,42,18
831,42,18
836,42,18
847,42,18
857,42,18
876,42,18
887,42,18
890,42,18
894,42,18
919,42,18
923,42,18
933,42,18
951,42,18
964,42,18
965,42,18
980,42,18
