source_image_id,source_path,split,true_label,generator,condition,severity,output_path,width,height,mode,output_format,transform_parameters
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000006.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000006.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000006.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000006.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000006.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000006.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000006.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000006.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000010.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000010.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000010.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000010.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000010.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000010.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000010.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
