source_image_id,source_path,split,label,true_label,generator,condition,severity,output_path,output_format,width,height,display_canvas_size,display_image_size,jpeg_quality,jpeg_subsampling,canvas_rgb,final_resize_method
pilot_000006,data/processed/controlled_v1/images/Real/pilot_000006.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000006.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000010.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000014.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000024.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000048.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000050.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000054.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000078.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000084.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000094.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
