v2_image_id,source_dataset,source_row_id,source_url,manufacturer,device_model,width,height,format,sha256,download_status,candidate_order,split,provenance_verified,local_path,notes
SMARTPHONE_678477,laionmobile/laion-mobile,678477,https://boostcarimages.blob.core.windows.net/carimages/1702/5179294/2017%20Ford%20Escape%20637281736784147481_13.jpg,Samsung,SM-A705W,2048,1152,JPEG,28c839a30be8a36d6046060e0ebb5d51a12f6c76d8029b788c4c5a983176c7bb,SUCCESS,320,train,YES,data/v2/smartphone_real/SMARTPHONE_678477.jpg,sha_ok
SMARTPHONE_548529,laionmobile/laion-mobile,548529,https://cdn.photos.sparkplatform.com/chs/20210708195627879511000000-o.jpg,Samsung,SM-J327T,1500,2000,JPEG,0cb2ac005284df3b0dc211f7d561b3f483cc9517a088670837f8fa7901774926,SUCCESS,681,train,YES,data/v2/smartphone_real/SMARTPHONE_548529.jpg,sha_ok
SMARTPHONE_691674,laionmobile/laion-mobile,691674,https://www.ripcoltd.co.uk/wp-content/gallery/interesting-stuff/filter-traps.jpg,Samsung,VLUU L301 / SAMSUNG L301,2592,1944,JPEG,db49658ff41581548f76e0bc01e854d3faa8fd822599275d70af23a5cc57a75f,SUCCESS,1592,train,YES,data/v2/smartphone_real/SMARTPHONE_691674.jpg,sha_ok
SMARTPHONE_568795,laionmobile/laion-mobile,568795,https://static.wixstatic.com/media/56801b_ee55c0ce27fa4c708a044ba2f3564d03~mv2.jpg,Samsung,SM-G920T,5312,2988,JPEG,4ac782616c7e5aeb05296d8ef12371fe18e571e33056ba73a6c80eeb96847534,SUCCESS,2825,train,YES,data/v2/smartphone_real/SMARTPHONE_568795.jpg,sha_ok
SMARTPHONE_385687,laionmobile/laion-mobile,385687,https://aarhusfoodie.dk/wp-content/uploads/2016/05/Kyllingesuppe-med-gr%c3%b8ntsager.jpg,Samsung,SM-G920F,4980,2988,JPEG,5c564e750387943200074ea2536943216beb62f8c712f9b44cff8e5405615297,SUCCESS,1170,train,YES,data/v2/smartphone_real/SMARTPHONE_385687.jpg,sha_ok
SMARTPHONE_90999,laionmobile/laion-mobile,90999,https://www.okkazeo.com/images/jeux/24834.jpg,Samsung,SM-G930F,3023,3127,JPEG,2b3a9a1410329caa83a9bf8d00dee2f5696a8fb21a20848996e4096143d0bb8b,SUCCESS,1830,train,YES,data/v2/smartphone_real/SMARTPHONE_90999.jpg,sha_ok
SMARTPHONE_353519,laionmobile/laion-mobile,353519,http://www.gabrielruhl.com/wp-content/uploads/2010/10/Our-Rental-Car.jpg,Samsung,SPH-I350,2048,1536,JPEG,ed4d60e0176cf5703c6bb0fdff7ad800e44fdebbbe8cd831f99f0558d2da681d,SUCCESS,1864,train,YES,data/v2/smartphone_real/SMARTPHONE_353519.jpg,sha_ok
SMARTPHONE_689860,laionmobile/laion-mobile,689860,https://ic.pics.livejournal.com/besheniy67/12014907/63131/63131_original.jpg,Samsung,GT-P3100,2048,1536,JPEG,72af3d1d8255cf09e65c41685e50bcaec4271fe1ae07dbf7fd77694ac2f86652,SUCCESS,2744,train,YES,data/v2/smartphone_real/SMARTPHONE_689860.jpg,sha_ok
SMARTPHONE_989512,laionmobile/laion-mobile,989512,https://bright-media.brightmls.com/bright/images/0000/3021/6203/1118/302162031118_2048_1536_WM_q2xEDIfYrAtSybLq.jpg,Samsung,SAMSUNG-SM-T817A,2048,1536,JPEG,aa3208226a27708dbd7ba885dac1ce3a7feb33b96673cf40b169effa1d215651,SUCCESS,2660,train,YES,data/v2/smartphone_real/SMARTPHONE_989512.jpg,sha_ok
SMARTPHONE_957739,laionmobile/laion-mobile,957739,https://www.jennerbahn.de/wp-content/uploads/2021/08/20210812_075134-2400x1600--scaled.jpg,Samsung,SM-G780F,2048,1536,JPEG,44bd02895f46d2c4e5453203a815b9d002e91692872c150d72344f5059f11799,SUCCESS,2915,train,YES,data/v2/smartphone_real/SMARTPHONE_957739.jpg,sha_ok
SMARTPHONE_852787,laionmobile/laion-mobile,852787,https://asadiyahpusat.org/wp-content/uploads/2018/05/2018-05-05-06.48.20.jpg,Samsung,EK-GN100,1600,946,JPEG,0608b8f548ffe9b695126c50c26c213dd367f9b25d259e74d482ac8f0a28206e,SUCCESS,1555,train,YES,data/v2/smartphone_real/SMARTPHONE_852787.jpg,sha_mismatch_vs_metadata
SMARTPHONE_796679,laionmobile/laion-mobile,796679,https://static.wixstatic.com/media/4af947_fa02dcc1d9ef4d769352cc4e81485c3a~mv2_d_3793_2532_s_4_2.jpg,Samsung,SM-A520L,3793,2532,JPEG,69a912ca0c106828e441218525df4f8a45273e6515b1f2823801cea0cc4f4309,SUCCESS,1704,train,YES,data/v2/smartphone_real/SMARTPHONE_796679.jpg,sha_ok
SMARTPHONE_737785,laionmobile/laion-mobile,737785,https://www.thucanchomeo.com.vn/datafiles/setone/15032176244332_20170509_183951.jpg,Samsung,SM-A5000,2364,2320,JPEG,52586f5d49c4bbf98b970614ca55ec2d6e589c093923c5568e2d15f123aabe2f,SUCCESS,1653,train,YES,data/v2/smartphone_real/SMARTPHONE_737785.jpg,sha_ok
SMARTPHONE_727673,laionmobile/laion-mobile,727673,https://images.squarespace-cdn.com/content/v1/53ff7658e4b0826cfdfb8a40/1425686845925-F1GLXP0J1SWDVRM9CHTE/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5dNb1QJw9casjKdtTg1_-y4jz4ptJBmI9gQmbjSQnNGng/Tree1.jpg,Samsung,SGH-T989,2500,1875,JPEG,6250801b8bdc1499d403caa4d4892a50c9439eff04d3d0ba39d72a097c3cad1e,SUCCESS,1470,train,YES,data/v2/smartphone_real/SMARTPHONE_727673.jpg,sha_ok
SMARTPHONE_154192,laionmobile/laion-mobile,154192,https://images.ua.prom.st/2178217050_prozori-samokleyuchi-gachki.jpg,Samsung,SM-M307FN,1280,1280,JPEG,f47e8fcae795c4978ba4b65a633513b99cfe1404b043ecf37e70d21060d51028,SUCCESS,266,train,YES,data/v2/smartphone_real/SMARTPHONE_154192.jpg,sha_mismatch_vs_metadata
SMARTPHONE_505662,laionmobile/laion-mobile,505662,https://s2.wklcdn.com/image_76/2306411/63129849/42206243Master.jpg,Samsung,SM-A505GT,1600,1200,JPEG,baea7bec43a69c82c4ec67646ea13a419a2b65f642a3d643de850188db176fea,SUCCESS,783,train,YES,data/v2/smartphone_real/SMARTPHONE_505662.jpg,sha_ok
