image_id,binary_label,source_dataset,real_domain,generator_id,prompt_group,embedding_row,fold_1_role,fold_2_role,fold_3_role,fold_4_role,path
EXT_REAL_0001,0,COCO,COCO,real::COCO,,0,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0001_450758.jpg
EXT_REAL_0002,0,COCO,COCO,real::COCO,,1,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0002_250619.jpg
EXT_REAL_0003,0,COCO,COCO,real::COCO,,2,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0003_377723.jpg
EXT_REAL_0004,0,COCO,COCO,real::COCO,,3,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0004_231549.jpg
EXT_REAL_0005,0,COCO,COCO,real::COCO,,4,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0005_171382.jpg
EXT_REAL_0006,0,COCO,COCO,real::COCO,,5,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0006_466416.jpg
EXT_REAL_0007,0,COCO,COCO,real::COCO,,6,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0007_258883.jpg
EXT_REAL_0008,0,COCO,COCO,real::COCO,,7,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0008_377635.jpg
EXT_REAL_0009,0,COCO,COCO,real::COCO,,8,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0009_446207.jpg
EXT_REAL_0010,0,COCO,COCO,real::COCO,,9,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0010_236784.jpg
EXT_REAL_0011,0,COCO,COCO,real::COCO,,10,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0011_548339.jpg
EXT_REAL_0012,0,COCO,COCO,real::COCO,,11,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0012_166664.jpg
EXT_REAL_0013,0,COCO,COCO,real::COCO,,12,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0013_99428.jpg
EXT_REAL_0014,0,COCO,COCO,real::COCO,,13,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0014_446574.jpg
EXT_REAL_0015,0,COCO,COCO,real::COCO,,14,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0015_236592.jpg
EXT_REAL_0016,0,COCO,COCO,real::COCO,,15,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0016_11122.jpg
EXT_REAL_0017,0,COCO,COCO,real::COCO,,16,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0017_163117.jpg
EXT_REAL_0018,0,COCO,COCO,real::COCO,,17,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0018_515577.jpg
EXT_REAL_0019,0,COCO,COCO,real::COCO,,18,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0019_104612.jpg
EXT_REAL_0020,0,COCO,COCO,real::COCO,,19,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0020_296284.jpg
EXT_REAL_0021,0,COCO,COCO,real::COCO,,20,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0021_277689.jpg
EXT_REAL_0022,0,COCO,COCO,real::COCO,,21,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0022_192670.jpg
EXT_REAL_0023,0,COCO,COCO,real::COCO,,22,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0023_461751.jpg
EXT_REAL_0024,0,COCO,COCO,real::COCO,,23,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0024_357567.jpg
EXT_REAL_0025,0,COCO,COCO,real::COCO,,24,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0025_356347.jpg
EXT_REAL_0026,0,COCO,COCO,real::COCO,,25,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0026_70254.jpg
EXT_REAL_0027,0,COCO,COCO,real::COCO,,26,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0027_88250.jpg
EXT_REAL_0028,0,COCO,COCO,real::COCO,,27,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0028_306437.jpg
EXT_REAL_0029,0,COCO,COCO,real::COCO,,28,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0029_11051.jpg
EXT_REAL_0030,0,COCO,COCO,real::COCO,,29,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0030_560011.jpg
EXT_REAL_0031,0,COCO,COCO,real::COCO,,30,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0031_498463.jpg
EXT_REAL_0032,0,COCO,COCO,real::COCO,,31,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0032_119445.jpg
EXT_REAL_0033,0,COCO,COCO,real::COCO,,32,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0033_210708.jpg
