fold_id,canonical_generator_id,available_train_images,capped_train_images,cap
fold_1,mllm::Nano_Banana_2,725,300,300
fold_1,tiny::BigGAN,286,286,300
fold_1,tiny::GLIDE,286,286,300
fold_1,tiny::Midjourney,286,286,300
fold_1,tiny::VQDM,285,285,300
fold_1,tiny::Wukong,285,285,300
fold_2,mllm::GPT_Image_2,726,300,300
fold_2,tiny::ADM,286,286,300
fold_2,tiny::GLIDE,286,286,300
fold_2,tiny::Midjourney,286,286,300
fold_2,tiny::SD15,286,286,300
fold_2,tiny::Wukong,285,285,300
fold_3,mllm::GPT_Image_2,726,300,300
fold_3,mllm::Nano_Banana_2,725,300,300
fold_3,tiny::ADM,286,286,300
fold_3,tiny::BigGAN,286,286,300
fold_3,tiny::Midjourney,286,286,300
fold_3,tiny::SD15,286,286,300
fold_3,tiny::VQDM,285,285,300
fold_4,mllm::GPT_Image_2,726,300,300
fold_4,mllm::Nano_Banana_2,725,300,300
fold_4,tiny::ADM,286,286,300
fold_4,tiny::BigGAN,286,286,300
fold_4,tiny::GLIDE,286,286,300
fold_4,tiny::SD15,286,286,300
fold_4,tiny::VQDM,285,285,300
fold_4,tiny::Wukong,285,285,300
