dataset,image_id,native_path,label,generator,sha256,readable,width,height,format,mode,aspect_ratio
mllm,MLLM_HYB_GPT-Image2-fake_1,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/1.png,1,GPT Image 2,1e4b1bceb48733b15aadab42187f8555c560d7dcdb23fd48dee18facedd253b4,True,941,1563,PNG,RGB,0.602
mllm,MLLM_HYB_GPT-Image2-fake_10,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/10.png,1,GPT Image 2,07732df3a9d8f0efa4ad3ba2e505109f761ff8195b1ba4b6a5dd7edfd516c71f,True,941,1563,PNG,RGB,0.602
mllm,MLLM_HYB_GPT-Image2-fake_100,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/100.png,1,GPT Image 2,8a852b9bc97fbf038373f16b074efc243d37811d01f1d06434de9db3f74e58e2,True,1448,999,PNG,RGB,1.4494
mllm,MLLM_HYB_GPT-Image2-fake_101,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/101.png,1,GPT Image 2,c04e87771ce5d2a723a16f123162aa50d168efcc6b22e49da76eb149d56714c4,True,1448,999,PNG,RGB,1.4494
mllm,MLLM_HYB_GPT-Image2-fake_102,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/102.png,1,GPT Image 2,81addb2dad28f33d9e8451320c2894807cc1a3b0aad52129c162568acf9b4732,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_103,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/103.png,1,GPT Image 2,bfb5532d08b09aa605c4436549281fcce70c73b250267343b9fef9296726cd9e,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_104,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/104.png,1,GPT Image 2,b6c3e5aa4ab6271ca8917a1a7cfe6da9169b8c48dd0d046ee6607819be99080c,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_105,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/105.png,1,GPT Image 2,7408b444a214762e99a0a4db624d19e74f3a9697c677fd2ddf0616469dbda482,True,1122,1290,PNG,RGB,0.8698
mllm,MLLM_HYB_GPT-Image2-fake_106,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/106.png,1,GPT Image 2,48e03f6bd9daf486b0ef49e13860844b5d2ca97b6524d0c35eff5106657ea594,True,1122,1290,PNG,RGB,0.8698
mllm,MLLM_HYB_GPT-Image2-fake_107,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/107.png,1,GPT Image 2,eff123d1852879798842b99661532a2a5035517338a586c46cbacf8815fad15c,True,1122,1290,PNG,RGB,0.8698
mllm,MLLM_HYB_GPT-Image2-fake_108,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/108.png,1,GPT Image 2,aaeeea7ef6bd14c2b5da9c2ef933f62a43dae9c991676b5fa870ed2244e71cb7,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_109,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/109.png,1,GPT Image 2,cd457ce623c3836b786a5bdebbacfca19f97b6f3fecec416a7540db24edc0181,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_11,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/11.png,1,GPT Image 2,01ecbcb4067c86cfbb67d67fecaaa561fa6646bb0429dcb0ba249ab1a32e6702,True,941,1563,PNG,RGB,0.602
mllm,MLLM_HYB_GPT-Image2-fake_110,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/110.png,1,GPT Image 2,6e7b4e6c44d7ca4b3579b2491804551b69d4b519f934698ba2c20cb4e3289483,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_111,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/111.png,1,GPT Image 2,612a3123d5469559a47c068054c420ddeb6c4b81f85277195b985bf249e08c36,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_112,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/112.png,1,GPT Image 2,429e14e20aa072ca98377e552c28104b3c7a84439c647614d8d8a0a3894ff394,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_113,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/113.png,1,GPT Image 2,1e702fe4efaf6c6f4645c8fbf73e0997611b0732601508c194b31d2db8eb8ab8,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_114,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/114.png,1,GPT Image 2,ca25f4ade0f6b589cf313f1985908c81e95680402f5214a7a90d738649483172,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_115,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/115.png,1,GPT Image 2,9d3021f0065a6fccd55227f03ddc49d5e3fa95eae4125d386afb5d0a0d1eae0d,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_116,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/116.png,1,GPT Image 2,5ba3a36c5eaccfcfca1e0ed7759cbdcaf61d93a5ffb16149a9ef2aa380a78d19,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_117,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/117.png,1,GPT Image 2,66303308e8d8feefe2565f1caabe69f4c3080181c8fe322ae4cd3b9551a70434,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_118,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/118.png,1,GPT Image 2,e0b107cbe46a8706ea38e7ea46288113f01452df0f3cc5e8105c47956ff2e3cf,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_119,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/119.png,1,GPT Image 2,89a96d621f2d91921a60b53c3cf3ded86b5ebc2256354cccc81dc97c566eec07,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_12,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/12.png,1,GPT Image 2,f9e56ab26b10d1c01c6c48a335182eff704ff508215bf73cfe3464643146cbdc,True,941,1563,PNG,RGB,0.602
mllm,MLLM_HYB_GPT-Image2-fake_120,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/120.png,1,GPT Image 2,bad5cd9fdc42c9ad1a9dc28a6062723ee60e9976242c5118a7a56117c317ad67,True,941,1538,PNG,RGB,0.6118
mllm,MLLM_HYB_GPT-Image2-fake_121,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/121.png,1,GPT Image 2,b84205980b91787b4fb5fde12b69b32bdc4238d33d2320c62a9ba44f618b6ce6,True,941,1538,PNG,RGB,0.6118
