source_id,condition,label,generator,source_path,processed_path
MLLM_HYB_GPT-Image2-fake_1,original,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/1.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_1,jpeg_q50,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/1.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_1,resize_112,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/1.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_1,blur_sigma2,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/1.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_1,screenshot_strong,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/1.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_10,original,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/10.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_10,jpeg_q50,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/10.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_10,resize_112,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/10.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_10,blur_sigma2,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/10.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_10,screenshot_strong,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/10.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_100,original,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/100.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_100,jpeg_q50,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/100.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_100,resize_112,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/100.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_100,blur_sigma2,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/100.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_100,screenshot_strong,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/100.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_101,original,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/101.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_101,jpeg_q50,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/101.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_101,resize_112,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/101.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_101,blur_sigma2,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/101.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_101,screenshot_strong,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/101.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_102,original,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/102.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_102,jpeg_q50,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/102.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_102,resize_112,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/102.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_102,blur_sigma2,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/102.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_102,screenshot_strong,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/102.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_103,original,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/103.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_103,jpeg_q50,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/103.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_103,resize_112,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/103.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_103,blur_sigma2,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/103.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_103,screenshot_strong,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/103.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_104,original,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/104.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_104,jpeg_q50,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/104.png,on_the_fly_controlled_preprocess
MLLM_HYB_GPT-Image2-fake_104,resize_112,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/104.png,on_the_fly_controlled_preprocess
