generator,n,ai_recall,false_negative_rate,mean_calibrated_p_ai,median_calibrated_p_ai,uncertain_rate,ai_classification_rate,accepted_ai_recall
nano-banana-2.0,100,0.16,0.84,0.19476723235687843,0.0948864510484986,0.23,0.16,1.0
nano-banana-pro,100,0.17,0.83,0.18618348746297722,0.08302557706504093,0.17,0.17,1.0
FLUX.2_max,100,0.2,0.8,0.21560563513499303,0.11231845827509462,0.2,0.2,1.0
gpt-image-2,100,0.2,0.8,0.22865808590511363,0.12076539593944094,0.22,0.2,1.0
GPT-Image-1.5,100,0.21,0.79,0.21935688486310645,0.09718489816856128,0.22,0.21,1.0
Seedream-4.0,100,0.21,0.79,0.2617689767800815,0.13950793725477145,0.22,0.21,1.0
Seedream-4.5,100,0.24,0.76,0.2721705558994487,0.1457684414379033,0.24,0.24,1.0
Qwen-Image-2.0-pro,100,0.3,0.7,0.3302615767729953,0.24380257889493334,0.29,0.3,1.0
FLUX.2-pro,100,0.33,0.67,0.3044597363752837,0.22388737987936574,0.38,0.33,1.0
HunyuanImage-3.0,100,0.37,0.63,0.33092357313135695,0.18745008353069387,0.28,0.37,1.0
Seedream-5.0,100,0.38,0.62,0.39338856505000047,0.3196480722167976,0.3,0.38,1.0
Imagen-4.0,100,0.39,0.61,0.3642715065282489,0.3116507224561608,0.4,0.39,1.0
Qwen-Image-2512,100,0.39,0.61,0.36347321122095977,0.22448804922048504,0.28,0.39,1.0
Qwen-Image,100,0.39,0.61,0.36281948509134593,0.2263090908924877,0.28,0.39,1.0
Imagen-4.0-Ultra,100,0.4,0.6,0.3849493075175197,0.30143732448225413,0.29,0.4,1.0
GPT-Image-1,100,0.43,0.57,0.3919070674847714,0.29638914467356026,0.33,0.43,1.0
GLM-Image,100,0.49,0.51,0.44390035377057735,0.3734747933568582,0.3,0.49,1.0
kling_v2_1,100,0.51,0.49,0.4748485586226295,0.4522439495414698,0.36,0.51,1.0
