feature,coefficient,absolute_coefficient
sharpness,-1.0945285253606387,1.0945285253606387
high_frequency_ratio,0.2578656992265734,0.2578656992265734
std_green,0.20645403101535165,0.20645403101535165
mean_red,0.17656243100264218,0.17656243100264218
edge_density,-0.1487961746285905,0.1487961746285905
mean_saturation,0.131745758838969,0.131745758838969
entropy,-0.08770425504312852,0.08770425504312852
std_brightness,-0.08723651454957748,0.08723651454957748
mean_blue,-0.053593223191165974,0.053593223191165974
mean_brightness,0.05320766477123978,0.05320766477123978
std_blue,-0.05235209429340213,0.05235209429340213
std_red,0.025166209571170335,0.025166209571170335
mean_green,-0.0038125896067957594,0.0038125896067957594
