C,generator,ai_samples,correctly_detected_ai,ai_recall
0.01,ADM,57,46,0.8070175438596491
0.01,BigGAN,57,54,0.9473684210526315
0.01,GLIDE,57,54,0.9473684210526315
0.01,SD15,57,16,0.2807017543859649
0.1,ADM,57,45,0.7894736842105263
0.1,BigGAN,57,57,1.0
0.1,GLIDE,57,55,0.9649122807017544
0.1,SD15,57,17,0.2982456140350877
1.0,ADM,57,46,0.8070175438596491
1.0,BigGAN,57,57,1.0
1.0,GLIDE,57,56,0.9824561403508771
1.0,SD15,57,18,0.3157894736842105
10.0,ADM,57,46,0.8070175438596491
10.0,BigGAN,57,57,1.0
10.0,GLIDE,57,56,0.9824561403508771
10.0,SD15,57,18,0.3157894736842105
