model,split,generator,condition,severity,recall,sample_count
SmallCNNV1,known_test,ADM,jpeg_q75,mild,0.7017543859649122,57
SmallCNNV1,known_test,BigGAN,jpeg_q75,mild,0.9649122807017544,57
SmallCNNV1,known_test,GLIDE,jpeg_q75,mild,1.0,57
SmallCNNV1,known_test,SD15,jpeg_q75,mild,0.5614035087719298,57
SmallCNNV1,known_test,ADM,jpeg_q50,strong,0.8070175438596491,57
SmallCNNV1,known_test,BigGAN,jpeg_q50,strong,0.9649122807017544,57
SmallCNNV1,known_test,GLIDE,jpeg_q50,strong,1.0,57
SmallCNNV1,known_test,SD15,jpeg_q50,strong,0.543859649122807,57
SmallCNNV1,known_test,ADM,crop_90,mild,0.631578947368421,57
SmallCNNV1,known_test,BigGAN,crop_90,mild,0.9649122807017544,57
SmallCNNV1,known_test,GLIDE,crop_90,mild,1.0,57
SmallCNNV1,known_test,SD15,crop_90,mild,0.47368421052631576,57
SmallCNNV1,known_test,ADM,crop_75,strong,0.7543859649122807,57
SmallCNNV1,known_test,BigGAN,crop_75,strong,0.9649122807017544,57
SmallCNNV1,known_test,GLIDE,crop_75,strong,1.0,57
SmallCNNV1,known_test,SD15,crop_75,strong,0.5263157894736842,57
SmallCNNV1,known_test,ADM,resize_160,mild,0.8771929824561403,57
SmallCNNV1,known_test,BigGAN,resize_160,mild,0.9649122807017544,57
SmallCNNV1,known_test,GLIDE,resize_160,mild,1.0,57
SmallCNNV1,known_test,SD15,resize_160,mild,0.6140350877192983,57
SmallCNNV1,known_test,ADM,resize_112,strong,1.0,57
SmallCNNV1,known_test,BigGAN,resize_112,strong,1.0,57
SmallCNNV1,known_test,GLIDE,resize_112,strong,1.0,57
SmallCNNV1,known_test,SD15,resize_112,strong,0.9824561403508771,57
SmallCNNV1,known_test,ADM,blur_sigma1,mild,1.0,57
SmallCNNV1,known_test,BigGAN,blur_sigma1,mild,0.9649122807017544,57
SmallCNNV1,known_test,GLIDE,blur_sigma1,mild,1.0,57
SmallCNNV1,known_test,SD15,blur_sigma1,mild,1.0,57
SmallCNNV1,known_test,ADM,blur_sigma2,strong,1.0,57
SmallCNNV1,known_test,BigGAN,blur_sigma2,strong,0.9649122807017544,57
SmallCNNV1,known_test,GLIDE,blur_sigma2,strong,1.0,57
SmallCNNV1,known_test,SD15,blur_sigma2,strong,1.0,57
SmallCNNV1,unseen_test,Midjourney,jpeg_q75,mild,0.4090909090909091,286
SmallCNNV1,unseen_test,VQDM,jpeg_q75,mild,0.41403508771929826,285
SmallCNNV1,unseen_test,Wukong,jpeg_q75,mild,0.543859649122807,285
SmallCNNV1,unseen_test,Midjourney,jpeg_q50,strong,0.46853146853146854,286
SmallCNNV1,unseen_test,VQDM,jpeg_q50,strong,0.4105263157894737,285
SmallCNNV1,unseen_test,Wukong,jpeg_q50,strong,0.5894736842105263,285
SmallCNNV1,unseen_test,Midjourney,crop_90,mild,0.4090909090909091,286
SmallCNNV1,unseen_test,VQDM,crop_90,mild,0.3473684210526316,285
SmallCNNV1,unseen_test,Wukong,crop_90,mild,0.519298245614035,285
SmallCNNV1,unseen_test,Midjourney,crop_75,strong,0.6608391608391608,286
SmallCNNV1,unseen_test,VQDM,crop_75,strong,0.47719298245614034,285
SmallCNNV1,unseen_test,Wukong,crop_75,strong,0.7684210526315789,285
SmallCNNV1,unseen_test,Midjourney,resize_160,mild,0.7482517482517482,286
SmallCNNV1,unseen_test,VQDM,resize_160,mild,0.5052631578947369,285
SmallCNNV1,unseen_test,Wukong,resize_160,mild,0.8210526315789474,285
SmallCNNV1,unseen_test,Midjourney,resize_112,strong,0.972027972027972,286
SmallCNNV1,unseen_test,VQDM,resize_112,strong,0.9052631578947369,285
SmallCNNV1,unseen_test,Wukong,resize_112,strong,0.9964912280701754,285
SmallCNNV1,unseen_test,Midjourney,blur_sigma1,mild,0.9755244755244755,286
SmallCNNV1,unseen_test,VQDM,blur_sigma1,mild,0.9543859649122807,285
SmallCNNV1,unseen_test,Wukong,blur_sigma1,mild,1.0,285
SmallCNNV1,unseen_test,Midjourney,blur_sigma2,strong,0.9755244755244755,286
SmallCNNV1,unseen_test,VQDM,blur_sigma2,strong,0.9543859649122807,285
SmallCNNV1,unseen_test,Wukong,blur_sigma2,strong,1.0,285
MobileNetV3-Small,known_test,ADM,jpeg_q75,mild,0.8070175438596491,57
MobileNetV3-Small,known_test,BigGAN,jpeg_q75,mild,1.0,57
MobileNetV3-Small,known_test,GLIDE,jpeg_q75,mild,0.9473684210526315,57
MobileNetV3-Small,known_test,SD15,jpeg_q75,mild,0.7719298245614035,57
MobileNetV3-Small,known_test,ADM,jpeg_q50,strong,0.9122807017543859,57
MobileNetV3-Small,known_test,BigGAN,jpeg_q50,strong,1.0,57
MobileNetV3-Small,known_test,GLIDE,jpeg_q50,strong,0.9473684210526315,57
MobileNetV3-Small,known_test,SD15,jpeg_q50,strong,0.8070175438596491,57
MobileNetV3-Small,known_test,ADM,crop_90,mild,0.7719298245614035,57
MobileNetV3-Small,known_test,BigGAN,crop_90,mild,1.0,57
