split,condition,mobilenet_delta_auc,efficientnet_delta_auc,difference_in_delta_auc,ci_low,ci_high,mobilenet_delta_ap,efficientnet_delta_ap,difference_in_delta_ap,ap_ci_low,ap_ci_high
known_test,jpeg_q50,-0.04468682671591251,-0.030740227762388384,0.013946598953524125,-0.005253058633425661,0.03343432594644482,-0.04371891516540827,-0.03285669353538778,0.010862221630020485,-0.01087590767863292,0.03287404299420892
known_test,crop_75,-0.029143582640812515,-0.00667513080947979,0.022468451831332725,0.009022006771314256,0.03685749461372734,-0.0288791425999827,-0.007868319269147772,0.021010823330834927,0.008079693557331753,0.034641830353528594
known_test,resize_112,-0.12117189904586034,-0.08315058479532156,0.038021314250538785,0.004846683594951973,0.0720902104493691,-0.1286204365004624,-0.08400363287791868,0.04461680362254372,0.007475743170185831,0.08334852488444533
known_test,blur_sigma2,-0.2656586642043707,-0.35544590643274854,-0.08978724222837786,-0.14273815020006148,-0.03816342528470309,-0.27438444236589266,-0.37487271855810944,-0.10048827619221679,-0.15928574685053462,-0.041204333740040885
known_test,screenshot_strong,-0.13860033856571263,-0.04012773160972605,0.09847260695598659,0.06321079562942464,0.13395323561095718,-0.15620789226329512,-0.04056813679520643,0.11563975546808869,0.07415194228871223,0.15555375288674164
unseen_test,jpeg_q50,-0.04054461634203854,-0.02388718447025928,0.01665743187177926,0.004324852334265147,0.02905688406192698,-0.03401223465532932,-0.024727999224515296,0.009284235430814025,-0.0029855973538028234,0.021185393427195325
unseen_test,crop_75,-0.0005117805048475699,0.009729288584155893,0.010241069089003463,-0.0024915180910997144,0.022774368940518964,-0.0018135801414479458,0.004463815746386324,0.0062773958878342695,-0.006823294267869112,0.0200647670776749
unseen_test,resize_112,-0.07799330181675246,-0.07107266464320017,0.006920637173552291,-0.011191633139357232,0.02430257964669404,-0.06186030176824475,-0.07744337908340182,-0.015583077315157068,-0.03267804763541637,0.0014529018726661554
unseen_test,blur_sigma2,-0.16648219822691934,-0.26596413988121226,-0.09948194165429292,-0.12733788158354448,-0.07229931721656903,-0.15210573528438465,-0.30170600719464324,-0.1496002719102586,-0.17852305558317388,-0.11961630405607038
unseen_test,screenshot_strong,-0.06621757358721281,-0.03054306052930389,0.03567451305790892,0.01598423579570254,0.05509961978120351,-0.07559137251596382,-0.023788726726369447,0.05180264578959437,0.02984884390508621,0.0740357140389818
