model,split,condition,severity,num_samples,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,threshold,delta_auc,delta_ap,delta_balanced_accuracy,delta_recall,delta_f1
Handcrafted LogReg,known_test,original,reference,456,0.7246652816251153,0.7225392255405856,0.6864035087719298,0.6864035087719298,0.6905829596412556,0.6754385964912281,0.6973684210526315,0.6829268292682927,0.3026315789473684,0.5671516607338236,0.0,0.0,0.0,0.0,0.0
Handcrafted LogReg,known_test,jpeg_q75,mild,456,0.716682056017236,0.7109243826046507,0.6710526315789473,0.6710526315789473,0.6666666666666666,0.6842105263157895,0.6578947368421053,0.6753246753246753,0.34210526315789475,0.5671516607338236,-0.00798322560787934,-0.011614842935934844,-0.015350877192982448,0.00877192982456143,-0.007602153943617407
Handcrafted LogReg,known_test,jpeg_q50,strong,456,0.7062942443828871,0.6992034546044251,0.6600877192982456,0.6600877192982456,0.6502057613168725,0.6929824561403509,0.6271929824561403,0.6709129511677282,0.37280701754385964,0.5671516607338236,-0.018371037242228216,-0.02333577093616046,-0.02631578947368418,0.01754385964912286,-0.012013878100564535
Handcrafted LogReg,known_test,crop_90,mild,456,0.7049284395198523,0.6907816551586354,0.6578947368421053,0.6578947368421053,0.6374045801526718,0.7324561403508771,0.5833333333333334,0.6816326530612244,0.4166666666666667,0.5671516607338236,-0.019736842105263053,-0.03175757038195015,-0.028508771929824483,0.05701754385964908,-0.0012941762070682872
Handcrafted LogReg,known_test,crop_75,strong,456,0.6796899045860264,0.6525889093365339,0.6228070175438597,0.6228070175438596,0.5897435897435898,0.8070175438596491,0.43859649122807015,0.6814814814814815,0.5614035087719298,0.5671516607338236,-0.04497537703908894,-0.06995031620405168,-0.0635964912280702,0.13157894736842102,-0.0014453477868112685
Handcrafted LogReg,known_test,resize_160,mild,456,0.6719567559249,0.6503864656307615,0.5986842105263158,0.5986842105263157,0.5692307692307692,0.8114035087719298,0.38596491228070173,0.6690777576853526,0.6140350877192983,0.5671516607338236,-0.052708525700215336,-0.07215275990982406,-0.08771929824561409,0.13596491228070173,-0.013849071582940131
Handcrafted LogReg,known_test,resize_112,strong,456,0.6222106802092952,0.5985229220055595,0.5307017543859649,0.5307017543859649,0.5170731707317073,0.9298245614035088,0.13157894736842105,0.664576802507837,0.868421052631579,0.5671516607338236,-0.10245460141582019,-0.12401630353502613,-0.1557017543859649,0.2543859649122807,-0.018350026760455718
Handcrafted LogReg,known_test,blur_sigma1,mild,456,0.6060903354878424,0.5796397509212445,0.5241228070175439,0.5241228070175439,0.513126491646778,0.9429824561403509,0.10526315789473684,0.6646058732612056,0.8947368421052632,0.5671516607338236,-0.11857494613727293,-0.14289947461934105,-0.16228070175438591,0.26754385964912286,-0.018320956007087164
Handcrafted LogReg,known_test,blur_sigma2,strong,456,0.5750423207140658,0.559309408105206,0.5175438596491229,0.5175438596491229,0.5092165898617511,0.9692982456140351,0.06578947368421052,0.6676737160120846,0.9342105263157895,0.5671516607338236,-0.14962296091104954,-0.16322981743537957,-0.16885964912280693,0.29385964912280704,-0.01525311325620815
Handcrafted LogReg,unseen_test,original,reference,1712,0.6451955410952922,0.6141061961038217,0.5800233644859814,0.5800233644859814,0.6159052453468697,0.4252336448598131,0.7348130841121495,0.5031098825155494,0.2651869158878505,0.5671516607338236,0.0,0.0,0.0,0.0,0.0
