model,split,generator,condition,severity,recall,sample_count
SmallCNNV1,known_test,ADM,screenshot_mild,mild,0.5789473684210527,57
SmallCNNV1,known_test,BigGAN,screenshot_mild,mild,0.9298245614035088,57
SmallCNNV1,known_test,GLIDE,screenshot_mild,mild,0.9824561403508771,57
SmallCNNV1,known_test,SD15,screenshot_mild,mild,0.43859649122807015,57
SmallCNNV1,known_test,ADM,screenshot_strong,strong,0.6842105263157895,57
SmallCNNV1,known_test,BigGAN,screenshot_strong,strong,0.8245614035087719,57
SmallCNNV1,known_test,GLIDE,screenshot_strong,strong,0.9473684210526315,57
SmallCNNV1,known_test,SD15,screenshot_strong,strong,0.45614035087719296,57
SmallCNNV1,unseen_test,Midjourney,screenshot_mild,mild,0.36363636363636365,286
SmallCNNV1,unseen_test,VQDM,screenshot_mild,mild,0.2631578947368421,285
SmallCNNV1,unseen_test,Wukong,screenshot_mild,mild,0.42105263157894735,285
SmallCNNV1,unseen_test,Midjourney,screenshot_strong,strong,0.48951048951048953,286
SmallCNNV1,unseen_test,VQDM,screenshot_strong,strong,0.3333333333333333,285
SmallCNNV1,unseen_test,Wukong,screenshot_strong,strong,0.5052631578947369,285
MobileNetV3-Small,known_test,ADM,screenshot_mild,mild,0.8070175438596491,57
MobileNetV3-Small,known_test,BigGAN,screenshot_mild,mild,0.8421052631578947,57
MobileNetV3-Small,known_test,GLIDE,screenshot_mild,mild,0.9649122807017544,57
MobileNetV3-Small,known_test,SD15,screenshot_mild,mild,0.8070175438596491,57
MobileNetV3-Small,known_test,ADM,screenshot_strong,strong,0.8245614035087719,57
MobileNetV3-Small,known_test,BigGAN,screenshot_strong,strong,0.8070175438596491,57
MobileNetV3-Small,known_test,GLIDE,screenshot_strong,strong,0.8947368421052632,57
MobileNetV3-Small,known_test,SD15,screenshot_strong,strong,0.7368421052631579,57
MobileNetV3-Small,unseen_test,Midjourney,screenshot_mild,mild,0.8251748251748252,286
MobileNetV3-Small,unseen_test,VQDM,screenshot_mild,mild,0.3263157894736842,285
MobileNetV3-Small,unseen_test,Wukong,screenshot_mild,mild,0.8666666666666667,285
MobileNetV3-Small,unseen_test,Midjourney,screenshot_strong,strong,0.8636363636363636,286
MobileNetV3-Small,unseen_test,VQDM,screenshot_strong,strong,0.3894736842105263,285
MobileNetV3-Small,unseen_test,Wukong,screenshot_strong,strong,0.8912280701754386,285
EfficientNet-B0,known_test,ADM,screenshot_mild,mild,0.8421052631578947,57
EfficientNet-B0,known_test,BigGAN,screenshot_mild,mild,0.9649122807017544,57
EfficientNet-B0,known_test,GLIDE,screenshot_mild,mild,0.9649122807017544,57
EfficientNet-B0,known_test,SD15,screenshot_mild,mild,0.7719298245614035,57
EfficientNet-B0,known_test,ADM,screenshot_strong,strong,0.8771929824561403,57
EfficientNet-B0,known_test,BigGAN,screenshot_strong,strong,0.8245614035087719,57
EfficientNet-B0,known_test,GLIDE,screenshot_strong,strong,0.9298245614035088,57
EfficientNet-B0,known_test,SD15,screenshot_strong,strong,0.7543859649122807,57
EfficientNet-B0,unseen_test,Midjourney,screenshot_mild,mild,0.8426573426573427,286
EfficientNet-B0,unseen_test,VQDM,screenshot_mild,mild,0.3824561403508772,285
EfficientNet-B0,unseen_test,Wukong,screenshot_mild,mild,0.9087719298245615,285
EfficientNet-B0,unseen_test,Midjourney,screenshot_strong,strong,0.8251748251748252,286
EfficientNet-B0,unseen_test,VQDM,screenshot_strong,strong,0.3929824561403509,285
EfficientNet-B0,unseen_test,Wukong,screenshot_strong,strong,0.8982456140350877,285
