model,split,condition,severity,num_samples,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,threshold,delta_auc,delta_ap,delta_balanced_accuracy,delta_recall,delta_f1
Handcrafted LogReg,known_test,original,reference,456,0.7246652816251153,0.7225392255405856,0.6864035087719298,0.6864035087719298,0.6905829596412556,0.6754385964912281,0.6973684210526315,0.6829268292682927,0.3026315789473684,0.5671516607338236,0.0,0.0,0.0,0.0,0.0
Handcrafted LogReg,known_test,screenshot_mild,mild,456,0.7181632810095414,0.7186936616641059,0.6666666666666666,0.6666666666666667,0.7235294117647059,0.5394736842105263,0.793859649122807,0.6180904522613065,0.20614035087719298,0.5671516607338236,-0.006502000615573933,-0.0038455638764797184,-0.019736842105263053,-0.13596491228070173,-0.06483637700698619
Handcrafted LogReg,known_test,screenshot_strong,strong,456,0.7053324099722993,0.7117720580814657,0.6622807017543859,0.6622807017543859,0.6796116504854369,0.6140350877192983,0.7105263157894737,0.6451612903225806,0.2894736842105263,0.5671516607338236,-0.019332871652816053,-0.010767167459119875,-0.02412280701754388,-0.06140350877192979,-0.03776553894571211
Handcrafted LogReg,unseen_test,original,reference,1712,0.6451955410952922,0.6141061961038217,0.5800233644859814,0.5800233644859814,0.6159052453468697,0.4252336448598131,0.7348130841121495,0.5031098825155494,0.2651869158878505,0.5671516607338236,0.0,0.0,0.0,0.0,0.0
Handcrafted LogReg,unseen_test,screenshot_mild,mild,1712,0.6491587693248319,0.607437037150387,0.5695093457943925,0.5695093457943925,0.6337078651685393,0.3294392523364486,0.8095794392523364,0.4335126825518832,0.19042056074766356,0.5671516607338236,0.00396322822953965,-0.006669158953434673,-0.010514018691588856,-0.09579439252336447,-0.06959719996366626
Handcrafted LogReg,unseen_test,screenshot_strong,strong,1712,0.64299829679448,0.6058980777867057,0.580607476635514,0.580607476635514,0.6181506849315068,0.4217289719626168,0.7394859813084113,0.5013888888888889,0.2605140186915888,0.5671516607338236,-0.002197244300812251,-0.008208118317115987,0.0005841121495326895,-0.003504672897196248,-0.0017209936266605608
SmallCNNV1,known_test,original,reference,456,0.8664012003693444,0.8673358064465055,0.7872807017543859,0.7872807017543859,0.8075117370892019,0.7543859649122807,0.8201754385964912,0.780045351473923,0.17982456140350878,0.5406003902614535,0.0,0.0,0.0,0.0,0.0
SmallCNNV1,known_test,screenshot_mild,mild,456,0.8399315173899662,0.8453535805258185,0.7675438596491229,0.7675438596491229,0.7877358490566038,0.7324561403508771,0.8026315789473685,0.759090909090909,0.19736842105263158,0.5406003902614535,-0.02646968297937824,-0.021982225920686993,-0.019736842105263053,-0.021929824561403577,-0.020954442383013916
SmallCNNV1,known_test,screenshot_strong,strong,456,0.8072483841181902,0.8124566047276193,0.7302631578947368,0.7302631578947368,0.7312775330396476,0.7280701754385965,0.7324561403508771,0.7296703296703296,0.2675438596491228,0.5406003902614535,-0.059152816251154205,-0.05487920171888627,-0.05701754385964908,-0.02631578947368418,-0.05037502180359332
SmallCNNV1,unseen_test,original,reference,1712,0.7215081557341254,0.6558252220465397,0.5887850467289719,0.5887850467289719,0.6853658536585366,0.3282710280373832,0.8492990654205608,0.4439178515007899,0.15070093457943926,0.5406003902614535,0.0,0.0,0.0,0.0,0.0
SmallCNNV1,unseen_test,screenshot_mild,mild,1712,0.7049483033452704,0.6517734355252117,0.5975467289719626,0.5975467289719627,0.6937354988399071,0.3492990654205608,0.8457943925233645,0.46464646464646464,0.1542056074766355,0.5406003902614535,-0.016559852388855045,-0.0040517865213279824,0.008761682242990787,0.0210280373831776,0.020728613145674757
SmallCNNV1,unseen_test,screenshot_strong,strong,1712,0.6845234845838065,0.6457436110160213,0.6197429906542056,0.6197429906542056,0.6853526220614828,0.4427570093457944,0.7967289719626168,0.5379701916252662,0.20327102803738317,0.5406003902614535,-0.03698467115031889,-0.010081611030518411,0.030957943925233655,0.1144859813084112,0.09405234012447627
MobileNetV3-Small,known_test,original,reference,456,0.9519275161588181,0.9573603801739043,0.8837719298245614,0.8837719298245614,0.8995433789954338,0.8640350877192983,0.9035087719298246,0.8814317673378076,0.09649122807017543,0.7300598621368408,0.0,0.0,0.0,0.0,0.0
MobileNetV3-Small,known_test,screenshot_mild,mild,456,0.9052400738688826,0.9115082414199239,0.8355263157894737,0.8355263157894737,0.8227848101265823,0.8552631578947368,0.8157894736842105,0.8387096774193549,0.18421052631578946,0.7300598621368408,-0.04668744228993549,-0.04585213875398042,-0.04824561403508776,-0.00877192982456143,-0.04272208991845272
MobileNetV3-Small,known_test,screenshot_strong,strong,456,0.8133271775931055,0.8011524879106092,0.7368421052631579,0.736842105263158,0.7045454545454546,0.8157894736842105,0.6578947368421053,0.7560975609756098,0.34210526315789475,0.7300598621368408,-0.13860033856571263,-0.15620789226329512,-0.14692982456140347,-0.04824561403508776,-0.12533420636219783
