model,split,condition,original_auc,transformed_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,original_ap,transformed_ap,delta_ap,delta_ap_ci_low,delta_ap_ci_high
LogReg,known_test,jpeg_q50,0.7246652816251153,0.7062942443828871,-0.018371037242228216,-0.02627827793167139,-0.011041859033548925,0.7225392255405856,0.6992034546044251,-0.02333577093616046,-0.033394094577846214,-0.013225439829577197
LogReg,known_test,crop_75,0.7246652816251153,0.6796899045860264,-0.04497537703908894,-0.06646371960603283,-0.02287097953216354,0.7225392255405856,0.6525889093365339,-0.06995031620405168,-0.0932294678518445,-0.045296477313853126
LogReg,known_test,resize_112,0.7246652816251153,0.6222106802092952,-0.10245460141582019,-0.14439346722068322,-0.060420033087103725,0.7225392255405856,0.5985229220055595,-0.12401630353502613,-0.15717201017679308,-0.08809995234590684
LogReg,known_test,blur_sigma2,0.7246652816251153,0.5750423207140658,-0.14962296091104954,-0.20175486688211752,-0.09910645583256382,0.7225392255405856,0.559309408105206,-0.16322981743537957,-0.20308626975893296,-0.12186185750089976
LogReg,known_test,screenshot_strong,0.7246652816251153,0.7053324099722993,-0.019332871652816053,-0.036222683902739305,-0.002941289627577651,0.7225392255405856,0.7117720580814657,-0.010767167459119875,-0.03402420422167954,0.010431307081126117
SmallCNNV1,known_test,jpeg_q50,0.8664012003693444,0.8349876885195445,-0.0314135118497999,-0.04345615958756545,-0.02008165974145891,0.8673358064465055,0.8368917487546722,-0.030444057691833337,-0.04437498548610903,-0.01763263381585602
SmallCNNV1,known_test,crop_75,0.8664012003693444,0.8225607879347492,-0.043840412434595244,-0.06440635580178516,-0.02443059402893221,0.8673358064465055,0.821861118066735,-0.045474688379770534,-0.07416550852294271,-0.019073361607582773
SmallCNNV1,known_test,resize_112,0.8664012003693444,0.6554132040627886,-0.21098799630655585,-0.26282317636195757,-0.158507906278855,0.8673358064465055,0.645721298454826,-0.2216145079916796,-0.2752285166781851,-0.1644856223696755
SmallCNNV1,known_test,blur_sigma2,0.8664012003693444,0.5661164973838104,-0.300284702985534,-0.36250192366882117,-0.23662473068636528,0.8673358064465055,0.5530237872436545,-0.314312019202851,-0.36938161229149474,-0.25103789046830105
SmallCNNV1,known_test,screenshot_strong,0.8664012003693444,0.8072483841181902,-0.059152816251154205,-0.0820262003693443,-0.037934749153585745,0.8673358064465055,0.8124566047276193,-0.05487920171888627,-0.0858318087512636,-0.022963846159936296
MobileNetV3-Small,known_test,jpeg_q50,0.9519275161588181,0.9072406894429056,-0.04468682671591251,-0.061845952600800176,-0.029083467990150796,0.9573603801739043,0.9136414650084961,-0.04371891516540827,-0.06483090127192535,-0.025176170701308044
MobileNetV3-Small,known_test,crop_75,0.9519275161588181,0.9227839335180056,-0.029143582640812515,-0.041339642967066825,-0.018447983995075412,0.9573603801739043,0.9284812375739216,-0.0288791425999827,-0.043952580634009614,-0.016131434856682534
MobileNetV3-Small,known_test,resize_112,0.9519275161588181,0.8307556171129578,-0.12117189904586034,-0.1537602916281933,-0.09041243459526005,0.9573603801739043,0.828739943673442,-0.1286204365004624,-0.16635839457080198,-0.09277865968326118
MobileNetV3-Small,known_test,blur_sigma2,0.9519275161588181,0.6862688519544474,-0.2656586642043707,-0.3125805536318867,-0.21879712988611888,0.9573603801739043,0.6829759378080117,-0.27438444236589266,-0.3247691214101043,-0.21877291221124742
MobileNetV3-Small,known_test,screenshot_strong,0.9519275161588181,0.8133271775931055,-0.13860033856571263,-0.17472780086180376,-0.10537713527239155,0.9573603801739043,0.8011524879106092,-0.15620789226329512,-0.19923863288504243,-0.11264440241254753
