comparison,split,condition,metric,observed_reference,observed_candidate,observed_difference,bootstrap_mean_difference,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
A2_vs_A0,known_test,original,roc_auc,0.9519275161588181,0.9421552785472453,-0.009772237611572754,-0.009591978301015694,0.005458266171419853,-0.020525546321945146,0.0007704293628808643,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,known_test,original,average_precision,0.9573603801739043,0.9490671756749863,-0.008293204498918016,-0.008141994552759966,0.005453681042042606,-0.019170751596056187,0.0022494938473946405,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,known_test,jpeg_q50,roc_auc,0.9072406894429056,0.925919513696522,0.018678824253616444,0.018968382579255157,0.00789556014987861,0.0039435210834102286,0.035203139427516184,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,jpeg_q50,average_precision,0.9136414650084961,0.931883905107204,0.0182424400987079,0.01848314313142553,0.009812385601684123,0.00034098921034711195,0.03829832142070807,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,resize_112,roc_auc,0.8307556171129578,0.8974299784549092,0.06667436134195148,0.06709883425669436,0.01165235579346293,0.045551996768236284,0.09012532702369959,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,resize_112,average_precision,0.828739943673442,0.9066914006640763,0.07795145699063433,0.07785834641264092,0.014884624942058442,0.050084075330068756,0.10808374809576132,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,blur_sigma2,roc_auc,0.6862688519544474,0.7326485072329947,0.04637965527854726,0.046369252077562324,0.014145422324923261,0.01952475761772853,0.07374552746999061,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,blur_sigma2,average_precision,0.6829759378080117,0.7256983945346064,0.04272245672659469,0.04253974805069339,0.015938313232180434,0.011542453189196278,0.07312077933917792,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,screenshot_strong,roc_auc,0.8133271775931055,0.8598607263773469,0.04653354878424143,0.04678052477685442,0.015068876480012714,0.01712065250846417,0.07743103647276066,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,screenshot_strong,average_precision,0.8011524879106092,0.8661504827399137,0.06499799482930446,0.06442039910771308,0.01662846161482,0.03224623786580271,0.09688778019474795,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,jpeg_q50,difference_in_delta_auc,-0.04468682671591251,-0.01623576485072331,0.028451061865189198,0.02856036088027085,0.006989536109668031,0.015504289781471104,0.04251356186518918,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,jpeg_q50,difference_in_delta_ap,-0.04371891516540827,-0.01718327056778235,0.026535644597625918,0.026625137684185497,0.008786526061632823,0.01066371423633489,0.04460290324194291,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,resize_112,difference_in_delta_auc,-0.12117189904586034,-0.04472530009233611,0.07644659895352424,0.07669081255771006,0.011721352618954009,0.05445906432748526,0.09974270929516782,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,resize_112,difference_in_delta_ap,-0.1286204365004624,-0.042375775010910055,0.08624466148955234,0.08600034096540089,0.015010830284233579,0.05829852167730796,0.11613674172136633,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,blur_sigma2,difference_in_delta_auc,-0.2656586642043707,-0.20950677131425066,0.056151892890120014,0.05596123037857801,0.014046326504187289,0.029161857494613617,0.08387220106186538,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,blur_sigma2,difference_in_delta_ap,-0.27438444236589266,-0.22336878114037995,0.05101566122551271,0.050681742603453345,0.01591251060303291,0.018622411875130016,0.08101475757837537,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,screenshot_strong,difference_in_delta_auc,-0.13860033856571263,-0.08229455216989845,0.056305786395814184,0.056372503077870104,0.01486949928779809,0.02750846414281316,0.08629578331794396,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,screenshot_strong,difference_in_delta_ap,-0.15620789226329512,-0.08291669293507264,0.07329119932822248,0.07256239366047305,0.016989779136937083,0.03958004535436781,0.10558715972608917,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,StrongRobustTest,roc_auc,0.8440481686672823,0.8659779932286857,0.021929824561403466,0.021830676265774094,0.010648533481061493,0.0007249225723298812,0.0423453610726378,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
