regime,split,condition,generator,recall,sample_count,threshold
F0,known_test,original,ADM,0.8070175438596491,57,0.36564627289772034
F0,known_test,original,BigGAN,0.9122807017543859,57,0.36564627289772034
F0,known_test,original,GLIDE,0.8771929824561403,57,0.36564627289772034
F0,known_test,original,SD15,0.8245614035087719,57,0.36564627289772034
F0,known_test,jpeg_q50,ADM,0.8245614035087719,57,0.36564627289772034
F0,known_test,jpeg_q50,BigGAN,0.9122807017543859,57,0.36564627289772034
F0,known_test,jpeg_q50,GLIDE,0.9122807017543859,57,0.36564627289772034
F0,known_test,jpeg_q50,SD15,0.7894736842105263,57,0.36564627289772034
F0,known_test,resize_112,ADM,0.8947368421052632,57,0.36564627289772034
F0,known_test,resize_112,BigGAN,0.9298245614035088,57,0.36564627289772034
F0,known_test,resize_112,GLIDE,0.9473684210526315,57,0.36564627289772034
F0,known_test,resize_112,SD15,0.9473684210526315,57,0.36564627289772034
F0,known_test,blur_sigma2,ADM,1.0,57,0.36564627289772034
F0,known_test,blur_sigma2,BigGAN,1.0,57,0.36564627289772034
F0,known_test,blur_sigma2,GLIDE,1.0,57,0.36564627289772034
F0,known_test,blur_sigma2,SD15,0.9824561403508771,57,0.36564627289772034
F0,known_test,screenshot_strong,ADM,0.7017543859649122,57,0.36564627289772034
F0,known_test,screenshot_strong,BigGAN,0.6842105263157895,57,0.36564627289772034
F0,known_test,screenshot_strong,GLIDE,0.8421052631578947,57,0.36564627289772034
F0,known_test,screenshot_strong,SD15,0.8070175438596491,57,0.36564627289772034
F0,unseen_test,original,Midjourney,0.8251748251748252,286,0.36564627289772034
F0,unseen_test,original,VQDM,0.36140350877192984,285,0.36564627289772034
F0,unseen_test,original,Wukong,0.8526315789473684,285,0.36564627289772034
F0,unseen_test,jpeg_q50,Midjourney,0.7762237762237763,286,0.36564627289772034
F0,unseen_test,jpeg_q50,VQDM,0.4,285,0.36564627289772034
F0,unseen_test,jpeg_q50,Wukong,0.8491228070175438,285,0.36564627289772034
F0,unseen_test,resize_112,Midjourney,0.9300699300699301,286,0.36564627289772034
F0,unseen_test,resize_112,VQDM,0.6771929824561403,285,0.36564627289772034
F0,unseen_test,resize_112,Wukong,0.9403508771929825,285,0.36564627289772034
F0,unseen_test,blur_sigma2,Midjourney,1.0,286,0.36564627289772034
F0,unseen_test,blur_sigma2,VQDM,0.9929824561403509,285,0.36564627289772034
F0,unseen_test,blur_sigma2,Wukong,1.0,285,0.36564627289772034
F0,unseen_test,screenshot_strong,Midjourney,0.7167832167832168,286,0.36564627289772034
F0,unseen_test,screenshot_strong,VQDM,0.3333333333333333,285,0.36564627289772034
F0,unseen_test,screenshot_strong,Wukong,0.856140350877193,285,0.36564627289772034
F1,known_test,original,ADM,0.38596491228070173,57,0.8011783361434937
F1,known_test,original,BigGAN,1.0,57,0.8011783361434937
F1,known_test,original,GLIDE,0.9473684210526315,57,0.8011783361434937
F1,known_test,original,SD15,0.03508771929824561,57,0.8011783361434937
F1,known_test,jpeg_q50,ADM,0.45614035087719296,57,0.8011783361434937
F1,known_test,jpeg_q50,BigGAN,0.9649122807017544,57,0.8011783361434937
F1,known_test,jpeg_q50,GLIDE,0.8947368421052632,57,0.8011783361434937
F1,known_test,jpeg_q50,SD15,0.05263157894736842,57,0.8011783361434937
F1,known_test,resize_112,ADM,1.0,57,0.8011783361434937
F1,known_test,resize_112,BigGAN,1.0,57,0.8011783361434937
F1,known_test,resize_112,GLIDE,1.0,57,0.8011783361434937
F1,known_test,resize_112,SD15,1.0,57,0.8011783361434937
F1,known_test,blur_sigma2,ADM,1.0,57,0.8011783361434937
F1,known_test,blur_sigma2,BigGAN,1.0,57,0.8011783361434937
F1,known_test,blur_sigma2,GLIDE,1.0,57,0.8011783361434937
F1,known_test,blur_sigma2,SD15,1.0,57,0.8011783361434937
F1,known_test,screenshot_strong,ADM,0.38596491228070173,57,0.8011783361434937
F1,known_test,screenshot_strong,BigGAN,0.8421052631578947,57,0.8011783361434937
F1,known_test,screenshot_strong,GLIDE,0.7894736842105263,57,0.8011783361434937
F1,known_test,screenshot_strong,SD15,0.017543859649122806,57,0.8011783361434937
F1,unseen_test,original,Midjourney,0.13636363636363635,286,0.8011783361434937
F1,unseen_test,original,VQDM,0.14736842105263157,285,0.8011783361434937
F1,unseen_test,original,Wukong,0.05964912280701754,285,0.8011783361434937
F1,unseen_test,jpeg_q50,Midjourney,0.2867132867132867,286,0.8011783361434937
F1,unseen_test,jpeg_q50,VQDM,0.25263157894736843,285,0.8011783361434937
F1,unseen_test,jpeg_q50,Wukong,0.1649122807017544,285,0.8011783361434937
F1,unseen_test,resize_112,Midjourney,1.0,286,0.8011783361434937
F1,unseen_test,resize_112,VQDM,1.0,285,0.8011783361434937
F1,unseen_test,resize_112,Wukong,1.0,285,0.8011783361434937
F1,unseen_test,blur_sigma2,Midjourney,1.0,286,0.8011783361434937
F1,unseen_test,blur_sigma2,VQDM,1.0,285,0.8011783361434937
F1,unseen_test,blur_sigma2,Wukong,1.0,285,0.8011783361434937
F1,unseen_test,screenshot_strong,Midjourney,0.09090909090909091,286,0.8011783361434937
F1,unseen_test,screenshot_strong,VQDM,0.14736842105263157,285,0.8011783361434937
F1,unseen_test,screenshot_strong,Wukong,0.03859649122807018,285,0.8011783361434937
F2,known_test,original,ADM,0.8070175438596491,57,0.1032474935054779
F2,known_test,original,BigGAN,0.8771929824561403,57,0.1032474935054779
F2,known_test,original,GLIDE,0.8771929824561403,57,0.1032474935054779
F2,known_test,original,SD15,0.8070175438596491,57,0.1032474935054779
