analysis_type,model,comparison,split,condition,metric,raw_or_reference,calibrated_or_candidate,observed_difference,bootstrap_mean,bootstrap_std,ci_low,ci_high,includes_zero
calibration_effect,C0,C0,known_test,original,NLL,raw,calibrated,-0.0665610961548086,-0.06603529391214755,0.02130546173189108,-0.10861109906096798,-0.025698972093769,False
calibration_effect,C1,C1,known_test,original,NLL,raw,calibrated,-0.28642253629113196,-0.2854955365955544,0.0580815353434874,-0.4045460524259517,-0.17800745726597955,False
calibration_effect,C0,C0,known_test,original,BRIER,raw,calibrated,-0.007855338769080289,-0.007903226764296176,0.0030815923727227743,-0.01412857306028249,-0.002032206538785355,False
calibration_effect,C1,C1,known_test,original,BRIER,raw,calibrated,-0.017286365797028094,-0.017172417006478268,0.00522504836573444,-0.027887725533798494,-0.0073561170371671545,False
calibration_effect,C0,C0,known_test,original,ECE15,raw,calibrated,-0.03673538297484639,-0.025662101953246027,0.011820797640559086,-0.047932225281324306,-0.002153190293535307,False
calibration_effect,C1,C1,known_test,original,ECE15,raw,calibrated,-0.028005105229708727,-0.026929005758384108,0.012838082805064276,-0.051209449444197884,-0.0014293340825636445,False
selective_risk,C0,risk_80_minus_risk_100,known_test,original,selective_risk_difference,100% policy,80% policy,-0.06531273836765827,-0.06508005235929372,0.012226270430463955,-0.08958698146654849,-0.04166607873571336,False
selective_coverage,C0,C0,known_test,original,actual_coverage_80,validation_target_0.80,test_actual,0.8070175438596491,0.8068263157894736,0.018713962047109275,0.7697368421052632,0.8421052631578947,True
selective_risk,C1,risk_80_minus_risk_100,known_test,original,selective_risk_difference,100% policy,80% policy,-0.041299255993386685,-0.041272511904193676,0.010423108899755494,-0.06254615736861592,-0.022339730214061368,False
selective_coverage,C1,C1,known_test,original,actual_coverage_80,validation_target_0.80,test_actual,0.8377192982456141,0.8378359649122807,0.01735885197647014,0.8026315789473685,0.8706140350877193,False
calibration_effect,C0,C0,known_test,jpeg_q50,NLL,raw,calibrated,-0.07825913972272219,-0.07840165111242466,0.0230872036398659,-0.12591116871973076,-0.03568111387779854,False
calibration_effect,C1,C1,known_test,jpeg_q50,NLL,raw,calibrated,-0.3087495166549439,-0.3092787138495036,0.060428791769707495,-0.4341509827681681,-0.1968753658467938,False
calibration_effect,C0,C0,known_test,jpeg_q50,BRIER,raw,calibrated,-0.008550625200097098,-0.008553130199336624,0.003099208585101934,-0.014811093044644952,-0.0025667200203573146,False
calibration_effect,C1,C1,known_test,jpeg_q50,BRIER,raw,calibrated,-0.022667088348104603,-0.022667566035156274,0.005716364542765177,-0.034278232167366814,-0.011879242498157737,False
calibration_effect,C0,C0,known_test,jpeg_q50,ECE15,raw,calibrated,-0.03661208881222607,-0.030578429932926383,0.012916339365429498,-0.05505963633367317,-0.00473211226095099,False
calibration_effect,C1,C1,known_test,jpeg_q50,ECE15,raw,calibrated,-0.05730551014080408,-0.05292688731965375,0.013586771185134783,-0.07825979533803688,-0.02550144803109924,False
selective_risk,C0,risk_80_minus_risk_100,known_test,jpeg_q50,selective_risk_difference,100% policy,80% policy,-0.0751461988304093,-0.07503240116835982,0.013031158280498454,-0.10146321007902183,-0.05071166069390958,False
selective_coverage,C0,C0,known_test,jpeg_q50,actual_coverage_80,validation_target_0.80,test_actual,0.7894736842105263,0.7894820175438596,0.01919964790816083,0.7521929824561403,0.8267543859649122,True
selective_risk,C1,risk_80_minus_risk_100,known_test,jpeg_q50,selective_risk_difference,100% policy,80% policy,-0.05513784461152882,-0.055258942878528276,0.011858460411431215,-0.07928009654737697,-0.03279575017764385,False
selective_coverage,C1,C1,known_test,jpeg_q50,actual_coverage_80,validation_target_0.80,test_actual,0.7982456140350878,0.7982982456140351,0.018789100190235292,0.7609649122807017,0.8355263157894737,True
calibration_effect,C0,C0,known_test,resize_112,NLL,raw,calibrated,-0.17148141970351416,-0.17121539622460433,0.027041049194331337,-0.2258129317255102,-0.1200178809987365,False
calibration_effect,C1,C1,known_test,resize_112,NLL,raw,calibrated,-0.36799955280318003,-0.3692483009529599,0.059151159797290256,-0.4913295739607625,-0.25825920854077705,False
calibration_effect,C0,C0,known_test,resize_112,BRIER,raw,calibrated,-0.022696745768716914,-0.022654664140581243,0.0035927775069607404,-0.029696635817034987,-0.015835472672923647,False
calibration_effect,C1,C1,known_test,resize_112,BRIER,raw,calibrated,-0.0336168512870503,-0.03351177240144849,0.006494829360654189,-0.046502252381903066,-0.021157655283643082,False
calibration_effect,C0,C0,known_test,resize_112,ECE15,raw,calibrated,-0.021716130961806246,-0.030272046489691264,0.008830769004483166,-0.04894988056180529,-0.014206237241925827,False
calibration_effect,C1,C1,known_test,resize_112,ECE15,raw,calibrated,-0.088680025173147,-0.08107299719412944,0.013084656775033406,-0.10586050023589987,-0.05457403794746031,False
selective_risk,C0,risk_80_minus_risk_100,known_test,resize_112,selective_risk_difference,100% policy,80% policy,-0.08661631890376831,-0.0864419426917599,0.014840789340207758,-0.11622807017543857,-0.05833597209573925,False
selective_coverage,C0,C0,known_test,resize_112,actual_coverage_80,validation_target_0.80,test_actual,0.7412280701754386,0.7415684210526317,0.01982056447080501,0.7038925438596492,0.7785087719298246,False
selective_risk,C1,risk_80_minus_risk_100,known_test,resize_112,selective_risk_difference,100% policy,80% policy,-0.05854753161974702,-0.05842654187294811,0.012967179274698036,-0.08426554667919801,-0.033625730994152,False
selective_coverage,C1,C1,known_test,resize_112,actual_coverage_80,validation_target_0.80,test_actual,0.7543859649122807,0.7546473684210526,0.019939013875313147,0.7149122807017544,0.793859649122807,False
calibration_effect,C0,C0,known_test,blur_sigma2,NLL,raw,calibrated,-1.4180717722855776,-1.41772333956613,0.04639117257603795,-1.5075201986014843,-1.3254291804763547,False
calibration_effect,C1,C1,known_test,blur_sigma2,NLL,raw,calibrated,-2.7492789766900363,-2.749682556113467,0.10305128344867613,-2.9484685625957705,-2.5481961360531904,False
calibration_effect,C0,C0,known_test,blur_sigma2,BRIER,raw,calibrated,-0.04100345097897057,-0.040951486238547025,0.0022960165185181083,-0.04551607589068472,-0.03644000206786363,False
calibration_effect,C1,C1,known_test,blur_sigma2,BRIER,raw,calibrated,-0.07780032949123084,-0.07774930519286902,0.004434200973672092,-0.0864062092344688,-0.06903702851939961,False
calibration_effect,C0,C0,known_test,blur_sigma2,ECE15,raw,calibrated,-0.03403264582618626,-0.03377182094205094,0.0018025033050631778,-0.03723691726468777,-0.03014397952341556,False
calibration_effect,C1,C1,known_test,blur_sigma2,ECE15,raw,calibrated,-0.06770804545727499,-0.06859336032089743,0.003891960980787409,-0.07648970178278966,-0.061007009763896426,False
selective_risk,C0,risk_80_minus_risk_100,known_test,blur_sigma2,selective_risk_difference,100% policy,80% policy,-0.015260133091349104,-0.015194555846562013,0.005228220491448966,-0.025717254448880372,-0.005181501387341284,False
selective_coverage,C0,C0,known_test,blur_sigma2,actual_coverage_80,validation_target_0.80,test_actual,0.9539473684210527,0.9539127192982456,0.00960210452274366,0.9342105263157895,0.9714912280701754,False
