model,condition,generator,mean_calibrated_p_ai,median_calibrated_p_ai,mean_confidence,coverage_80_policy,accepted_accuracy_80,abstention_rate_80
C0,original,Midjourney,0.738929855,0.913798094,0.863674706,0.797202797,0.815789474,0.202797203
C0,original,VQDM,0.351205069,0.274344683,0.796792079,0.645614035,0.239130435,0.354385965
C0,original,Wukong,0.802228689,0.957549691,0.887175307,0.828070175,0.894067797,0.171929825
C0,blur_sigma2,Midjourney,0.971428571,0.992403409,0.971428571,0.986013986,1.0,0.013986014
C0,blur_sigma2,VQDM,0.948400855,0.979340847,0.951242703,0.964912281,0.996363636,0.035087719
C0,blur_sigma2,Wukong,0.984704255,0.997694433,0.984704255,0.992982456,1.0,0.007017544
C0,screenshot_strong,Midjourney,0.642037735,0.709376812,0.796672819,0.622377622,0.764044944,0.377622378
C0,screenshot_strong,VQDM,0.354332018,0.282661736,0.777982143,0.582456140,0.216867470,0.417543860
C0,screenshot_strong,Wukong,0.770143051,0.893655062,0.850494078,0.764912281,0.880733945,0.235087719
C1,original,Midjourney,0.678163736,0.814525187,0.845672783,0.776223776,0.756756757,0.223776224
C1,original,VQDM,0.300207069,0.223616242,0.809103377,0.740350877,0.165876777,0.259649123
C1,original,Wukong,0.755069857,0.925383091,0.869104307,0.831578947,0.827004219,0.168421053
C1,blur_sigma2,Midjourney,0.947227703,0.980702877,0.948758703,0.972027972,1.0,0.027972028
C1,blur_sigma2,VQDM,0.909273758,0.949178696,0.913199262,0.943859649,0.996282793,0.056140351
C1,blur_sigma2,Wukong,0.973345156,0.992388964,0.974280255,0.989473684,1.0,0.010526316
C1,screenshot_strong,Midjourney,0.576420855,0.604749501,0.786813433,0.681818182,0.625641026,0.318181818
C1,screenshot_strong,VQDM,0.310887789,0.227549763,0.781676703,0.687719298,0.147959184,0.312280702
C1,screenshot_strong,Wukong,0.721863857,0.837744713,0.819709307,0.750877193,0.845794393,0.249122807
