model,split,condition,aurc
C0,known_test,original,0.037326043531969895
C0,known_test,jpeg_q50,0.049913969301193635
C0,known_test,resize_112,0.09619650720161992
C0,known_test,blur_sigma2,0.32073901806115507
C0,known_test,screenshot_strong,0.10894792297028742
C0,unseen_test,original,0.12014216435493909
C0,unseen_test,jpeg_q50,0.13580632002809273
C0,unseen_test,resize_112,0.15243187609823902
C0,unseen_test,blur_sigma2,0.30528890990009155
C0,unseen_test,screenshot_strong,0.15741095816473952
C1,known_test,original,0.04440177458309456
C1,known_test,jpeg_q50,0.05517858593161627
C1,known_test,resize_112,0.07470664552749957
C1,known_test,blur_sigma2,0.31773607613693533
C1,known_test,screenshot_strong,0.13292451362248178
C1,unseen_test,original,0.12926790499640362
C1,unseen_test,jpeg_q50,0.14529922561143116
C1,unseen_test,resize_112,0.1322844641281185
C1,unseen_test,blur_sigma2,0.29572961779138074
C1,unseen_test,screenshot_strong,0.17137686287197657
