fold,group,n,mean_dist_to_same_centroid,mean_dist_to_opposite_centroid,mean_nn_opposite_dist,k5_local_real_frac,frac_nn_is_real
1,TN_REAL,906,0.5973489479442597,0.6675084832105859,0.6266285756507992,0.936644591611479,0.9613686534216336
1,FP_REAL,17,0.6987593023789154,0.6671585245838979,0.5956656991544456,0.6352941176470589,0.7647058823529411
1,TP_AI,546,0.6117570389894733,0.6936928837195958,0.6214860705710464,0.00402930402930403,0.003663003663003663
1,FN_AI,1352,0.5719536439368801,0.6332373868049217,0.605162902077035,0.01257396449704142,0.005917159763313609
2,TN_REAL,916,0.6473380921763608,0.7476279375247389,0.6027618636495305,0.8967248908296944,0.9323144104803494
2,FP_REAL,7,0.741985133884213,0.702739212471804,0.4946022948931101,0.5428571428571429,0.8571428571428571
2,TP_AI,618,0.6546747349995335,0.8205322144103497,0.6626913983674703,0.007443365695792881,0.0016181229773462784
2,FN_AI,1078,0.6787035583455929,0.7253306439703522,0.6141649537870211,0.020037105751391462,0.008348794063079777
3,TN_REAL,888,0.6580321890415537,0.8384848818582935,0.7200910771170396,0.9531531531531531,0.972972972972973
3,FP_REAL,35,0.7994701112292377,0.8172148907557554,0.7705794509183062,0.8171428571428572,0.8571428571428571
3,TP_AI,642,0.5126762523787952,0.7729076740787321,0.5690750884939937,0.006853582554517135,0.003115264797507788
3,FN_AI,429,0.5564858847930908,0.7171635264562509,0.6562790896381665,0.021445221445221447,0.016317016317016316
4,TN_REAL,899,0.6730828876254046,0.7674381110710004,0.7259781836533454,0.9750834260289211,0.9777530589543938
4,FP_REAL,24,0.7323094946548897,0.7445877692401804,0.7310717540788568,0.8416666666666668,1.0
4,TP_AI,230,0.6339282085410495,0.7479881572399504,0.7171256606427708,0.01565217391304348,0.013043478260869565
4,FN_AI,556,0.6015531811344228,0.701124463138178,0.6773988968724461,0.03237410071942446,0.01618705035971223
