fold,head,roc_auc,ap,ai_recall,real_specificity,balanced_accuracy,precision,f1
1,H0,0.8893269644616504,0.9330544687611088,0.2876712328767123,0.9815817984832069,0.6346265156799596,0.9698046181172292,0.4437220642015441
1,H1,0.9528288316263798,0.9731983659482035,0.4567966280295047,0.9880823401950163,0.7224394841122606,0.9874715261958997,0.6246397694524496
1,H2,0.9523470563186202,0.9726765857786811,0.559536354056902,0.9739978331527628,0.7667670936048324,0.9779005524861878,0.7117962466487936
2,H0,0.8999091610621641,0.9438980038350224,0.3643867924528302,0.9924160346695557,0.678401413561193,0.9888,0.5325290822921155
2,H1,0.9428934820826264,0.9654285629127167,0.3920990566037736,0.9924160346695557,0.6922575456366646,0.9895833333333334,0.5616554054054054
2,H2,0.9437437396512602,0.96608650499662,0.5442216981132075,0.9739978331527628,0.7591097656329852,0.9746568109820486,0.6984487325009459
3,H0,0.9367871381127387,0.9397479686419078,0.5994397759103641,0.962080173347779,0.7807599746290715,0.948301329394387,0.7345537757437071
3,H1,0.9568390736576321,0.9614120264920805,0.7096171802054155,0.962080173347779,0.8358486767765972,0.9559748427672956,0.8145766345123259
3,H2,0.9579619496769455,0.9623209891521992,0.7889822595704948,0.933911159263272,0.8614467094168834,0.9326710816777042,0.8548305513404147
4,H0,0.8866678245239691,0.852769820333527,0.2926208651399491,0.9739978331527628,0.633309349146356,0.905511811023622,0.4423076923076923
4,H1,0.9494374743272711,0.9303054455061736,0.33587786259541985,0.991332611050921,0.6636052368231704,0.9705882352941176,0.499054820415879
4,H2,0.9489384929660168,0.9291316765693193,0.40966921119592875,0.9859154929577465,0.6977923520768377,0.9611940298507463,0.5744870651204282
macro,H0,0.9031727720401306,0.9173675653928914,0.3860296665949639,0.977518959913326,0.6817743132541451,0.9531044396338095,0.5382781536362647
macro,H1,0.9504997154234773,0.9575861002147935,0.47359768185852846,0.983477789815818,0.7285377358371732,0.9759044843976616,0.6249816574465149
macro,H2,0.9507478096532107,0.9575539391242048,0.5756023807341333,0.966955579631636,0.7712789801828847,0.9616056187491717,0.7098906489026456
