n,n_covered,coverage,abstention_rate,selective_accuracy,selective_error_rate,covered_ai_recall,covered_real_specificity,covered_balanced_accuracy,ai_n,ai_coverage,ai_uncertainty_rate,real_n,real_coverage,real_uncertainty_rate,tp_over_total_ai,tn_over_total_real,baseline_errors,errors_to_uncertain,error_capture_rate,correct_to_uncertain,error_enrichment_ratio,ai_baseline_errors,ai_errors_to_uncertain,ai_error_capture_rate,real_baseline_errors,real_errors_to_uncertain,real_error_capture_rate,baseline_error_rate,fold,policy,cutoff
2821.0,2678.0,0.9493087557603687,0.05069124423963134,0.7079910380881255,0.29200896191187453,0.5673839184597962,0.9802631578947368,0.7738235381772665,1898.0,0.9304531085353003,0.06954689146469972,923.0,0.9880823401950163,0.011917659804983716,0.5279241306638567,0.9685807150595883,860.0,78.0,0.09069767441860466,65.0,1.789217758985201,836.0,72.0,0.0861244019138756,24.0,6.0,0.25,0.30485643388869194,1,S95,0.515110048569664
2619.0,2499.0,0.9541809851088202,0.04581901489117979,0.7046818727490997,0.29531812725090034,0.5454545454545454,0.980327868852459,0.7628912071535022,1696.0,0.9339622641509434,0.06603773584905659,923.0,0.991332611050921,0.008667388949079036,0.5094339622641509,0.971830985915493,797.0,59.0,0.0740276035131744,61.0,1.6156524466750333,773.0,53.0,0.0685640362225097,24.0,6.0,0.25,0.3043146239022528,2,S95,0.5205327974393753
1994.0,1916.0,0.9608826479438315,0.03911735205616851,0.8669102296450939,0.13308977035490605,0.7990196078431373,0.9441964285714286,0.871608018207283,1071.0,0.9523809523809523,0.04761904761904767,923.0,0.9707475622968581,0.029252437703141898,0.7609710550887021,0.9165763813651138,287.0,32.0,0.11149825783972125,46.0,2.850352899133387,226.0,21.0,0.09292035398230089,61.0,11.0,0.18032786885245902,0.14393179538615847,3,S95,0.5196492585931084
1709.0,1659.0,0.970743124634289,0.029256875365710977,0.7257383966244726,0.2742616033755274,0.40135135135135136,0.9869423286180631,0.6941468399847073,786.0,0.9414758269720102,0.058524173027989845,923.0,0.9956663055254604,0.004333694474539573,0.37786259541984735,0.9826652221018418,477.0,22.0,0.04612159329140461,28.0,1.5764360587002078,464.0,21.0,0.04525862068965517,13.0,1.0,0.07692307692307693,0.2791105909888824,4,S95,0.5123986956286908
,,0.9587788783618274,0.04122112163817265,0.7513303842766978,0.2486696157233021,0.5783023557772076,0.9729324459841718,0.7756174008806898,,0.9395680380098016,,,0.986457204767064,,0.5440479358591392,0.9599133261105092,,,0.08058628226572623,,1.9579147908734573,,,0.07321685320208535,,,0.18931273644388397,0.2580533610414964,macro,S95,
2821.0,2560.0,0.9074796171570365,0.09252038284296349,0.716015625,0.283984375,0.5698729582577132,0.9823594266813671,0.7761161924695401,1898.0,0.8709167544783983,0.12908324552160166,923.0,0.9826652221018418,0.017334777898158182,0.49631190727081137,0.9653304442036836,860.0,133.0,0.15465116279069768,128.0,1.6715361311592267,836.0,125.0,0.14952153110047847,24.0,8.0,0.3333333333333333,0.30485643388869194,1,S90,0.5294425449610396
2619.0,2377.0,0.907598319969454,0.09240168003054605,0.7168700042069835,0.2831299957930164,0.5519348268839104,0.9856194690265486,0.7687771479552294,1696.0,0.8685141509433962,0.13148584905660377,923.0,0.9794149512459371,0.020585048754062862,0.4793632075471698,0.9653304442036836,797.0,124.0,0.15558343789209536,118.0,1.6837728257826345,773.0,113.0,0.1461836998706339,24.0,11.0,0.4583333333333333,0.3043146239022528,2,S90,0.542439874520089
1994.0,1849.0,0.9272818455366099,0.07271815446339014,0.8777717685235262,0.12222823147647377,0.8075742067553736,0.9564220183486238,0.8819981125519987,1071.0,0.9122315592903828,0.0877684407096172,923.0,0.9447453954496208,0.05525460455037923,0.7366946778711485,0.9035752979414952,287.0,61.0,0.21254355400696864,84.0,2.9228403219992805,226.0,38.0,0.168141592920354,61.0,23.0,0.3770491803278688,0.14393179538615847,3,S90,0.538930599851176
1709.0,1605.0,0.9391456992393212,0.06085430076067877,0.7364485981308411,0.2635514018691589,0.4025974025974026,0.9901315789473685,0.6963644907723856,786.0,0.8816793893129771,0.11832061068702293,923.0,0.9880823401950163,0.011917659804983716,0.3549618320610687,0.9783315276273022,477.0,54.0,0.11320754716981132,50.0,1.8603047895500724,464.0,50.0,0.10775862068965517,13.0,4.0,0.3076923076923077,0.2791105909888824,4,S90,0.5256467739073302
,,0.9203763704756054,0.07962362952439461,0.7617764989653377,0.23822350103466228,0.5829948486236,0.9786331232509771,0.7808139859372885,,0.8833354635062886,,,0.9737269772481041,,0.5168329061875496,0.9531419284940411,,,0.15899642546489326,,2.0346135171228035,,,0.14290136114528038,,,0.3691020386717108,0.2580533610414964,macro,S90,
