fold,condition,n,roc_auc,ap,ai_recall,real_specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
1,CLEAN,2821.0,0.9523470563186202,0.9726765857786811,0.559536354056902,0.9739978331527628,0.7667670936048324,0.9779005524861878,0.7117962466487936,899.0,24.0,836.0,1062.0
1,jpeg_q50,2821.0,0.7917674646403182,0.8684393961692229,0.08482613277133826,0.9902491874322861,0.5375376601018121,0.9470588235294117,0.15570599613152805,914.0,9.0,1737.0,161.0
1,resize_112,2821.0,0.7324443132818146,0.8214128440150027,0.9947312961011591,0.044420368364030335,0.5195758322325947,0.6815884476534296,0.8089117395029991,41.0,882.0,10.0,1888.0
1,blur_sigma2,2821.0,0.7269247323121676,0.7850340279858413,0.9868282402528978,0.5276273022751896,0.7572277712640437,0.8111736682546556,0.8904207273591633,487.0,436.0,25.0,1873.0
1,screenshot_strong,2821.0,0.7636053004417035,0.8650325237537957,0.1559536354056902,0.9783315276273022,0.5671425815164962,0.9367088607594937,0.26738934056007224,903.0,20.0,1602.0,296.0
2,CLEAN,2619.0,0.9437437396512602,0.96608650499662,0.5442216981132075,0.9739978331527628,0.7591097656329852,0.9746568109820486,0.6984487325009459,899.0,24.0,773.0,923.0
2,jpeg_q50,2619.0,0.7944063145199208,0.8442246805281225,0.009433962264150943,0.9967497291440953,0.5030918457041231,0.8421052631578947,0.018658892128279883,920.0,3.0,1680.0,16.0
2,resize_112,2619.0,0.7795399026962939,0.8420449158787909,0.9298349056603774,0.4268689057421452,0.6783519057012612,0.7488129154795822,0.8295633876906892,394.0,529.0,119.0,1577.0
2,blur_sigma2,2619.0,0.7682904392976144,0.7910897567705825,0.8838443396226415,0.6164680390032503,0.7501561893129459,0.8089584457636265,0.8447449985911525,569.0,354.0,197.0,1499.0
2,screenshot_strong,2619.0,0.7179859819293117,0.7855309600709927,0.5778301886792453,0.7345612134344529,0.6561957010568491,0.8,0.671003081136597,678.0,245.0,716.0,980.0
3,CLEAN,1994.0,0.9579619496769455,0.9623209891521992,0.7889822595704948,0.933911159263272,0.8614467094168834,0.9326710816777042,0.8548305513404147,862.0,61.0,226.0,845.0
3,jpeg_q50,1994.0,0.8499352070188856,0.869700687613213,0.23249299719887956,0.9902491874322861,0.6113710923155828,0.9651162790697675,0.3747178329571106,914.0,9.0,822.0,249.0
3,resize_112,1994.0,0.8222375985424867,0.8128658680375789,1.0,0.05417118093174431,0.5270855904658721,0.5509259259259259,0.7104477611940299,50.0,873.0,0.0,1071.0
3,blur_sigma2,1994.0,0.7993228349483528,0.7738882257429439,0.9719887955182073,0.5547128927410617,0.7633508441296345,0.7169421487603306,0.8252080856123662,512.0,411.0,30.0,1041.0
3,screenshot_strong,1994.0,0.8302818418808476,0.8194558738529367,0.5424836601307189,0.8732394366197183,0.7078615483752186,0.832378223495702,0.6568682871678915,806.0,117.0,490.0,581.0
4,CLEAN,1709.0,0.9489384929660168,0.9291316765693193,0.40966921119592875,0.9859154929577465,0.6977923520768377,0.9611940298507463,0.5744870651204282,910.0,13.0,464.0,322.0
4,jpeg_q50,1709.0,0.853063773126132,0.8012196096086439,0.030534351145038167,1.0,0.5152671755725191,1.0,0.05925925925925926,923.0,0.0,762.0,24.0
4,resize_112,1709.0,0.566680864202636,0.5259978894480717,1.0,0.0,0.5,0.459918080748976,0.630060120240481,0.0,923.0,0.0,786.0
4,blur_sigma2,1709.0,0.6116009031286959,0.46680406302119754,0.9923664122137404,0.5222101841820151,0.7572882981978778,0.6388206388206388,0.7772795216741405,482.0,441.0,6.0,780.0
4,screenshot_strong,1709.0,0.772319767105274,0.7221542277358592,0.4389312977099237,0.8634886240520043,0.6512099608809641,0.732484076433121,0.548926014319809,797.0,126.0,441.0,345.0
macro,CLEAN,,0.9507478096532107,0.9575539391242048,0.5756023807341333,0.966955579631636,0.7712789801828847,0.9616056187491717,0.7098906489026456,,,,
macro,jpeg_q50,,0.8222931898263142,0.8458960934798005,0.08932186084485173,0.9943120260021668,0.5418169434235094,0.9385700914392685,0.15208549511904443,,,,
macro,resize_112,,0.7252256696808078,0.7505803793448611,0.9811415504403841,0.13136511375947996,0.556253332099932,0.6103113424519785,0.7447457521570497,,,,
macro,blur_sigma2,,0.7265347274217077,0.7042040183801412,0.9587569469018719,0.5552546045503792,0.7570057757261255,0.7439737253998129,0.8344133333092056,,,,
macro,screenshot_strong,,0.7710482228392842,0.798043396353396,0.4287996954813945,0.8624052004333693,0.645602447957382,0.8253927901720791,0.5360466807960924,,,,
