fold,condition,euc_overall_mean,euc_real_mean,euc_ai_mean,cos_sim_overall_mean
1,jpeg_q50,0.571601991086444,0.49853903245084485,0.6071326079571808,0.8184538666909764
1,resize_112,0.833947722676546,0.8943470514836588,0.8045754463388407,0.6493899859391895
1,blur_sigma2,0.5665563539187883,0.5609691897520598,0.569273399506718,0.8006931314476013
1,screenshot_strong,0.6192721961937834,0.6437012315161504,0.6073923228520843,0.8045046534051893
2,jpeg_q50,0.584566783144027,0.48867628709243754,0.636752471738141,0.7990610408734609
2,resize_112,0.8624669658529769,0.9324367233708298,0.8243879056000414,0.6165492050052365
2,blur_sigma2,0.5223927742733698,0.4703124859132611,0.5507359972429338,0.8293499543550361
2,screenshot_strong,0.714913861781916,0.756675394073962,0.6921863297621291,0.7409168254792945
3,jpeg_q50,0.6377020582730705,0.5266400024845374,0.73341660308429,0.776204261543074
3,resize_112,0.8067073896809657,0.9560293384936597,0.6780200332345447,0.6567334232542861
3,blur_sigma2,0.5263835293596104,0.5199481141065033,0.5319296435319892,0.8322290990358032
3,screenshot_strong,0.6592855041890067,0.6930860021897461,0.6301558499829539,0.7781728011170901
4,jpeg_q50,0.5095774463124358,0.4915094559056355,0.5307946920445947,0.8627645540983699
4,resize_112,0.9528716785143823,1.0200214778282468,0.8740176520936483,0.5389429355203144
4,blur_sigma2,0.6307617964367035,0.6509517738659598,0.6070527008041288,0.7448278017332423
4,screenshot_strong,0.631705981581173,0.6555974890909931,0.603650178233127,0.7984728792624732
