fold,condition,delta_z_mean,delta_z_real_mean,delta_z_ai_mean,delta_z_real_median,delta_z_ai_median,recon_max_abs,cos_d_real_w,cos_d_ai_w,norm_d_real,norm_d_ai
1,jpeg_q50,-2.055147704840703,-0.6268664386440026,-2.7497228411418373,-0.9358232485038389,-2.7136176798519207,2.6645352591003757e-15,-0.1032804464521331,-0.3499627194962543,0.2854584013286206,0.3695328532473176
1,resize_112,3.395609601348006,5.756770361076048,2.247373889425465,5.885036273204844,2.2354382440883853,3.552713678800501e-15,0.3820820725138606,0.16826275562159937,0.708611443595412,0.6281642996016212
1,blur_sigma2,2.5538351964432784,3.802293287517266,1.9467083165374344,2.594730092596137,2.1629242025005286,3.552713678800501e-15,0.4140061570544609,0.2089992967217315,0.43194129865286357,0.4380684501760899
1,screenshot_strong,-0.7815687559125339,1.337218021233855,-1.8119376680864627,1.422425443516281,-1.468825326529391,2.4424906541753444e-15,0.15100412530655724,-0.22207687982973465,0.4164849625512889,0.3837300615698201
2,jpeg_q50,-2.7088050927342846,-1.202482520448445,-3.5285785209299396,-1.2342281455635629,-3.400375105837152,3.552713678800501e-15,-0.196319704550281,-0.42904394617120833,0.263013888850519,0.35315211383268313
2,resize_112,2.5048210506835797,4.5563427976917765,1.3883384018106046,4.602785773910407,1.5910723394731723,2.6645352591003757e-15,0.272676446649438,0.09967058058973113,0.7175176149097338,0.5981252695502228
2,blur_sigma2,1.8655832494988942,2.723129941494821,1.3988877325695073,1.669974197686623,1.8487484386782955,3.552713678800501e-15,0.37225903565559504,0.18404451601153596,0.31411372988471997,0.32638018390412293
2,screenshot_strong,1.0611260553857123,3.2957538003523204,-0.15500685063090297,3.3943684736474586,0.1481495176376112,2.220446049250313e-15,0.2696197055939851,-0.01509488326606446,0.5248883501898026,0.4409455215764138
3,jpeg_q50,-2.6908825654762882,-1.4086756019800737,-3.795903132522979,-1.4504071659328712,-3.76687879510615,2.6645352591003757e-15,-0.20850826386299154,-0.34856961099501904,0.2996723632121705,0.48304164147562767
3,resize_112,3.3889097671938972,6.120634010252441,1.0346786968455912,6.5494903000610565,0.9032605585768563,3.552713678800501e-15,0.3672525838154162,0.0897774490603273,0.7392486214321994,0.5112075018222249
3,blur_sigma2,1.7794475588738998,2.9417230428983525,0.777785307002219,2.0302663524782942,1.0490448394811644,3.552713678800501e-15,0.38730564905209197,0.09597436652541348,0.3369045862678774,0.35947066290609286
3,screenshot_strong,0.3526620905079256,2.528248540005194,-1.5222830942595615,2.77104054660259,-1.3568057460843854,2.6645352591003757e-15,0.24878662116349934,-0.15410129737636993,0.45076658573949785,0.43817551057719545
4,jpeg_q50,-2.1753036066707354,-1.431763001848447,-3.0484435281096314,-1.4146725153265067,-3.080978559623145,3.3306690738754696e-15,-0.25244095380818327,-0.3857336862177408,0.24740619531699082,0.34473853685144007
4,resize_112,7.1351483524255,8.929941644561133,5.027522132780223,9.061011899601224,5.07798423847057,5.329070518200751e-15,0.4796558653556739,0.31097766564033463,0.81211607835102,0.7052190566003501
4,blur_sigma2,4.151960138614464,5.080471099618992,3.061609480844514,3.4110559251741788,2.9784531274950776,3.552713678800501e-15,0.4339909474482806,0.26944950568740283,0.5106490895198069,0.4956460509543621
4,screenshot_strong,1.6166589618093525,2.838291372080716,0.1820957115797489,2.9953019901066282,0.2438239501909233,2.6645352591003757e-15,0.3098823654001487,0.01923965545681049,0.3995391690701994,0.4128589227950731
