fold,condition,g_n_real,g_n_ai,g_centroid_euclidean,g_centroid_cosine_distance,g_disp_real,g_disp_ai,g_between_over_within,knn_purity,frac_nn_opposite,frac_nn_ai_among_real,frac_nn_real_among_ai,mean_k5_opp_frac,mean_k5_ai_frac_among_real,mean_k5_real_frac_among_ai
1,CLEAN,923,1898,0.2901697506188912,0.06523973029822427,0.5992167440776239,0.5834039354142735,0.49072328203082005,0.9706487061325771,0.017369727047146403,0.04225352112676056,0.005268703898840885,0.029351293867422898,0.06890574214517876,0.010115911485774499
1,jpeg_q50,923,1898,0.212836182948949,0.038225580380908064,0.6287751246204468,0.6411274734775239,0.335200799286071,0.9719248493442042,0.019851116625310174,0.0552546045503792,0.0026343519494204425,0.028075150655795824,0.07475622968580715,0.005374077976817703
1,resize_112,923,1898,0.14643028915611783,0.012848311342233076,0.3954548248488182,0.41639985720772044,0.3607302942078007,0.9183268344558667,0.058844381425026585,0.14084507042253522,0.018967334035827187,0.08167316554413329,0.1791982665222102,0.03424657534246575
1,blur_sigma2,923,1898,0.22529296084496073,0.033469058187044265,0.5377767774932258,0.4764209659975654,0.4442781741349957,0.9456221198156682,0.04005671747607231,0.11159263271939328,0.005268703898840885,0.054377880184331796,0.13889490790899242,0.013277133825079033
1,screenshot_strong,923,1898,0.168232697712505,0.019111385430746974,0.5002576155590307,0.5093626272521958,0.33325935946781576,0.9363346331088267,0.053172633817795106,0.12892741061755147,0.016332982086406742,0.06366536689117334,0.15254604550379197,0.020442571127502637
2,CLEAN,923,1696,0.3595337075746222,0.11598061998820852,0.6480558921533638,0.6699477724378454,0.5455731531461786,0.9526536846124475,0.02787323405880107,0.06825568797399784,0.00589622641509434,0.0473463153875525,0.10595882990249189,0.015448113207547172
2,jpeg_q50,923,1696,0.3151881490604929,0.09359649960239658,0.6614704522720827,0.7058420386136836,0.461033086674004,0.9819778541428026,0.009163802978235968,0.020585048754062838,0.00294811320754717,0.018022145857197403,0.03445287107258938,0.009080188679245283
2,resize_112,923,1696,0.23853865404351837,0.0387303630163639,0.5163667455693203,0.5055789165338097,0.46683236279434626,0.9065292096219931,0.07789232531500573,0.18309859154929578,0.020636792452830188,0.09347079037800687,0.2032502708559047,0.03372641509433962
2,blur_sigma2,923,1696,0.33376977860714285,0.09330258160031202,0.6237785726245443,0.6379621735340039,0.5290623761233465,0.9608247422680413,0.025200458190148912,0.05308775731310943,0.010023584905660377,0.03917525773195877,0.0771397616468039,0.018514150943396226
2,screenshot_strong,923,1696,0.23336346722211954,0.04017610436356134,0.5580966180647579,0.5633423885216453,0.41618575036455124,0.9602138220694921,0.02940053455517373,0.06608884073672806,0.009433962264150943,0.03978617793050782,0.08429035752979416,0.015566037735849058
3,CLEAN,923,1071,0.529279586690497,0.21495418545367706,0.6633954902734231,0.5302246483639583,0.8868476151796744,0.9691073219658977,0.01905717151454363,0.0314192849404117,0.008403361344537815,0.030892678034102308,0.05200433369447455,0.0126984126984127
3,jpeg_q50,923,1071,0.4035138372300308,0.13980957584492026,0.6533358145927105,0.6331203339927075,0.6273262212221271,0.9826479438314945,0.011534603811434303,0.023835319609967497,0.0009337068160597573,0.017352056168505516,0.03466955579631636,0.0024276377217553684
3,resize_112,923,1071,0.2661683806179811,0.042477424848338274,0.4365998917141382,0.3841874234653582,0.6485684554220316,0.9155466399197593,0.0641925777331996,0.11159263271939328,0.02334267040149393,0.08445336008024072,0.13542795232936075,0.04052287581699347
3,blur_sigma2,923,1071,0.44557719480282926,0.1377009600106014,0.6293275576742486,0.46965311541447324,0.8108917758317253,0.9372116349047142,0.05215646940822467,0.08775731310942579,0.021475256769374416,0.06278836509528586,0.10227518959913327,0.028758169934640525
3,screenshot_strong,923,1071,0.3669303834873608,0.08978792398778024,0.5415300601546287,0.46791734380922745,0.7269925744452139,0.9413239719157472,0.04513540621865597,0.08017334777898158,0.014939309056956116,0.05867602808425276,0.0981581798483207,0.02464985994397759
4,CLEAN,923,786,0.3635409708528924,0.11211263418324446,0.674622908394692,0.6110267902201626,0.5655365862794003,0.9720304271503803,0.018724400234055003,0.021668472372697724,0.015267175572519083,0.027969572849619657,0.028385698808234022,0.027480916030534347
4,jpeg_q50,923,786,0.3344130257023777,0.09169897356055012,0.6496898591567907,0.6015601880128618,0.5345262946584103,0.9867758923346986,0.006436512580456407,0.010834236186348862,0.001272264631043257,0.013224107665301346,0.018418201516793065,0.007124681933842239
4,resize_112,923,786,0.18179746528868396,0.020216946210939724,0.4400776151096444,0.4148922313979219,0.4252722269242628,0.9357519016968988,0.05090696313633704,0.059588299024918745,0.04071246819338423,0.06424809830310124,0.07367280606717226,0.053180661577608146
4,blur_sigma2,923,786,0.3108745159413551,0.06559700375756605,0.5961664381496486,0.4855406646416444,0.5747850136865301,0.9898186073727326,0.006436512580456407,0.010834236186348862,0.001272264631043257,0.010181392627267409,0.014084507042253523,0.005597964376590331
4,screenshot_strong,923,786,0.2804056302305978,0.05404834949171644,0.5711695716704146,0.4979679501287913,0.5245454855212922,0.9706260971328262,0.01930953774136922,0.027085590465872156,0.010178117048346057,0.029373902867173788,0.033369447453954496,0.024681933842239188
