fold,condition,h2_delta_z_real,h2_delta_z_ai,h3_delta_z_real,h3_delta_z_ai,h2_cos_d_real,h2_cos_d_ai,h3_cos_d_real,h3_cos_d_ai
1,jpeg_q50,-0.6268664386440026,-2.7497228411418373,0.23395237039024358,-1.1292750024789266,-0.1032804464521331,-0.3499627194962543,0.016737808894937416,-0.06241092852038966
1,resize_112,5.756770361076048,2.247373889425465,2.63575374512035,-0.6455864321078872,0.3820820725138606,0.16826275562159937,0.07596449500384539,-0.02098916339309146
1,blur_sigma2,3.802293287517266,1.9467083165374344,1.8705333921618021,-0.07052821705055895,0.4140061570544609,0.2089992967217315,0.08844121906851465,-0.003288023502560918
1,screenshot_strong,1.337218021233855,-1.8119376680864627,2.0106335645676903,-0.7440501006813851,0.15100412530655724,-0.22207687982973465,0.0985933417722472,-0.03959955821940628
2,jpeg_q50,-1.202482520448445,-3.5285785209299396,0.0015090823743992168,-1.0986971363821048,-0.196319704550281,-0.42904394617120833,0.000117325015293283,-0.06361690519415818
2,resize_112,4.5563427976917765,1.3883384018106046,1.6175245531093352,-0.2286426530157669,0.272676446649438,0.09967058058973113,0.04609721307709304,-0.007816664201344498
2,blur_sigma2,2.723129941494821,1.3988877325695073,1.2109073332706066,0.14836146137367476,0.37225903565559504,0.18404451601153596,0.07882797042352437,0.009295091626256335
2,screenshot_strong,3.2957538003523204,-0.15500685063090297,2.319557310589804,-0.008957825650989619,0.2696197055939851,-0.01509488326606446,0.09036380901651729,-0.0004154072049015956
3,jpeg_q50,-1.4086756019800737,-3.795903132522979,0.022136592613685252,-0.3773507857145871,-0.20850826386299154,-0.34856961099501904,0.001513041363874297,-0.016001010424429644
3,resize_112,6.120634010252441,1.0346786968455912,2.107400405453125,-0.2720542081445684,0.3672525838154162,0.0897774490603273,0.058390642899544966,-0.010900463139904145
3,blur_sigma2,2.9417230428983525,0.777785307002219,0.8339084359225761,-0.36145261137801044,0.38730564905209197,0.09597436652541348,0.050698856638400736,-0.020595608853266865
3,screenshot_strong,2.528248540005194,-1.5222830942595615,2.166830613942554,0.17419589129116017,0.24878662116349934,-0.15410129737636993,0.0984600310880122,0.008142851728127839
4,jpeg_q50,-1.431763001848447,-3.0484435281096314,0.26007341352813484,-1.3191507639003757,-0.25244095380818327,-0.3857336862177408,0.020158113268871205,-0.07337854451123085
4,resize_112,8.929941644561133,5.027522132780223,2.7168385794912013,0.08890872438569722,0.4796558653556739,0.31097766564033463,0.06415200299644526,0.0024176021529762133
4,blur_sigma2,5.080471099618992,3.061609480844514,1.7669560824008574,0.07957453825730157,0.4339909474482806,0.26944950568740283,0.06635408843363927,0.0030786971582739864
4,screenshot_strong,2.838291372080716,0.1820957115797489,2.1708702508797213,-0.2181713244309987,0.3098823654001487,0.01923965545681049,0.10419310947080655,-0.010133523683729367
