fold,condition,head,n,roc_auc,ap,ai_recall,real_specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
1,CLEAN,H2,2821.0,0.9523470563186202,0.9726765857786811,0.559536354056902,0.9739978331527628,0.7667670936048324,0.9779005524861878,0.7117962466487936,899.0,24.0,836.0,1062.0
1,CLEAN,H3,2821.0,0.9489620710401666,0.971373299132977,0.6380400421496312,0.9631635969664138,0.8006018195580225,0.9726907630522088,0.7706013363028953,889.0,34.0,687.0,1211.0
1,jpeg_q50,H2,2821.0,0.7917674646403182,0.8684393961692229,0.08482613277133826,0.9902491874322861,0.5375376601018121,0.9470588235294117,0.15570599613152805,914.0,9.0,1737.0,161.0
1,jpeg_q50,H3,2821.0,0.8702911315669,0.9274498760350744,0.5010537407797682,0.9349945828819068,0.7180241618308375,0.9406528189910979,0.6538329322791337,863.0,60.0,947.0,951.0
1,resize_112,H2,2821.0,0.7324443132818146,0.8214128440150027,0.9947312961011591,0.044420368364030335,0.5195758322325947,0.6815884476534296,0.8089117395029991,41.0,882.0,10.0,1888.0
1,resize_112,H3,2821.0,0.8648605991138532,0.9171151474910489,0.6269757639620653,0.8613217768147345,0.7441487703884,0.9028831562974203,0.7400497512437811,795.0,128.0,708.0,1190.0
1,blur_sigma2,H2,2821.0,0.7269247323121676,0.7850340279858413,0.9868282402528978,0.5276273022751896,0.7572277712640437,0.8111736682546556,0.8904207273591633,487.0,436.0,25.0,1873.0
1,blur_sigma2,H3,2821.0,0.8993803136562749,0.9399552805509767,0.7734457323498419,0.8461538461538461,0.809799789251844,0.9118012422360249,0.8369441277080958,781.0,142.0,430.0,1468.0
1,screenshot_strong,H2,2821.0,0.7636053004417035,0.8650325237537957,0.1559536354056902,0.9783315276273022,0.5671425815164962,0.9367088607594937,0.26738934056007224,903.0,20.0,1602.0,296.0
1,screenshot_strong,H3,2821.0,0.8823206728414581,0.9232348019535477,0.58377239199157,0.9035752979414952,0.7436738449665325,0.9256474519632414,0.7159935379644589,834.0,89.0,790.0,1108.0
2,CLEAN,H2,2619.0,0.9437437396512602,0.96608650499662,0.5442216981132075,0.9739978331527628,0.7591097656329852,0.9746568109820486,0.6984487325009459,899.0,24.0,773.0,923.0
2,CLEAN,H3,2619.0,0.9268363263762547,0.9561030909856343,0.59375,0.9653304442036836,0.7795402221018418,0.9692011549566891,0.7363802559414991,891.0,32.0,689.0,1007.0
2,jpeg_q50,H2,2619.0,0.7944063145199208,0.8442246805281225,0.009433962264150943,0.9967497291440953,0.5030918457041231,0.8421052631578947,0.018658892128279883,920.0,3.0,1680.0,16.0
2,jpeg_q50,H3,2619.0,0.8517134191214047,0.9056552694707465,0.3402122641509434,0.9674972914409534,0.6538547777959485,0.9505766062602965,0.5010855405992184,893.0,30.0,1119.0,577.0
2,resize_112,H2,2619.0,0.7795399026962939,0.8420449158787909,0.9298349056603774,0.4268689057421452,0.6783519057012612,0.7488129154795822,0.8295633876906892,394.0,529.0,119.0,1577.0
2,resize_112,H3,2619.0,0.8379515116825773,0.8634633540016035,0.5047169811320755,0.8580715059588299,0.6813942435454527,0.867274569402229,0.638091688408498,792.0,131.0,840.0,856.0
2,blur_sigma2,H2,2619.0,0.7682904392976144,0.7910897567705825,0.8838443396226415,0.6164680390032503,0.7501561893129459,0.8089584457636265,0.8447449985911525,569.0,354.0,197.0,1499.0
2,blur_sigma2,H3,2619.0,0.8683020656595597,0.9089566244493938,0.6362028301886793,0.8689057421451788,0.752554286166929,0.8991666666666667,0.7451657458563536,802.0,121.0,617.0,1079.0
2,screenshot_strong,H2,2619.0,0.7179859819293117,0.7855309600709927,0.5778301886792453,0.7345612134344529,0.6561957010568491,0.8,0.671003081136597,678.0,245.0,716.0,980.0
2,screenshot_strong,H3,2619.0,0.8004810886363172,0.8356582618157313,0.5654481132075472,0.7919826652221018,0.6787153892148245,0.8331885317115552,0.6736916051984545,731.0,192.0,737.0,959.0
3,CLEAN,H2,1994.0,0.9579619496769455,0.9623209891521992,0.7889822595704948,0.933911159263272,0.8614467094168834,0.9326710816777042,0.8548305513404147,862.0,61.0,226.0,845.0
3,CLEAN,H3,1994.0,0.9434798838278541,0.9481904403055375,0.6647992530345471,0.9479956663055255,0.8063974596700363,0.9368421052631579,0.7777170944838886,875.0,48.0,359.0,712.0
3,jpeg_q50,H2,1994.0,0.8499352070188856,0.869700687613213,0.23249299719887956,0.9902491874322861,0.6113710923155828,0.9651162790697675,0.3747178329571106,914.0,9.0,822.0,249.0
3,jpeg_q50,H3,1994.0,0.8961612814139741,0.912889184468382,0.5079365079365079,0.9631635969664138,0.7355500524514609,0.9411764705882353,0.6597938144329897,889.0,34.0,527.0,544.0
3,resize_112,H2,1994.0,0.8222375985424867,0.8128658680375789,1.0,0.05417118093174431,0.5270855904658721,0.5509259259259259,0.7104477611940299,50.0,873.0,0.0,1071.0
3,resize_112,H3,1994.0,0.9165065809639132,0.9119008139000082,0.7450980392156863,0.8786565547128927,0.8118772969642896,0.8769230769230769,0.8056537102473498,811.0,112.0,273.0,798.0
3,blur_sigma2,H2,1994.0,0.7993228349483528,0.7738882257429439,0.9719887955182073,0.5547128927410617,0.7633508441296345,0.7169421487603306,0.8252080856123662,512.0,411.0,30.0,1041.0
3,blur_sigma2,H3,1994.0,0.908533655426779,0.9061462229542606,0.7357609710550888,0.8786565547128927,0.8072087628839908,0.8755555555555555,0.7995941146626078,811.0,112.0,283.0,788.0
3,screenshot_strong,H2,1994.0,0.8302818418808476,0.8194558738529367,0.5424836601307189,0.8732394366197183,0.7078615483752186,0.832378223495702,0.6568682871678915,806.0,117.0,490.0,581.0
3,screenshot_strong,H3,1994.0,0.8969118886268846,0.9028060143485503,0.7478991596638656,0.8591549295774648,0.8035270446206652,0.8603651987110634,0.8001998001998002,793.0,130.0,270.0,801.0
4,CLEAN,H2,1709.0,0.9489384929660168,0.9291316765693193,0.40966921119592875,0.9859154929577465,0.6977923520768377,0.9611940298507463,0.5744870651204282,910.0,13.0,464.0,322.0
4,CLEAN,H3,1709.0,0.854202332806784,0.8086005795996034,0.27735368956743,0.9696641386782232,0.6235089141228266,0.8861788617886179,0.42248062015503873,895.0,28.0,568.0,218.0
4,jpeg_q50,H2,1709.0,0.853063773126132,0.8012196096086439,0.030534351145038167,1.0,0.5152671755725191,1.0,0.05925925925925926,923.0,0.0,762.0,24.0
4,jpeg_q50,H3,1709.0,0.7274996622916201,0.6621772704643555,0.15521628498727735,0.9588299024918743,0.5570230937395758,0.7625,0.25792811839323465,885.0,38.0,664.0,122.0
4,resize_112,H2,1709.0,0.566680864202636,0.5259978894480717,1.0,0.0,0.5,0.459918080748976,0.630060120240481,0.0,923.0,0.0,786.0
4,resize_112,H3,1709.0,0.7057429722196952,0.6390917871306843,0.24681933842239187,0.9024918743228603,0.574655606372626,0.6830985915492958,0.36261682242990656,833.0,90.0,592.0,194.0
4,blur_sigma2,H2,1709.0,0.6116009031286959,0.46680406302119754,0.9923664122137404,0.5222101841820151,0.7572882981978778,0.6388206388206388,0.7772795216741405,482.0,441.0,6.0,780.0
4,blur_sigma2,H3,1709.0,0.6911071045572712,0.5363863883260621,0.21755725190839695,0.7941495124593716,0.5058533821838843,0.47368421052631576,0.2981691368788143,733.0,190.0,615.0,171.0
4,screenshot_strong,H2,1709.0,0.772319767105274,0.7221542277358592,0.4389312977099237,0.8634886240520043,0.6512099608809641,0.732484076433121,0.548926014319809,797.0,126.0,441.0,345.0
4,screenshot_strong,H3,1709.0,0.7003796117869874,0.6255940110419398,0.22391857506361323,0.9209100758396533,0.5724143254516333,0.7068273092369478,0.34009661835748795,850.0,73.0,610.0,176.0
macro,CLEAN,H2,,0.9507478096532107,0.9575539391242048,0.5756023807341333,0.966955579631636,0.7712789801828847,0.9616056187491717,0.7098906489026456,,,,
macro,CLEAN,H3,,0.9183701535127649,0.921066852505938,0.543485746187902,0.9615384615384615,0.7525121038631818,0.9412282212651685,0.6767948267208305,,,,
