fold,cond_a,cond_b,cosine,angle_deg,norm_s_a,norm_s_b,cos_s_w_h2,cos_s_w_h3,kind
1,CLEAN,CLEAN,1.0,0.0,0.4853816155128557,0.4853816155128557,0.8103135800485525,0.4127577056128245,self
1,jpeg_q50,jpeg_q50,1.0,0.0,0.38658384965375536,0.38658384965375536,0.5040046356156908,0.4165812777644403,self
1,resize_112,resize_112,1.0,0.0,0.18537085776951776,0.18537085776951776,0.48345007847403065,0.4179380181456614,self
1,blur_sigma2,blur_sigma2,1.0,0.0,0.29205785944718377,0.29205785944718377,0.4552201661463263,0.3227123277295757,self
1,screenshot_strong,screenshot_strong,1.0,0.0,0.25314144130942345,0.25314144130942345,0.36582699840163674,0.44181732923878314,self
1,CLEAN,jpeg_q50,0.6390250634692669,50.28084070386218,0.4853816155128557,0.38658384965375536,,,pair
1,jpeg_q50,CLEAN,0.6390250634692669,50.28084070386218,0.38658384965375536,0.4853816155128557,,,pair
1,CLEAN,resize_112,0.6602635564319076,48.68002379977278,0.4853816155128557,0.18537085776951776,,,pair
1,resize_112,CLEAN,0.6602635564319076,48.68002379977278,0.18537085776951776,0.4853816155128557,,,pair
1,CLEAN,blur_sigma2,0.5412122066810278,57.23380280989244,0.4853816155128557,0.29205785944718377,,,pair
1,blur_sigma2,CLEAN,0.5412122066810278,57.23380280989244,0.29205785944718377,0.4853816155128557,,,pair
1,CLEAN,screenshot_strong,0.5988816941569445,53.21015319531159,0.4853816155128557,0.25314144130942345,,,pair
1,screenshot_strong,CLEAN,0.5988816941569445,53.21015319531159,0.25314144130942345,0.4853816155128557,,,pair
1,jpeg_q50,resize_112,0.49121864834437795,60.579288692658785,0.38658384965375536,0.18537085776951776,,,pair
1,resize_112,jpeg_q50,0.49121864834437795,60.579288692658785,0.18537085776951776,0.38658384965375536,,,pair
1,jpeg_q50,blur_sigma2,0.5569445371033424,56.155245617963516,0.38658384965375536,0.29205785944718377,,,pair
1,blur_sigma2,jpeg_q50,0.5569445371033424,56.155245617963516,0.29205785944718377,0.38658384965375536,,,pair
1,jpeg_q50,screenshot_strong,0.6819530012267376,47.00355340336726,0.38658384965375536,0.25314144130942345,,,pair
1,screenshot_strong,jpeg_q50,0.6819530012267376,47.00355340336726,0.25314144130942345,0.38658384965375536,,,pair
1,resize_112,blur_sigma2,0.441801881588247,63.78109510200134,0.18537085776951776,0.29205785944718377,,,pair
1,blur_sigma2,resize_112,0.441801881588247,63.78109510200134,0.29205785944718377,0.18537085776951776,,,pair
1,resize_112,screenshot_strong,0.538031732277069,57.45024941008055,0.18537085776951776,0.25314144130942345,,,pair
1,screenshot_strong,resize_112,0.538031732277069,57.45024941008055,0.25314144130942345,0.18537085776951776,,,pair
1,blur_sigma2,screenshot_strong,0.3841811676551672,67.40708444464316,0.29205785944718377,0.25314144130942345,,,pair
1,screenshot_strong,blur_sigma2,0.3841811676551672,67.40708444464316,0.25314144130942345,0.29205785944718377,,,pair
2,CLEAN,CLEAN,1.0,0.0,0.522068454196189,0.522068454196189,0.6505377979092277,0.34489828898458535,self
2,jpeg_q50,jpeg_q50,1.0,0.0,0.4561727622637965,0.4561727622637965,0.4492784093174126,0.3497230379833219,self
2,resize_112,resize_112,1.0,0.0,0.31910052361330504,0.31910052361330504,0.3782139566530266,0.3382320747896455,self
2,blur_sigma2,blur_sigma2,1.0,0.0,0.43225782845301597,0.43225782845301597,0.4857653119606861,0.26777505991842576,self
2,screenshot_strong,screenshot_strong,1.0,0.0,0.3477503531889562,0.3477503531889562,0.29965711614256085,0.29495256063446124,self
2,CLEAN,jpeg_q50,0.8080584544359238,36.093331398027715,0.522068454196189,0.4561727622637965,,,pair
2,jpeg_q50,CLEAN,0.8080584544359238,36.093331398027715,0.4561727622637965,0.522068454196189,,,pair
2,CLEAN,resize_112,0.6317963743991141,50.8172195189998,0.522068454196189,0.31910052361330504,,,pair
2,resize_112,CLEAN,0.6317963743991141,50.8172195189998,0.31910052361330504,0.522068454196189,,,pair
2,CLEAN,blur_sigma2,0.88257011421868,28.04603390023847,0.522068454196189,0.43225782845301597,,,pair
2,blur_sigma2,CLEAN,0.88257011421868,28.04603390023847,0.43225782845301597,0.522068454196189,,,pair
2,CLEAN,screenshot_strong,0.708779577625756,44.864295031182564,0.522068454196189,0.3477503531889562,,,pair
2,screenshot_strong,CLEAN,0.708779577625756,44.864295031182564,0.3477503531889562,0.522068454196189,,,pair
2,jpeg_q50,resize_112,0.5754609091282112,54.868083664726605,0.4561727622637965,0.31910052361330504,,,pair
2,resize_112,jpeg_q50,0.5754609091282112,54.868083664726605,0.31910052361330504,0.4561727622637965,,,pair
2,jpeg_q50,blur_sigma2,0.7294089044186398,43.16313670765533,0.4561727622637965,0.43225782845301597,,,pair
2,blur_sigma2,jpeg_q50,0.7294089044186398,43.16313670765533,0.43225782845301597,0.4561727622637965,,,pair
2,jpeg_q50,screenshot_strong,0.7154351113895924,44.32113052691892,0.4561727622637965,0.3477503531889562,,,pair
2,screenshot_strong,jpeg_q50,0.7154351113895924,44.32113052691892,0.3477503531889562,0.4561727622637965,,,pair
2,resize_112,blur_sigma2,0.5377385567436769,57.4701751035682,0.31910052361330504,0.43225782845301597,,,pair
2,blur_sigma2,resize_112,0.5377385567436769,57.4701751035682,0.43225782845301597,0.31910052361330504,,,pair
2,resize_112,screenshot_strong,0.7114777456387356,44.6447236833271,0.31910052361330504,0.3477503531889562,,,pair
2,screenshot_strong,resize_112,0.7114777456387356,44.6447236833271,0.3477503531889562,0.31910052361330504,,,pair
2,blur_sigma2,screenshot_strong,0.6219290808171005,51.54285657169344,0.43225782845301597,0.3477503531889562,,,pair
2,screenshot_strong,blur_sigma2,0.6219290808171005,51.54285657169344,0.3477503531889562,0.43225782845301597,,,pair
3,CLEAN,CLEAN,1.0,0.0,0.5235301087209936,0.5235301087209936,0.7095720552136358,0.3520960331963547,self
3,jpeg_q50,jpeg_q50,1.0,0.0,0.45270948204705685,0.45270948204705685,0.5432828138104263,0.3558215459237394,self
3,resize_112,resize_112,1.0,0.0,0.2231781961776184,0.2231781961776184,0.23272448855028766,0.38426686427661005,self
3,blur_sigma2,blur_sigma2,1.0,0.0,0.4224963745955173,0.4224963745955173,0.4467227870594965,0.2795203570081221,self
3,screenshot_strong,screenshot_strong,1.0,0.0,0.34844499005422347,0.34844499005422347,0.3220858977005547,0.2991608921477992,self
3,CLEAN,jpeg_q50,0.8326409851834076,33.629005402042274,0.5235301087209936,0.45270948204705685,,,pair
3,jpeg_q50,CLEAN,0.8326409851834076,33.629005402042274,0.45270948204705685,0.5235301087209936,,,pair
3,CLEAN,resize_112,0.4384326459576762,63.9960795227559,0.5235301087209936,0.2231781961776184,,,pair
3,resize_112,CLEAN,0.4384326459576762,63.9960795227559,0.2231781961776184,0.5235301087209936,,,pair
3,CLEAN,blur_sigma2,0.8335605057033224,33.53375559980537,0.5235301087209936,0.4224963745955173,,,pair
3,blur_sigma2,CLEAN,0.8335605057033224,33.53375559980537,0.4224963745955173,0.5235301087209936,,,pair
3,CLEAN,screenshot_strong,0.7259215865216556,43.45443295200688,0.5235301087209936,0.34844499005422347,,,pair
3,screenshot_strong,CLEAN,0.7259215865216556,43.45443295200688,0.34844499005422347,0.5235301087209936,,,pair
3,jpeg_q50,resize_112,0.4004366075517004,66.39452424002631,0.45270948204705685,0.2231781961776184,,,pair
3,resize_112,jpeg_q50,0.4004366075517004,66.39452424002631,0.2231781961776184,0.45270948204705685,,,pair
3,jpeg_q50,blur_sigma2,0.7040373446040085,45.248175040600984,0.45270948204705685,0.4224963745955173,,,pair
3,blur_sigma2,jpeg_q50,0.7040373446040085,45.248175040600984,0.4224963745955173,0.45270948204705685,,,pair
3,jpeg_q50,screenshot_strong,0.6431511609855635,49.972803007493745,0.45270948204705685,0.34844499005422347,,,pair
3,screenshot_strong,jpeg_q50,0.6431511609855635,49.972803007493745,0.34844499005422347,0.45270948204705685,,,pair
3,resize_112,blur_sigma2,0.5378744028407246,57.460942864770246,0.2231781961776184,0.4224963745955173,,,pair
3,blur_sigma2,resize_112,0.5378744028407246,57.460942864770246,0.4224963745955173,0.2231781961776184,,,pair
3,resize_112,screenshot_strong,0.4792121332370295,61.36604216901302,0.2231781961776184,0.34844499005422347,,,pair
3,screenshot_strong,resize_112,0.4792121332370295,61.36604216901302,0.34844499005422347,0.2231781961776184,,,pair
3,blur_sigma2,screenshot_strong,0.7189691521723677,44.03056281169518,0.4224963745955173,0.34844499005422347,,,pair
3,screenshot_strong,blur_sigma2,0.7189691521723677,44.03056281169518,0.34844499005422347,0.4224963745955173,,,pair
4,CLEAN,CLEAN,1.0,0.0,0.44998171563190364,0.44998171563190364,0.8176792042123625,0.39447230081721407,self
