fold,split,condition,group,head,m_n,m_mean,m_median,m_p05,m_p25,m_frac_le0,m_frac_low_margin
1,TRAIN,CLEAN,Real,H2,4280,4.106887566035867,4.306418983655172,0.8238764974449995,3.150574273181147,0.026869158878504672,0.03761682242990654
1,TRAIN,CLEAN,Real,H3,4280,4.997363384607766,5.213793393311609,0.5493646181976292,3.5676967872286083,0.03247663551401869,0.04789719626168224
1,TRAIN,CLEAN,AI,H2,1728,4.255889518870957,4.245390204907131,1.0495742350385149,2.6472182388626884,0.009837962962962963,0.023726851851851853
1,TRAIN,CLEAN,AI,H3,1728,4.81253492663447,4.877403771558185,1.0761194599411736,3.152761654930036,0.018518518518518517,0.028356481481481483
1,TRAIN,jpeg_q50,Real,H2,4280,4.651114612598559,4.656374643375663,1.318587591892739,2.9992812758844147,0.004906542056074766,0.013785046728971963
1,TRAIN,jpeg_q50,Real,H3,4280,4.75130904389581,4.645350170350464,0.23363714628212345,2.5047064322583417,0.041121495327102804,0.06355140186915888
1,TRAIN,jpeg_q50,AI,H2,1728,-0.5083342944735167,-0.5478745424833658,-2.240847493750662,-1.2756177788620386,0.6956018518518519,0.8159722222222222
1,TRAIN,jpeg_q50,AI,H3,1728,3.134187235310099,3.104788734886579,0.5150712638940977,2.0006456764336393,0.024305555555555556,0.04861111111111111
1,TRAIN,resize_112,Real,H2,4280,-1.864980518297925,-1.7111665597839973,-3.9960763444453233,-2.827699258400446,0.9607476635514018,0.9838785046728972
1,TRAIN,resize_112,Real,H3,4280,2.1909578012780666,2.484961153610631,-1.2220395987620791,0.6111776857784346,0.1691588785046729,0.23457943925233646
1,TRAIN,resize_112,AI,H2,1728,3.7704735699878795,3.8078225233601843,2.1860549173394714,3.1024390865587015,0.0,0.0
1,TRAIN,resize_112,AI,H3,1728,1.6025362714098017,1.6169380921704004,-0.27323583276411656,0.8872187966344718,0.08159722222222222,0.14756944444444445
1,TRAIN,blur_sigma2,Real,H2,4280,-0.19852153687531668,-1.334862512608986,-4.088274161588058,-3.0882215981409624,0.5371495327102803,0.5495327102803739
1,TRAIN,blur_sigma2,Real,H3,4280,2.8918032817322876,2.352131042903111,-0.9655120718686765,0.4594027450986109,0.16518691588785048,0.25560747663551403
1,TRAIN,blur_sigma2,AI,H2,1728,3.02538584509603,3.1460157547365646,0.7824781514693803,2.410947347847366,0.015046296296296295,0.03298611111111111
1,TRAIN,blur_sigma2,AI,H3,1728,1.7231864749262937,1.688888239529065,0.154373605238405,1.064715983046541,0.037037037037037035,0.09837962962962964
1,TRAIN,screenshot_strong,Real,H2,4280,2.7303038140753166,2.7660958227786567,0.5381334857543513,1.954755722438767,0.023130841121495327,0.046261682242990654
1,TRAIN,screenshot_strong,Real,H3,4280,3.0579706293324436,3.259960308418779,-0.6272520625527366,1.658395522073052,0.08901869158878505,0.1292056074766355
1,TRAIN,screenshot_strong,AI,H2,1728,-0.7612723797555764,-0.7649507966475414,-3.0192807877413665,-1.7350678438639668,0.6984953703703703,0.8107638888888888
1,TRAIN,screenshot_strong,AI,H3,1728,2.418388358379018,2.3954640284240623,-0.14998479514257732,1.3892468867993735,0.05844907407407408,0.10127314814814815
1,EVAL,CLEAN,Real,H2,923,4.0212043930640835,4.232279475066084,0.7471890427778102,3.0444458640252496,0.02600216684723727,0.041170097508125676
1,EVAL,CLEAN,Real,H3,923,4.938217632066769,5.102372876459921,0.42046395171318435,3.4092792157885126,0.03683640303358613,0.0552546045503792
1,EVAL,CLEAN,AI,H2,1898,0.4265970230343389,0.346504309323666,-2.606681195764774,-1.0593009123820138,0.440463645943098,0.5252897787144363
1,EVAL,CLEAN,AI,H3,1898,1.0665846084612935,1.0544972177308132,-2.997484193203195,-0.7948415452621732,0.36195995785036883,0.4309799789251844
1,EVAL,jpeg_q50,Real,H2,923,4.648070831708086,4.9037328645216025,1.1443311453009375,2.822761403474522,0.009750812567713976,0.023835319609967497
1,EVAL,jpeg_q50,Real,H3,923,4.704265261676524,4.882603394172782,-0.17631573266516887,2.461869515025836,0.06500541711809317,0.09967497291440953
1,EVAL,jpeg_q50,AI,H2,1898,-2.3231258181074987,-2.274993453785087,-5.014629161106937,-3.6460831329378456,0.9151738672286618,0.9546891464699684
1,EVAL,jpeg_q50,AI,H3,1898,-0.06269039401763334,0.01572865926795619,-4.186392508500647,-2.024459890335919,0.49894625922023184,0.5785036880927292
1,EVAL,resize_112,Real,H2,923,-1.7355659680119646,-1.5412893156116696,-3.7013556917642108,-2.59419498660192,0.9555796316359697,0.9837486457204767
1,EVAL,resize_112,Real,H3,923,2.3024638869464185,2.5628556252500596,-0.8837927058447138,0.9690316967769803,0.13867822318526543,0.19176598049837487
1,EVAL,resize_112,AI,H2,1898,2.673970912459804,2.625894876706424,1.1336859950211273,2.0161830350651613,0.005268703898840885,0.015806111696522657
1,EVAL,resize_112,AI,H3,1898,0.4209981763534061,0.5290199498596325,-2.1338331841228295,-0.6214965581238268,0.37302423603793466,0.48840885142255
1,EVAL,blur_sigma2,Real,H2,923,0.2189111055468176,0.7532519863963446,-3.6389231536827222,-2.7469878819814832,0.4723726977248104,0.4886240520043337
1,EVAL,blur_sigma2,Real,H3,923,3.0676842399049664,2.9399151007623896,-1.0718638597296966,0.5103835937266263,0.15384615384615385,0.24593716143011918
1,EVAL,blur_sigma2,AI,H2,1898,2.3733053395717736,2.465241581214033,0.5324145637091655,1.6914139158180022,0.013171759747102213,0.04689146469968388
1,EVAL,blur_sigma2,AI,H3,1898,0.9960563914107344,1.0296093765436782,-1.4302346504428314,0.1055709885476449,0.22655426765015807,0.34562697576396206
1,EVAL,screenshot_strong,Real,H2,923,2.6839863718302284,2.7099306202063635,0.7129864349968725,1.9781651473852215,0.021668472372697724,0.035752979414951244
1,EVAL,screenshot_strong,Real,H3,923,2.9275840674990783,2.9759535341937298,-0.937203141870492,1.6543326030775203,0.09642470205850487,0.13976164680390032
1,EVAL,screenshot_strong,AI,H2,1898,-1.385340645052124,-1.3377795195586528,-3.8043688173967682,-2.295605109045737,0.8440463645943098,0.9130663856691253
1,EVAL,screenshot_strong,AI,H3,1898,0.32253450777990816,0.36306941328033315,-2.387173773493347,-0.828786408805499,0.41622760800842995,0.5326659641728135
2,TRAIN,CLEAN,Real,H2,4280,4.224278835656236,4.396701436466625,0.6996784376292605,2.9613596226485335,0.02266355140186916,0.04088785046728972
2,TRAIN,CLEAN,Real,H3,4280,4.659881075631556,4.844383319602029,0.3925609665372791,3.1315362115317535,0.03271028037383177,0.054672897196261686
2,TRAIN,CLEAN,AI,H2,1729,3.6849872832410204,3.640388973705461,1.1672177491666287,2.5467949820733002,0.01156737998843262,0.020821283979178717
2,TRAIN,CLEAN,AI,H3,1729,4.145782562425284,4.14024694763544,0.9463494967594259,2.9106462087589717,0.013302486986697512,0.02834008097165992
2,TRAIN,jpeg_q50,Real,H2,4280,5.459193024122177,5.591510726729556,2.186923866376417,3.9501539625881295,0.0009345794392523365,0.0032710280373831778
2,TRAIN,jpeg_q50,Real,H3,4280,4.685532849019941,4.875669476942454,0.5689849812445172,2.6273157637102473,0.024766355140186914,0.04766355140186916
2,TRAIN,jpeg_q50,AI,H2,1729,-0.6863059526930976,-0.6650636139939519,-3.1664655597235227,-1.5430961504901712,0.681897050318103,0.8004626951995373
2,TRAIN,jpeg_q50,AI,H3,1729,3.1163107521766884,3.210046240790599,0.43531536504625784,2.0491381986672588,0.026026604973973393,0.055523423944476576
2,TRAIN,resize_112,Real,H2,4280,-0.34804139354145164,-0.3276284584371927,-2.7977881726641347,-1.3319439935306572,0.5771028037383178,0.7093457943925233
2,TRAIN,resize_112,Real,H3,4280,3.0808364657463976,3.4830377230544127,-0.8929776668363829,1.2851146705991494,0.11845794392523365,0.169392523364486
2,TRAIN,resize_112,AI,H2,1729,3.158657917434723,3.213273001517379,1.288998275310405,2.4532574052485714,0.005205320994794679,0.012145748987854251
2,TRAIN,resize_112,AI,H3,1729,2.1973677489153793,2.268448321156356,-0.24341161488109112,1.3018148216143675,0.06304222093695779,0.11162521688837479
2,TRAIN,blur_sigma2,Real,H2,4280,0.992062787238928,1.4056030471312515,-4.127230809667669,-2.389661373691724,0.44929906542056075,0.46705607476635513
2,TRAIN,blur_sigma2,Real,H3,4280,3.2870878050221766,3.465697381431573,-1.0047207074861433,1.065220872111497,0.12453271028037383,0.18037383177570093
2,TRAIN,blur_sigma2,AI,H2,1729,3.8978995561113337,4.01156418210836,1.3897669488922768,3.019670306710726,0.002891844997108155,0.01098901098901099
2,TRAIN,blur_sigma2,AI,H3,1729,2.3734354564662414,2.4677202523947854,-0.1463688802961851,1.3713507465676795,0.061307113938692884,0.10526315789473684
2,TRAIN,screenshot_strong,Real,H2,4280,1.1868925045002576,1.247604367394706,-1.3056876060017282,0.2351274869955903,0.20210280373831777,0.3133177570093458
2,TRAIN,screenshot_strong,Real,H3,4280,2.721811416115083,2.8981611594488417,-0.6748927197095584,1.3060211566833644,0.10747663551401869,0.15257009345794392
2,TRAIN,screenshot_strong,AI,H2,1729,1.2398764103689686,1.3988189220323028,-1.795170514023366,-0.08794340611153917,0.26373626373626374,0.3458646616541353
2,TRAIN,screenshot_strong,AI,H3,1729,2.294255155506664,2.240575554261358,-0.001223346169281889,1.3521175431193957,0.0503181029496819,0.09543088490456912
2,EVAL,CLEAN,Real,H2,923,4.258191363532762,4.4454442651028625,0.8820417214945712,3.015194495731553,0.02600216684723727,0.04008667388949079
2,EVAL,CLEAN,Real,H3,923,4.638814336449335,4.892136313519568,0.27244551843196924,3.122180506244754,0.03466955579631636,0.05417118093174431
2,EVAL,CLEAN,AI,H2,1696,0.3285069491267284,0.18100638752873455,-3.0024821599201497,-0.9930797658555441,0.45577830188679247,0.5707547169811321
2,EVAL,CLEAN,AI,H3,1696,0.20106842459648802,0.4660645964714638,-3.841003606441026,-1.216434583595325,0.40625,0.5088443396226415
2,EVAL,jpeg_q50,Real,H2,923,5.460673883981207,5.824645072965796,1.9133659160349747,3.668015039495737,0.0032502708559046588,0.0065005417118093175
2,EVAL,jpeg_q50,Real,H3,923,4.637305254074937,5.0221794741596995,0.39661527861416335,2.4376741159128863,0.032502708559046585,0.05417118093174431
2,EVAL,jpeg_q50,AI,H2,1696,-3.2000715718032104,-3.189973260185162,-5.869553893898853,-4.263426338489386,0.9905660377358491,0.9988207547169812
2,EVAL,jpeg_q50,AI,H3,1696,-0.897628711785617,-0.8536269935846398,-4.697519809820076,-2.2982408131324727,0.6597877358490566,0.7393867924528302
2,EVAL,resize_112,Real,H2,923,-0.2981514341590149,-0.24725577201611126,-2.667243235561587,-1.2847940386596648,0.5731310942578548,0.7074756229685807
2,EVAL,resize_112,Real,H3,923,3.0212897833400008,3.4054819113642383,-1.2032948167306954,1.145885669219382,0.1419284940411701,0.19176598049837487
2,EVAL,resize_112,AI,H2,1696,1.7168453509373331,1.7780687347382207,-0.21511036814861728,0.9730076553485503,0.07016509433962265,0.15330188679245282
2,EVAL,resize_112,AI,H3,1696,-0.027574228419278927,0.02392700598075176,-2.398677792573845,-0.9257151658210216,0.49528301886792453,0.6462264150943396
2,EVAL,blur_sigma2,Real,H2,923,1.5350614220379417,2.2887220998844695,-3.5843960442248846,-1.7069469942809194,0.38353196099674974,0.4019501625135428
2,EVAL,blur_sigma2,Real,H3,923,3.4279070031787287,3.8507486022278483,-1.049560692691838,1.0699962365101419,0.13109425785482123,0.18634886240520043
2,EVAL,blur_sigma2,AI,H2,1696,1.7273946816962358,1.8378147102000402,-0.7640202942523311,0.8951022684860468,0.11615566037735849,0.1792452830188679
2,EVAL,blur_sigma2,AI,H3,1696,0.34942988597016267,0.5874265043961591,-2.7679310720775763,-0.752645068700587,0.36379716981132076,0.47464622641509435
2,EVAL,screenshot_strong,Real,H2,923,0.962437563180442,0.9990968342576354,-1.6343861269332076,-0.0742380381409361,0.26543878656554715,0.37486457204767065
2,EVAL,screenshot_strong,Real,H3,923,2.3192570258595318,2.7588920062364304,-1.7078928541563356,0.4782681166510551,0.20801733477789816,0.2524377031419285
2,EVAL,screenshot_strong,AI,H2,1696,0.17350009849582554,0.2605782635555187,-1.9930231709636428,-0.6217947296068079,0.4221698113207547,0.5801886792452831
2,EVAL,screenshot_strong,AI,H3,1696,0.19211059894549828,0.23948751955114303,-2.356179666732506,-0.7048541262437706,0.4345518867924528,0.5731132075471698
3,TRAIN,CLEAN,Real,H2,4280,4.690586504920187,4.96349413531512,0.5147062678063239,3.0772327394414756,0.03107476635514019,0.04953271028037383
3,TRAIN,CLEAN,Real,H3,4280,4.822841001727329,5.093442006921105,0.16977286815471349,2.992517809554904,0.04182242990654206,0.06378504672897196
3,TRAIN,CLEAN,AI,H2,2029,3.6843052797763773,3.6366378920837237,0.9750262386876328,2.5462505956257235,0.01232134056185313,0.02365697387875801
3,TRAIN,CLEAN,AI,H3,2029,4.176609514685098,4.150234128609618,0.955162234688781,2.851892949257429,0.018235584031542632,0.02957121734844751
3,TRAIN,jpeg_q50,Real,H2,4280,5.795996841472249,5.896622088866681,2.115314536374156,4.1107017722664345,0.001869158878504673,0.006775700934579439
3,TRAIN,jpeg_q50,Real,H3,4280,4.618910919577631,4.666017776285391,0.5159440793155465,2.6251742653696617,0.024766355140186914,0.04929906542056075
3,TRAIN,jpeg_q50,AI,H2,2029,-0.25118962251226845,-0.1374641637974776,-3.217930027931777,-1.2773940725108375,0.5263676688023657,0.6476096599310005
3,TRAIN,jpeg_q50,AI,H3,2029,3.245479319807305,2.8209380367941312,0.40297036229848066,1.752567725942714,0.02858551010349926,0.05470675209462789
3,TRAIN,resize_112,Real,H2,4280,-1.6817514023769862,-1.756634934818626,-3.042865653616234,-2.3555262438950297,0.9553738317757009,0.9880841121495327
3,TRAIN,resize_112,Real,H3,4280,2.611239500181538,2.8719075065725708,-1.0498526765338283,0.36996055879475165,0.18457943925233644,0.269392523364486
3,TRAIN,resize_112,AI,H2,2029,2.852692756689189,2.8446875911385154,1.6930413264352737,2.403469884349871,0.0,0.0
3,TRAIN,resize_112,AI,H3,2029,1.5757109023473443,1.59134759775263,-0.18735020710820113,0.8028456009062084,0.07097092163627403,0.1739773287333662
3,TRAIN,blur_sigma2,Real,H2,4280,1.1436149029400164,-0.20379006330760374,-3.3901648290901187,-2.4352809388658323,0.5051401869158878,0.5177570093457944
3,TRAIN,blur_sigma2,Real,H3,4280,3.7169918149521775,3.257744926416989,-0.9262511926585253,0.6490449410996451,0.14065420560747663,0.22266355140186916
3,TRAIN,blur_sigma2,AI,H2,2029,3.111408715485201,3.228208759102092,1.0597093084057343,2.467288629201981,0.0014785608674223755,0.015278462296697881
3,TRAIN,blur_sigma2,AI,H3,2029,2.048676253272798,1.9976029503190107,0.03171912821275241,1.159932073365117,0.04829965500246427,0.10694923607688517
3,TRAIN,screenshot_strong,Real,H2,4280,2.0392031114985225,2.1345654742536007,-1.0862811629762,1.0481734226897774,0.11845794392523365,0.16799065420560746
3,TRAIN,screenshot_strong,Real,H3,4280,2.8780011981020777,3.077380970665767,-1.0817791106755925,1.2252548309634752,0.12102803738317756,0.16728971962616823
