fold,image_id,binary_label,canonical_generator_id,real_domain,source_dataset,original_role,candidate_pool,in_primary_proposal,local_exists,path,overlap_train,overlap_eval
1,pilot_000004,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01440764_2751.JPEG,False,False
1,pilot_000026,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01440764_2577.JPEG,False,False
1,pilot_000042,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01440764_31953.JPEG,False,False
1,pilot_000066,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01443537_9799.JPEG,False,False
1,pilot_000076,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01443537_24148.JPEG,False,False
1,pilot_000090,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01443537_24543.JPEG,False,False
1,pilot_000158,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01498041_16921.JPEG,False,False
1,pilot_000160,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01494475_7323.JPEG,False,False
1,pilot_000162,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01496331_33351.JPEG,False,False
1,pilot_000164,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01491361_2273.JPEG,False,False
1,pilot_000174,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01494475_7351.JPEG,False,False
1,pilot_000176,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01498041_12681.JPEG,False,False
1,pilot_000190,0,real::Tiny-GenImage,Tiny,Tiny-GenImage,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,True,True,data/raw/tiny-genimage/images/Real/n01514668_14771.JPEG,False,False
