image_id,dataset,generator,ai_era,calibrated_probability,raw_probability,group,selective_prediction
pilot_000099,Tiny-GenImage,ADM,legacy,0.838989567828975,0.958642840385437,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_000113,Tiny-GenImage,ADM,legacy,0.9771471580985958,0.9992166757583618,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_000183,Tiny-GenImage,ADM,legacy,0.6978954004001461,0.8312281370162964,UNCERTAIN_AI,UNCERTAIN
pilot_000239,Tiny-GenImage,ADM,legacy,0.819678267664597,0.9470117092132568,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_000281,Tiny-GenImage,ADM,legacy,0.075804349039131,0.0084769185632467,FALSE_REAL_AI,REAL
pilot_000295,Tiny-GenImage,ADM,legacy,0.2896106846947612,0.1533495485782623,UNCERTAIN_AI,UNCERTAIN
pilot_000477,Tiny-GenImage,ADM,legacy,0.7937853820931896,0.9286826252937316,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_000673,Tiny-GenImage,ADM,legacy,0.2213825108104221,0.0835745930671691,FALSE_REAL_AI,REAL
pilot_000701,Tiny-GenImage,ADM,legacy,0.9630772550168364,0.9979950189590454,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_000729,Tiny-GenImage,ADM,legacy,0.5717351832359507,0.6341775059700012,UNCERTAIN_AI,UNCERTAIN
pilot_000757,Tiny-GenImage,ADM,legacy,0.8342673321529467,0.9559543132781982,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_000813,Tiny-GenImage,ADM,legacy,0.6420769987559701,0.7526471018791199,UNCERTAIN_AI,UNCERTAIN
pilot_000827,Tiny-GenImage,ADM,legacy,0.061542959025303,0.0055525917559862,FALSE_REAL_AI,REAL
pilot_000995,Tiny-GenImage,ADM,legacy,0.8798880289883174,0.9779450297355652,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_001009,Tiny-GenImage,ADM,legacy,0.8184820150646811,0.9462350010871888,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_001121,Tiny-GenImage,ADM,legacy,0.8767344311646491,0.9767000079154968,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_001163,Tiny-GenImage,ADM,legacy,0.0217981807343929,0.0007144636474549,FALSE_REAL_AI,REAL
pilot_001219,Tiny-GenImage,ADM,legacy,0.0648923329336148,0.0061802049167454,FALSE_REAL_AI,REAL
pilot_001233,Tiny-GenImage,ADM,legacy,0.0594712025146306,0.0051822168752551,FALSE_REAL_AI,REAL
pilot_001247,Tiny-GenImage,ADM,legacy,0.8827228023621948,0.9790310263633728,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_001275,Tiny-GenImage,ADM,legacy,0.2753536486017994,0.1367523372173309,UNCERTAIN_AI,UNCERTAIN
pilot_001387,Tiny-GenImage,ADM,legacy,0.908920073248615,0.9876367449760436,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_001429,Tiny-GenImage,ADM,legacy,0.7128260907773849,0.8495630025863647,UNCERTAIN_AI,UNCERTAIN
pilot_001485,Tiny-GenImage,ADM,legacy,0.9864594519728008,0.9997158646583556,CORRECT_CONFIDENT_AI,AI-GENERATED
pilot_001541,Tiny-GenImage,ADM,legacy,0.1150055254784174,0.0201211422681808,FALSE_REAL_AI,REAL
