generator,N,mean_calibrated_p_ai,median_calibrated_p_ai,binary_ai_recall,false_negative_rate,uncertain_rate,pred_real_pct,pred_uncertain_pct,pred_ai_pct
nano-banana-pro,100,0.1861834874629772,0.0830255770650409,0.17,0.83,0.17,77.0,17.0,6.0
nano-banana-2.0,100,0.19476723235687843,0.0948864510484986,0.16,0.84,0.23,72.0,23.0,5.0
FLUX.2_max,100,0.21560563513499303,0.11231845827509454,0.2,0.8,0.2,73.0,20.0,7.000000000000001
GPT-Image-1.5,100,0.21935688486310642,0.09718489816856124,0.21,0.79,0.22,69.0,22.0,9.0
gpt-image-2,100,0.2286580859051136,0.12076539593944091,0.2,0.8,0.22,70.0,22.0,8.0
Nano Banana 2,726,0.2300770391505932,0.0994862816052076,0.19696969696969696,0.803030303030303,0.23829201101928374,67.63085399449037,23.829201101928373,8.539944903581267
Seedream-4.0,100,0.26176897678008143,0.1395079372547714,0.21,0.79,0.22,67.0,22.0,11.0
GPT Image 2,726,0.2716573166706282,0.1693389921378205,0.24380165289256198,0.756198347107438,0.28512396694214875,62.53443526170799,28.512396694214875,8.953168044077135
Seedream-4.5,100,0.2721705558994487,0.14576844143790324,0.24,0.76,0.24,62.0,24.0,14.000000000000002
FLUX.2-pro,100,0.3044597363752836,0.2238873798793657,0.33,0.6699999999999999,0.38,54.0,38.0,8.0
Qwen-Image-2.0-pro,100,0.3302615767729952,0.2438025788949333,0.3,0.7,0.29,53.0,28.999999999999996,18.0
HunyuanImage-3.0,100,0.33092357313135695,0.18745008353069387,0.37,0.63,0.28,56.00000000000001,28.000000000000004,16.0
VQDM,285,0.3512052569457576,0.274344958156077,0.3087719298245614,0.6912280701754385,0.3543859649122807,49.122807017543856,35.43859649122807,15.43859649122807
Qwen-Image,100,0.3628194850913459,0.2263090908924877,0.39,0.61,0.28,53.0,28.000000000000004,19.0
Qwen-Image-2512,100,0.36347321122095977,0.224488049220485,0.39,0.61,0.28,54.0,28.000000000000004,18.0
Imagen-4.0,100,0.3642715065282489,0.31165072245616077,0.39,0.61,0.4,45.0,40.0,15.0
Imagen-4.0-Ultra,100,0.3849493075175197,0.30143732448225413,0.4,0.6,0.29,47.0,28.999999999999996,24.0
GPT-Image-1,100,0.39190706748477133,0.29638914467356026,0.43,0.5700000000000001,0.33,45.0,33.0,22.0
Seedream-5.0,100,0.39338856505000047,0.3196480722167976,0.38,0.62,0.3,48.0,30.0,22.0
GLM-Image,100,0.4439003537705773,0.37347479335685807,0.49,0.51,0.3,43.0,30.0,27.0
kling_v2_1,100,0.4748485586226295,0.45224394954146974,0.51,0.49,0.36,36.0,36.0,28.000000000000004
SD15,57,0.7119894837783283,0.754446652466192,0.7894736842105263,0.21052631578947367,0.3157894736842105,10.526315789473683,31.57894736842105,57.89473684210527
Midjourney,286,0.7389301166190761,0.913798176610534,0.7762237762237763,0.22377622377622375,0.20279720279720279,14.685314685314685,20.27972027972028,65.03496503496503
ADM,57,0.7664037048345533,0.900780852893854,0.8070175438596491,0.19298245614035092,0.15789473684210525,12.280701754385964,15.789473684210526,71.9298245614035
Wukong,285,0.8022285304472212,0.957549990178224,0.8175438596491228,0.1824561403508772,0.17192982456140352,8.771929824561402,17.192982456140353,74.03508771929825
BigGAN,57,0.8356065778603599,0.9291475990016466,0.8771929824561403,0.1228070175438597,0.22807017543859648,0.0,22.807017543859647,77.19298245614034
GLIDE,57,0.8519948160430847,0.9550868149442576,0.8771929824561403,0.1228070175438597,0.07017543859649122,7.017543859649122,7.017543859649122,85.96491228070175
