C,fold,n,roc_auc,ap,balanced_accuracy,ai_recall,specificity,f1,fpr,smartphone_specificity,mllm_specificity,coco_specificity,tiny_specificity,smartphone_mean_p_ai,mllm_mean_p_ai,class_weight,train_n_real,train_n_ai
0.01,1,2821,0.6988236462627593,0.8132372621396458,0.571149764763502,0.40990516332982085,0.7323943661971831,0.532329798152583,0.2676056338028169,0.994,0.8407079646017699,0.8833333333333333,0.124,0.39153680205345154,0.45457887649536133,balanced,4280,1728
0.01,2,2619,0.709639276150371,0.7772028030796143,0.5827765029947465,0.39740566037735847,0.7681473456121344,0.521671826625387,0.23185265438786565,0.988,0.7964601769911505,0.8833333333333333,0.288,0.3886808156967163,0.4550974667072296,balanced,4280,1729
0.01,3,1994,0.7687280040221216,0.7867861289103513,0.6649616148373398,0.6181139122315593,0.7118093174431203,0.6623311655827914,0.28819068255687974,0.98,0.45132743362831856,0.9333333333333333,0.24,0.40637752413749695,0.5056793093681335,balanced,4280,2029
0.01,4,1709,0.707878116221305,0.6927726323600752,0.5978933889104838,0.4796437659033079,0.7161430119176598,0.5291228070175439,0.2838569880823402,0.988,0.6371681415929203,0.9333333333333333,0.156,0.3978657126426697,0.49132010340690613,balanced,4280,2314
0.03,1,2821,0.7303319797197712,0.8365257041795036,0.5980980720996156,0.43888303477344576,0.7573131094257854,0.5637901861252115,0.24268689057421453,0.99,0.7256637168141593,0.9333333333333333,0.264,0.30516669154167175,0.4422197937965393,balanced,4280,1728
0.03,2,2619,0.7428306230707906,0.8066047334842115,0.6034021162533985,0.4050707547169811,0.8017334777898159,0.5354637568199533,0.19826652221018418,0.988,0.7256637168141593,0.9333333333333333,0.432,0.29913410544395447,0.4381704032421112,balanced,4280,1729
0.03,3,1994,0.78269010746227,0.7979723208593356,0.6791209802808809,0.6171802054154996,0.7410617551462622,0.6707255200405885,0.2589382448537378,0.978,0.3893805309734513,0.95,0.376,0.31953299045562744,0.5172117948532104,balanced,4280,2029
0.03,4,1709,0.7262356680698794,0.7134699245215039,0.6168085041862055,0.49363867684478374,0.7399783315276273,0.5487977369165488,0.2600216684723727,0.978,0.5663716814159292,0.9166666666666666,0.3,0.3104565143585205,0.4982251226902008,balanced,4280,2314
0.1,1,2821,0.7741792409641441,0.8660149612807048,0.6548071357544636,0.48946259220231825,0.8201516793066089,0.6207818242565988,0.17984832069339113,0.984,0.6814159292035398,0.9833333333333333,0.516,0.21202850341796875,0.4401912987232208,balanced,4280,1728
0.1,2,2619,0.7871618772869438,0.8474936411023192,0.6498826504016844,0.45577830188679247,0.8439869989165764,0.5916570991197857,0.1560130010834236,0.99,0.7079646017699115,0.95,0.588,0.20315861701965332,0.42159923911094666,balanced,4280,1729
0.1,3,1994,0.8032670634161936,0.8226485469703413,0.7070654191615252,0.6199813258636788,0.7941495124593716,0.6898701298701299,0.20585048754062837,0.982,0.40707964601769914,0.9666666666666667,0.552,0.21914465725421906,0.5182052254676819,balanced,4280,2029
0.1,4,1709,0.7514273348054662,0.7401811448169511,0.6453552002955293,0.49872773536895676,0.7919826652221018,0.5722627737226277,0.20801733477789816,0.98,0.49557522123893805,0.9666666666666667,0.508,0.21320953965187073,0.49770307540893555,balanced,4280,2314
0.3,1,2821,0.8028551466046829,0.8856069212439643,0.692062808887042,0.5173867228661749,0.866738894907909,0.654012654012654,0.13326110509209102,0.984,0.6637168141592921,0.9833333333333333,0.696,0.14678557217121124,0.42800673842430115,balanced,4280,1728
0.3,2,2619,0.8186568613422188,0.878209633270963,0.6859821848361577,0.49764150943396224,0.8743228602383532,0.6355421686746988,0.1256771397616468,0.984,0.7345132743362832,0.95,0.7,0.1372665911912918,0.3860255479812622,balanced,4280,1729
0.3,3,1994,0.8194718840949164,0.8464542713974003,0.7297424567515702,0.6209150326797386,0.838569880823402,0.7055702917771883,0.16143011917659805,0.982,0.46017699115044247,0.9833333333333333,0.688,0.1486666202545166,0.49168670177459717,balanced,4280,2029
0.3,4,1709,0.7681101287702727,0.7605701757288287,0.66963781120861,0.49745547073791346,0.8418201516793066,0.5910808767951625,0.1581798483206934,0.978,0.5486725663716814,0.9833333333333333,0.668,0.1461632400751114,0.47264397144317627,balanced,4280,2314
1.0,1,2821,0.8185522309507528,0.8993963677472492,0.7119577316374538,0.5279241306638567,0.8959913326110509,0.6688918558077437,0.10400866738894908,0.982,0.6814159292035398,0.9833333333333333,0.8,0.09836169332265854,0.39176613092422485,balanced,4280,1728
1.0,2,2619,0.8375567264253152,0.8981780230379965,0.7136759234653203,0.5259433962264151,0.9014084507042254,0.665920119447555,0.09859154929577464,0.984,0.7522123893805309,0.9666666666666667,0.788,0.08918971568346024,0.3227144777774811,balanced,4280,1729
1.0,3,1994,0.8302717258806737,0.8653946306699165,0.7423338421681421,0.6125116713352008,0.8721560130010835,0.7111111111111111,0.12784398699891658,0.98,0.5752212389380531,0.9833333333333333,0.764,0.09692072868347168,0.4400371313095093,balanced,4280,2029
1.0,4,1709,0.7735782477208131,0.7733149426423561,0.6770777335770347,0.48091603053435117,0.8732394366197183,0.5901639344262295,0.1267605633802817,0.98,0.6106194690265486,0.9833333333333333,0.752,0.09573327749967575,0.42127934098243713,balanced,4280,2314
3.0,1,2821,0.822569689026597,0.9056298643850308,0.716966710696211,0.5184404636459431,0.9154929577464789,0.6648648648648648,0.08450704225352113,0.986,0.7168141592920354,1.0,0.844,0.06907455623149872,0.3454664349555969,balanced,4280,1728
3.0,2,2619,0.8449554365379506,0.9073740030562805,0.7266217497291441,0.53125,0.9219934994582882,0.6751592356687898,0.0780065005417118,0.988,0.8141592920353983,0.9666666666666667,0.828,0.06286654621362686,0.2579501271247864,balanced,4280,1729
3.0,3,1994,0.8378475984109787,0.8777183095421358,0.7544937801772931,0.6162464985994398,0.8927410617551462,0.7213114754098361,0.10725893824485373,0.98,0.6106194690265486,0.9833333333333333,0.824,0.06834922730922699,0.38596174120903015,balanced,4280,2029
3.0,4,1709,0.7743777206200602,0.7798920038082271,0.6909733996068799,0.47837150127226463,0.9035752979414952,0.601119104716227,0.09642470205850487,0.984,0.6637168141592921,0.9833333333333333,0.832,0.06619920581579208,0.3670644164085388,balanced,4280,2314
10.0,1,2821,0.8250487768957916,0.9092242314746518,0.7213449294290506,0.5152792413066386,0.9274106175514626,0.6646279306829765,0.07258938244853738,0.982,0.7699115044247787,1.0,0.872,0.04913856461644173,0.28704747557640076,balanced,4280,1728
10.0,2,2619,0.8456114955334328,0.9106984145271478,0.7256561867577016,0.5141509433962265,0.9371614301191766,0.6641279512566641,0.0628385698808234,0.98,0.8584070796460177,0.9833333333333333,0.876,0.046229150146245956,0.20138052105903625,balanced,4280,1729
10.0,3,1994,0.8442166321205261,0.8847941207249995,0.7658874311732637,0.6227824463118581,0.9089924160346695,0.7321624588364435,0.09100758396533044,0.982,0.6637168141592921,1.0,0.852,0.049386683851480484,0.3346588909626007,balanced,4280,2029
10.0,4,1709,0.7737601967254694,0.7810070511570659,0.6910181976572687,0.4643765903307888,0.9176598049837487,0.5949470252648736,0.08234019501625135,0.978,0.7079646017699115,1.0,0.872,0.04663917422294617,0.3121338486671448,balanced,4280,2314
