C,fold,generator_id,legacy_or_modern,n,ai_recall_050,mean_p_ai,median_p_ai
0.01,1,mllm::GPT_Image_2,modern,726,0.14738292011019283,0.4528387784957886,0.44213536381721497
0.01,1,qwen::FLUX.2_max,modern,100,0.16,0.4542749524116516,0.44345808029174805
0.01,1,qwen::GPT-Image-1,modern,100,0.2,0.46678653359413147,0.4576272964477539
0.01,1,qwen::GPT-Image-1.5,modern,100,0.21,0.46408045291900635,0.4551730751991272
0.01,1,qwen::Qwen-Image-2512,modern,100,0.2,0.46116241812705994,0.4531477093696594
0.01,1,qwen::gpt-image-2,modern,100,0.16,0.45161476731300354,0.4370849132537842
0.01,1,qwen::kling_v2_1,modern,100,0.21,0.4596017003059387,0.44972532987594604
0.01,1,tiny::ADM,legacy,286,0.9755244755244755,0.5643495917320251,0.5637929439544678
0.01,1,tiny::SD15,legacy,286,0.972027972027972,0.5585095882415771,0.5621960163116455
0.01,2,mllm::Nano_Banana_2,modern,725,0.2206896551724138,0.4633662700653076,0.44914710521698
0.01,2,qwen::GLM-Image,modern,100,0.25,0.472886323928833,0.4656054377555847
0.01,2,qwen::Seedream-4.0,modern,100,0.18,0.461994469165802,0.45222562551498413
0.01,2,qwen::nano-banana-2.0,modern,100,0.17,0.45282700657844543,0.44405442476272583
0.01,2,qwen::nano-banana-pro,modern,100,0.18,0.45636820793151855,0.44853198528289795
0.01,2,tiny::BigGAN,legacy,286,0.8461538461538461,0.5326594114303589,0.5350610613822937
0.01,2,tiny::VQDM,legacy,285,0.6807017543859649,0.5169898271560669,0.5179445147514343
0.01,3,qwen::FLUX.2-pro,modern,100,0.22,0.466278612613678,0.4658401608467102
0.01,3,qwen::GPT-Image-1,modern,100,0.28,0.47901293635368347,0.4742945432662964
0.01,3,qwen::GPT-Image-1.5,modern,100,0.24,0.4743582010269165,0.4712883532047272
0.01,3,qwen::HunyuanImage-3.0,modern,100,0.28,0.47596168518066406,0.46917998790740967
0.01,3,qwen::Seedream-4.5,modern,100,0.2,0.46476981043815613,0.4587516188621521
0.01,3,tiny::GLIDE,legacy,286,0.9685314685314685,0.5496830344200134,0.5505844354629517
0.01,3,tiny::Wukong,legacy,285,0.9228070175438596,0.549551248550415,0.5562358498573303
0.01,4,qwen::Imagen-4.0,modern,100,0.21,0.4646635353565216,0.45757484436035156
0.01,4,qwen::Imagen-4.0-Ultra,modern,100,0.2,0.4645211100578308,0.463107168674469
0.01,4,qwen::Qwen-Image,modern,100,0.2,0.46236881613731384,0.4588898718357086
0.01,4,qwen::Qwen-Image-2.0-pro,modern,100,0.21,0.46129855513572693,0.4575612246990204
0.01,4,qwen::Seedream-5.0,modern,100,0.2,0.4620347321033478,0.4565007984638214
0.01,4,tiny::Midjourney,legacy,286,0.9615384615384616,0.5629127025604248,0.5683175325393677
0.03,1,mllm::GPT_Image_2,modern,726,0.21349862258953167,0.4414624869823456,0.4359602630138397
0.03,1,qwen::FLUX.2_max,modern,100,0.18,0.42241355776786804,0.40588197112083435
0.03,1,qwen::GPT-Image-1,modern,100,0.25,0.4472050070762634,0.430124431848526
0.03,1,qwen::GPT-Image-1.5,modern,100,0.23,0.44066452980041504,0.4243239760398865
0.03,1,qwen::Qwen-Image-2512,modern,100,0.23,0.43836066126823425,0.43183836340904236
0.03,1,qwen::gpt-image-2,modern,100,0.18,0.41956114768981934,0.399291068315506
0.03,1,qwen::kling_v2_1,modern,100,0.22,0.43526768684387207,0.4193474352359772
0.03,1,tiny::ADM,legacy,286,0.951048951048951,0.618715226650238,0.6178478598594666
0.03,1,tiny::SD15,legacy,286,0.9685314685314685,0.591291069984436,0.5958267450332642
0.03,2,mllm::Nano_Banana_2,modern,725,0.2910344827586207,0.4608180820941925,0.4464404582977295
0.03,2,qwen::GLM-Image,modern,100,0.28,0.46248966455459595,0.45021650195121765
0.03,2,qwen::Seedream-4.0,modern,100,0.22,0.43817925453186035,0.4234592914581299
0.03,2,qwen::nano-banana-2.0,modern,100,0.18,0.4235765337944031,0.40950560569763184
0.03,2,qwen::nano-banana-pro,modern,100,0.24,0.42928624153137207,0.41549161076545715
0.03,2,tiny::BigGAN,legacy,286,0.8146853146853147,0.5560678243637085,0.5585100650787354
0.03,2,tiny::VQDM,legacy,285,0.5298245614035088,0.5095561742782593,0.5061038732528687
0.03,3,qwen::FLUX.2-pro,modern,100,0.21,0.4369508624076843,0.4377802014350891
0.03,3,qwen::GPT-Image-1,modern,100,0.29,0.46127092838287354,0.45030951499938965
0.03,3,qwen::GPT-Image-1.5,modern,100,0.25,0.4495580792427063,0.44048357009887695
0.03,3,qwen::HunyuanImage-3.0,modern,100,0.28,0.4578493535518646,0.44440439343452454
0.03,3,qwen::Seedream-4.5,modern,100,0.2,0.4306405782699585,0.4192330241203308
0.03,3,tiny::GLIDE,legacy,286,0.9685314685314685,0.5999240875244141,0.6028968095779419
0.03,3,tiny::Wukong,legacy,285,0.9157894736842105,0.5953084230422974,0.6089982986450195
0.03,4,qwen::Imagen-4.0,modern,100,0.25,0.43959224224090576,0.4298045337200165
0.03,4,qwen::Imagen-4.0-Ultra,modern,100,0.23,0.4391753673553467,0.43362724781036377
0.03,4,qwen::Qwen-Image,modern,100,0.21,0.4351256489753723,0.42607301473617554
0.03,4,qwen::Qwen-Image-2.0-pro,modern,100,0.22,0.4317651391029358,0.4208793640136719
0.03,4,qwen::Seedream-5.0,modern,100,0.23,0.4317091405391693,0.4207128882408142
0.03,4,tiny::Midjourney,legacy,286,0.958041958041958,0.6239972710609436,0.632479727268219
0.1,1,mllm::GPT_Image_2,modern,726,0.3512396694214876,0.4552541673183441,0.4609101116657257
0.1,1,qwen::FLUX.2_max,modern,100,0.17,0.38176554441452026,0.36482858657836914
0.1,1,qwen::GPT-Image-1,modern,100,0.27,0.4212132394313812,0.4015158414840698
0.1,1,qwen::GPT-Image-1.5,modern,100,0.25,0.4073471128940582,0.38920170068740845
0.1,1,qwen::Qwen-Image-2512,modern,100,0.27,0.4106029272079468,0.40270185470581055
0.1,1,qwen::gpt-image-2,modern,100,0.2,0.38099291920661926,0.35676416754722595
0.1,1,qwen::kling_v2_1,modern,100,0.25,0.4078949987888336,0.3814612925052643
0.1,1,tiny::ADM,legacy,286,0.9440559440559441,0.6823694705963135,0.6874980330467224
0.1,1,tiny::SD15,legacy,286,0.9195804195804196,0.6105008125305176,0.6111158132553101
0.1,2,mllm::Nano_Banana_2,modern,725,0.4262068965517241,0.4811747670173645,0.47275689244270325
0.1,2,qwen::GLM-Image,modern,100,0.33,0.45597216486930847,0.43410712480545044
0.1,2,qwen::Seedream-4.0,modern,100,0.26,0.4117540419101715,0.3846794664859772
0.1,2,qwen::nano-banana-2.0,modern,100,0.23,0.39247435331344604,0.3615630269050598
0.1,2,qwen::nano-banana-pro,modern,100,0.26,0.40126991271972656,0.3804768919944763
0.1,2,tiny::BigGAN,legacy,286,0.8006993006993007,0.6034608483314514,0.6131739616394043
0.1,2,tiny::VQDM,legacy,285,0.4456140350877193,0.4820783734321594,0.46643248200416565
0.1,3,qwen::FLUX.2-pro,modern,100,0.25,0.3995426595211029,0.4002481997013092
0.1,3,qwen::GPT-Image-1,modern,100,0.31,0.43580830097198486,0.419773668050766
0.1,3,qwen::GPT-Image-1.5,modern,100,0.24,0.4097658395767212,0.40519726276397705
0.1,3,qwen::HunyuanImage-3.0,modern,100,0.31,0.43590492010116577,0.4008951187133789
0.1,3,qwen::Seedream-4.5,modern,100,0.19,0.38172534108161926,0.3648735284805298
0.1,3,tiny::GLIDE,legacy,286,0.9755244755244755,0.678701639175415,0.6871305108070374
0.1,3,tiny::Wukong,legacy,285,0.8947368421052632,0.6528233289718628,0.6791394352912903
0.1,4,qwen::Imagen-4.0,modern,100,0.27,0.40955615043640137,0.39622288942337036
0.1,4,qwen::Imagen-4.0-Ultra,modern,100,0.25,0.4088784456253052,0.3962187170982361
0.1,4,qwen::Qwen-Image,modern,100,0.22,0.40229809284210205,0.38369783759117126
0.1,4,qwen::Qwen-Image-2.0-pro,modern,100,0.24,0.39541304111480713,0.3859594464302063
0.1,4,qwen::Seedream-5.0,modern,100,0.23,0.3895730972290039,0.3738142251968384
0.1,4,tiny::Midjourney,legacy,286,0.9475524475524476,0.703107476234436,0.7188719511032104
0.3,1,mllm::GPT_Image_2,modern,726,0.4738292011019284,0.47810930013656616,0.4862556755542755
0.3,1,qwen::FLUX.2_max,modern,100,0.18,0.33494776487350464,0.2996113896369934
0.3,1,qwen::GPT-Image-1,modern,100,0.26,0.3838619589805603,0.3623245060443878
0.3,1,qwen::GPT-Image-1.5,modern,100,0.22,0.36312538385391235,0.34562212228775024
0.3,1,qwen::Qwen-Image-2512,modern,100,0.26,0.37201011180877686,0.34115350246429443
0.3,1,qwen::gpt-image-2,modern,100,0.19,0.33838459849357605,0.30181360244750977
0.3,1,qwen::kling_v2_1,modern,100,0.25,0.37440192699432373,0.3304338753223419
0.3,1,tiny::ADM,legacy,286,0.916083916083916,0.73093581199646,0.7508449554443359
0.3,1,tiny::SD15,legacy,286,0.8391608391608392,0.6155490279197693,0.6180416941642761
0.3,2,mllm::Nano_Banana_2,modern,725,0.5186206896551724,0.5037304759025574,0.513416051864624
0.3,2,qwen::GLM-Image,modern,100,0.34,0.4451213479042053,0.40262895822525024
0.3,2,qwen::Seedream-4.0,modern,100,0.27,0.38361436128616333,0.33952075242996216
0.3,2,qwen::nano-banana-2.0,modern,100,0.23,0.36055541038513184,0.31650465726852417
0.3,2,qwen::nano-banana-pro,modern,100,0.26,0.3741796910762787,0.34277433156967163
0.3,2,tiny::BigGAN,legacy,286,0.8636363636363636,0.6756437420845032,0.6982413530349731
0.3,2,tiny::VQDM,legacy,285,0.3894736842105263,0.45641377568244934,0.4445667266845703
0.3,3,qwen::FLUX.2-pro,modern,100,0.28,0.36522093415260315,0.34436261653900146
0.3,3,qwen::GPT-Image-1,modern,100,0.32,0.4085156321525574,0.3796122074127197
0.3,3,qwen::GPT-Image-1.5,modern,100,0.24,0.3664240539073944,0.355653315782547
0.3,3,qwen::HunyuanImage-3.0,modern,100,0.31,0.41354575753211975,0.35686182975769043
0.3,3,qwen::Seedream-4.5,modern,100,0.19,0.33423396944999695,0.31012529134750366
0.3,3,tiny::GLIDE,legacy,286,0.972027972027972,0.7595482468605042,0.7757126092910767
0.3,3,tiny::Wukong,legacy,285,0.887719298245614,0.703840434551239,0.7430094480514526
0.3,4,qwen::Imagen-4.0,modern,100,0.29,0.37833312153816223,0.34721434116363525
0.3,4,qwen::Imagen-4.0-Ultra,modern,100,0.25,0.37833645939826965,0.3503240644931793
0.3,4,qwen::Qwen-Image,modern,100,0.22,0.36942559480667114,0.34145039319992065
0.3,4,qwen::Qwen-Image-2.0-pro,modern,100,0.25,0.36031338572502136,0.3437535762786865
0.3,4,qwen::Seedream-5.0,modern,100,0.21,0.3452491760253906,0.3087098002433777
0.3,4,tiny::Midjourney,legacy,286,0.9405594405594405,0.7595287561416626,0.795068621635437
