fold,generator_id,n,ai_recall_050,mean_p_ai,median_p_ai
1,mllm::GPT_Image_2,726,0.5413223140495868,0.5031972527503967,0.5304036736488342
1,qwen::FLUX.2_max,100,0.18,0.2813071012496948,0.2205803394317627
1,qwen::GPT-Image-1,100,0.28,0.33770298957824707,0.26303648948669434
1,qwen::GPT-Image-1.5,100,0.18,0.31232553720474243,0.2844371199607849
1,qwen::Qwen-Image-2512,100,0.25,0.3233392834663391,0.2806512415409088
1,qwen::gpt-image-2,100,0.21,0.2910792827606201,0.23275670409202576
1,qwen::kling_v2_1,100,0.26,0.3321602940559387,0.2611408233642578
1,tiny::ADM,286,0.8811188811188811,0.7709259986877441,0.8202924728393555
1,tiny::SD15,286,0.7727272727272727,0.6214616894721985,0.6316425204277039
2,mllm::Nano_Banana_2,725,0.5655172413793104,0.5186164975166321,0.545228123664856
2,qwen::GLM-Image,100,0.35,0.4216293394565582,0.34917324781417847
2,qwen::Seedream-4.0,100,0.25,0.3458482325077057,0.29677650332450867
2,qwen::nano-banana-2.0,100,0.25,0.3192199468612671,0.24740666151046753
2,qwen::nano-banana-pro,100,0.26,0.3380896747112274,0.2736947238445282
2,tiny::BigGAN,286,0.9055944055944056,0.7582578063011169,0.8009576797485352
2,tiny::VQDM,285,0.3929824561403509,0.4419698119163513,0.4280622899532318
3,qwen::FLUX.2-pro,100,0.26,0.3287128508090973,0.253937304019928
3,qwen::GPT-Image-1,100,0.3,0.3779969811439514,0.3355306386947632
3,qwen::GPT-Image-1.5,100,0.23,0.3224872648715973,0.2955986261367798
3,qwen::HunyuanImage-3.0,100,0.3,0.38694658875465393,0.3276168704032898
3,qwen::Seedream-4.5,100,0.2,0.2869836390018463,0.24018976092338562
3,tiny::GLIDE,286,0.9755244755244755,0.8353191614151001,0.8667029142379761
3,tiny::Wukong,285,0.8701754385964913,0.7548887133598328,0.815239429473877
4,qwen::Imagen-4.0,100,0.24,0.3362281918525696,0.28103336691856384
4,qwen::Imagen-4.0-Ultra,100,0.27,0.33960315585136414,0.29155826568603516
4,qwen::Qwen-Image,100,0.22,0.3305407762527466,0.2801792025566101
4,qwen::Qwen-Image-2.0-pro,100,0.22,0.3200746774673462,0.26825010776519775
4,qwen::Seedream-5.0,100,0.19,0.2943228483200073,0.20750071108341217
4,tiny::Midjourney,286,0.9230769230769231,0.7938796877861023,0.8526521921157837
