C,fold,real_domain,n,specificity,fpr,mean_p_ai
0.01,1,Tiny,250,0.124,0.876,0.5324347019195557
0.01,1,MLLM,113,0.8407079646017699,0.1592920353982301,0.45457887649536133
0.01,1,COCO,60,0.8833333333333333,0.11666666666666667,0.42824283242225647
0.01,1,Smartphone,500,0.994,0.006,0.39153680205345154
0.01,2,Tiny,250,0.288,0.712,0.5194745063781738
0.01,2,MLLM,113,0.7964601769911505,0.20353982300884957,0.4550974667072296
0.01,2,COCO,60,0.8833333333333333,0.11666666666666667,0.42676544189453125
0.01,2,Smartphone,500,0.988,0.012,0.3886808156967163
0.01,3,Tiny,250,0.24,0.76,0.517280638217926
0.01,3,MLLM,113,0.45132743362831856,0.5486725663716814,0.5056793093681335
0.01,3,COCO,60,0.9333333333333333,0.06666666666666667,0.4346747100353241
0.01,3,Smartphone,500,0.98,0.02,0.40637752413749695
0.01,4,Tiny,250,0.156,0.844,0.527489185333252
0.01,4,MLLM,113,0.6371681415929203,0.36283185840707965,0.49132010340690613
0.01,4,COCO,60,0.9333333333333333,0.06666666666666667,0.4319912791252136
0.01,4,Smartphone,500,0.988,0.012,0.3978657126426697
0.03,1,Tiny,250,0.264,0.736,0.5302183032035828
0.03,1,MLLM,113,0.7256637168141593,0.2743362831858407,0.4422197937965393
0.03,1,COCO,60,0.9333333333333333,0.06666666666666667,0.35506242513656616
0.03,1,Smartphone,500,0.99,0.01,0.30516669154167175
0.03,2,Tiny,250,0.432,0.568,0.5090817809104919
0.03,2,MLLM,113,0.7256637168141593,0.2743362831858407,0.4381704032421112
0.03,2,COCO,60,0.9333333333333333,0.06666666666666667,0.35217830538749695
0.03,2,Smartphone,500,0.988,0.012,0.29913410544395447
0.03,3,Tiny,250,0.376,0.624,0.5131738185882568
0.03,3,MLLM,113,0.3893805309734513,0.6106194690265486,0.5172117948532104
0.03,3,COCO,60,0.95,0.05,0.3608252704143524
0.03,3,Smartphone,500,0.978,0.022,0.31953299045562744
0.03,4,Tiny,250,0.3,0.7,0.525275468826294
0.03,4,MLLM,113,0.5663716814159292,0.4336283185840708,0.4982251226902008
0.03,4,COCO,60,0.9166666666666666,0.08333333333333333,0.3595062494277954
0.03,4,Smartphone,500,0.978,0.022,0.3104565143585205
0.1,1,Tiny,250,0.516,0.484,0.4840297996997833
0.1,1,MLLM,113,0.6814159292035398,0.3185840707964602,0.4401912987232208
0.1,1,COCO,60,0.9833333333333333,0.016666666666666666,0.2504903972148895
0.1,1,Smartphone,500,0.984,0.016,0.21202850341796875
0.1,2,Tiny,250,0.588,0.412,0.4621725380420685
0.1,2,MLLM,113,0.7079646017699115,0.2920353982300885,0.42159923911094666
0.1,2,COCO,60,0.95,0.05,0.2500591278076172
0.1,2,Smartphone,500,0.99,0.01,0.20315861701965332
0.1,3,Tiny,250,0.552,0.448,0.4763460159301758
0.1,3,MLLM,113,0.40707964601769914,0.5929203539823009,0.5182052254676819
0.1,3,COCO,60,0.9666666666666667,0.03333333333333333,0.2539818584918976
0.1,3,Smartphone,500,0.982,0.018,0.21914465725421906
0.1,4,Tiny,250,0.508,0.492,0.4847220182418823
