fold,real_domain,n,specificity,fpr,mean_p_ai,median_p_ai
1,Tiny,250,0.8,0.2,0.33187612891197205,0.3187660872936249
1,MLLM,113,0.6814159292035398,0.3185840707964602,0.39176613092422485,0.3742738962173462
1,COCO,60,0.9833333333333333,0.016666666666666666,0.0980253517627716,0.0715799331665039
1,Smartphone,500,0.982,0.018,0.09836169332265854,0.055942513048648834
2,Tiny,250,0.788,0.212,0.32103124260902405,0.2934092879295349
2,MLLM,113,0.7522123893805309,0.24778761061946902,0.3227144777774811,0.2899845242500305
2,COCO,60,0.9666666666666667,0.03333333333333333,0.11070673912763596,0.054862622171640396
2,Smartphone,500,0.984,0.016,0.08918971568346024,0.04961496591567993
3,Tiny,250,0.764,0.236,0.348565012216568,0.3240151107311249
3,MLLM,113,0.5752212389380531,0.4247787610619469,0.4400371313095093,0.4456832706928253
3,COCO,60,0.9833333333333333,0.016666666666666666,0.10431208461523056,0.06386332213878632
3,Smartphone,500,0.98,0.02,0.09692072868347168,0.05222158879041672
4,Tiny,250,0.752,0.248,0.3424469232559204,0.3243204355239868
4,MLLM,113,0.6106194690265486,0.3893805309734513,0.42127934098243713,0.41756337881088257
4,COCO,60,0.9833333333333333,0.016666666666666666,0.11168769747018814,0.07211121916770935
4,Smartphone,500,0.98,0.02,0.09573327749967575,0.05324135720729828
