architecture,fold,generator_id,n,ai_recall_050,mean_p_ai
MLP-A,1,mllm::GPT_Image_2,726,0.5454545454545454,0.5381602644920349
MLP-A,1,qwen::FLUX.2_max,100,0.09,0.13101957738399506
MLP-A,1,qwen::GPT-Image-1,100,0.22,0.23416833579540253
MLP-A,1,qwen::GPT-Image-1.5,100,0.18,0.20790401101112366
MLP-A,1,qwen::Qwen-Image-2512,100,0.21,0.22719664871692657
MLP-A,1,qwen::gpt-image-2,100,0.17,0.16496548056602478
MLP-A,1,qwen::kling_v2_1,100,0.18,0.20462451875209808
MLP-A,1,tiny::ADM,286,0.8776223776223776,0.8595330119132996
MLP-A,1,tiny::SD15,286,0.6608391608391608,0.6448604464530945
MLP-A,2,mllm::Nano_Banana_2,725,0.48137931034482756,0.4865875840187073
MLP-A,2,qwen::GLM-Image,100,0.38,0.3566514551639557
MLP-A,2,qwen::Seedream-4.0,100,0.25,0.26344624161720276
MLP-A,2,qwen::nano-banana-2.0,100,0.19,0.2246597856283188
MLP-A,2,qwen::nano-banana-pro,100,0.21,0.23793533444404602
MLP-A,2,tiny::BigGAN,286,0.9020979020979021,0.8589992523193359
MLP-A,2,tiny::VQDM,285,0.43157894736842106,0.43329453468322754
MLP-A,3,qwen::FLUX.2-pro,100,0.23,0.2388254702091217
MLP-A,3,qwen::GPT-Image-1,100,0.27,0.2889796495437622
MLP-A,3,qwen::GPT-Image-1.5,100,0.22,0.22127515077590942
MLP-A,3,qwen::HunyuanImage-3.0,100,0.3,0.32439976930618286
MLP-A,3,qwen::Seedream-4.5,100,0.15,0.1726713329553604
MLP-A,3,tiny::GLIDE,286,0.9790209790209791,0.9452435970306396
MLP-A,3,tiny::Wukong,285,0.8631578947368421,0.830064058303833
MLP-A,4,qwen::Imagen-4.0,100,0.28,0.32565271854400635
MLP-A,4,qwen::Imagen-4.0-Ultra,100,0.28,0.33710843324661255
MLP-A,4,qwen::Qwen-Image,100,0.23,0.31824055314064026
MLP-A,4,qwen::Qwen-Image-2.0-pro,100,0.24,0.3046894371509552
MLP-A,4,qwen::Seedream-5.0,100,0.18,0.2757374942302704
MLP-A,4,tiny::Midjourney,286,0.9090909090909091,0.8278618454933167
MLP-B,1,mllm::GPT_Image_2,726,0.5977961432506887,0.5927253365516663
MLP-B,1,qwen::FLUX.2_max,100,0.14,0.14200730621814728
MLP-B,1,qwen::GPT-Image-1,100,0.23,0.23753376305103302
MLP-B,1,qwen::GPT-Image-1.5,100,0.22,0.22444835305213928
MLP-B,1,qwen::Qwen-Image-2512,100,0.22,0.22466640174388885
MLP-B,1,qwen::gpt-image-2,100,0.14,0.14871670305728912
MLP-B,1,qwen::kling_v2_1,100,0.23,0.23027367889881134
MLP-B,1,tiny::ADM,286,0.8356643356643356,0.8370035290718079
MLP-B,1,tiny::SD15,286,0.6118881118881119,0.608386218547821
MLP-B,2,mllm::Nano_Banana_2,725,0.4262068965517241,0.4213251769542694
MLP-B,2,qwen::GLM-Image,100,0.31,0.3102695047855377
MLP-B,2,qwen::Seedream-4.0,100,0.25,0.26676180958747864
MLP-B,2,qwen::nano-banana-2.0,100,0.21,0.2110755890607834
MLP-B,2,qwen::nano-banana-pro,100,0.22,0.23120802640914917
MLP-B,2,tiny::BigGAN,286,0.9265734265734266,0.9117530584335327
MLP-B,2,tiny::VQDM,285,0.44912280701754387,0.4316291809082031
MLP-B,3,qwen::FLUX.2-pro,100,0.2,0.20736828446388245
MLP-B,3,qwen::GPT-Image-1,100,0.25,0.25573039054870605
MLP-B,3,qwen::GPT-Image-1.5,100,0.19,0.18468686938285828
MLP-B,3,qwen::HunyuanImage-3.0,100,0.3,0.3059055209159851
MLP-B,3,qwen::Seedream-4.5,100,0.11,0.12846852838993073
MLP-B,3,tiny::GLIDE,286,0.972027972027972,0.9651445746421814
MLP-B,3,tiny::Wukong,285,0.8736842105263158,0.8636440634727478
MLP-B,4,qwen::Imagen-4.0,100,0.33,0.42107120156288147
MLP-B,4,qwen::Imagen-4.0-Ultra,100,0.39,0.4345245659351349
MLP-B,4,qwen::Qwen-Image,100,0.38,0.41373834013938904
MLP-B,4,qwen::Qwen-Image-2.0-pro,100,0.35,0.399976909160614
MLP-B,4,qwen::Seedream-5.0,100,0.36,0.3600809574127197
MLP-B,4,tiny::Midjourney,286,0.951048951048951,0.8940333724021912
