architecture,fold,real_domain,specificity
MLP-A,1,Tiny,0.9
MLP-A,1,MLLM,0.8761061946902655
MLP-A,1,COCO,1.0
MLP-A,1,Smartphone,0.984
MLP-A,2,Tiny,0.904
MLP-A,2,MLLM,0.8584070796460177
MLP-A,2,COCO,0.9833333333333333
MLP-A,2,Smartphone,0.984
MLP-A,3,Tiny,0.924
MLP-A,3,MLLM,0.7522123893805309
MLP-A,3,COCO,1.0
MLP-A,3,Smartphone,0.98
MLP-A,4,Tiny,0.812
MLP-A,4,MLLM,0.6194690265486725
MLP-A,4,COCO,0.9833333333333333
MLP-A,4,Smartphone,0.986
MLP-B,1,Tiny,0.92
MLP-B,1,MLLM,0.8495575221238938
MLP-B,1,COCO,0.9833333333333333
MLP-B,1,Smartphone,0.992
MLP-B,2,Tiny,0.912
MLP-B,2,MLLM,0.9292035398230089
MLP-B,2,COCO,0.9833333333333333
MLP-B,2,Smartphone,0.988
MLP-B,3,Tiny,0.952
MLP-B,3,MLLM,0.8495575221238938
MLP-B,3,COCO,1.0
MLP-B,3,Smartphone,0.996
MLP-B,4,Tiny,0.684
MLP-B,4,MLLM,0.49557522123893805
MLP-B,4,COCO,0.95
MLP-B,4,Smartphone,0.96
