architecture,fold,epoch,train_loss,val_loss,val_roc_auc,val_ap,ai_recall,real_specificity,mllm_specificity,smartphone_specificity,tiny_specificity,coco_specificity,worst_domain_specificity
MLP-A,1,1,0.810585192543395,1.4500709772109985,0.7509843856851084,0.8529644084215824,0.48893572181243417,0.7865655471289275,0.6283185840707964,0.982,0.428,0.95,0.428
MLP-A,1,2,0.49697931523018696,1.6140145063400269,0.8049806091146865,0.8868102028222633,0.530031612223393,0.8743228602383532,0.5398230088495575,0.986,0.776,0.9833333333333333,0.5398230088495575
MLP-A,1,3,0.3911082058193836,1.8871604204177856,0.8202167532225859,0.8979187179597733,0.47892518440463644,0.9089924160346695,0.6902654867256637,0.986,0.836,0.9833333333333333,0.6902654867256637
MLP-A,1,4,0.34176418454723156,1.9271645545959473,0.8240498352031619,0.9035740867140516,0.5216016859852476,0.8970747562296858,0.584070796460177,0.984,0.84,1.0,0.584070796460177
MLP-A,1,5,0.3122168814248227,2.1712310314178467,0.8281089634181845,0.9069108183823975,0.49262381454162274,0.9165763813651138,0.672566371681416,0.986,0.868,1.0,0.672566371681416
MLP-A,1,6,0.288367527120925,2.197282552719116,0.8246001093698448,0.9073255744317317,0.523709167544784,0.9068255687973997,0.6460176991150443,0.986,0.844,1.0,0.6460176991150443
MLP-A,1,7,0.27182947765005394,2.059312343597412,0.8266710582046221,0.909158458931657,0.5758693361433087,0.8884073672806068,0.6460176991150443,0.982,0.784,1.0,0.6460176991150443
MLP-A,1,8,0.25703967814432815,2.322307586669922,0.8283978002733106,0.9111048705970062,0.5363540569020021,0.9122426868905742,0.6814159292035398,0.98,0.86,1.0,0.6814159292035398
MLP-A,1,9,0.2437390497231737,2.288698673248291,0.8222311904987515,0.9084019311156711,0.571127502634352,0.8916576381365113,0.6814159292035398,0.98,0.784,1.0,0.6814159292035398
MLP-A,1,10,0.2342737115761067,2.6216909885406494,0.8288170703723028,0.9118121023412094,0.5147523709167545,0.9241603466955579,0.7168141592920354,0.984,0.88,1.0,0.7168141592920354
MLP-A,1,11,0.22365039555316277,2.5268383026123047,0.8246229423228192,0.9099135009230529,0.5484720758693361,0.9068255687973997,0.7168141592920354,0.982,0.82,1.0,0.7168141592920354
MLP-A,1,12,0.21809228485886087,2.806159496307373,0.829983548857382,0.9125516352520343,0.5105374077976818,0.9230769230769231,0.6991150442477876,0.986,0.88,1.0,0.6991150442477876
MLP-A,1,13,0.20430956154744676,2.81046199798584,0.8311691499405772,0.9137892160177833,0.5210748155953635,0.9230769230769231,0.7168141592920354,0.984,0.876,1.0,0.7168141592920354
MLP-A,1,14,0.20122098106336087,3.0371408462524414,0.8322308822538864,0.9145454260697035,0.4905163329820864,0.9404117009750813,0.7610619469026548,0.988,0.912,1.0,0.7610619469026548
MLP-A,1,15,0.19271052184891194,3.073125123977661,0.8337761023464284,0.9148953029712867,0.48788198103266595,0.9393282773564464,0.7699115044247787,0.988,0.904,1.0,0.7699115044247787
MLP-A,1,16,0.1868288442492485,3.044642210006714,0.8282790689178436,0.9124313192317877,0.5152792413066386,0.9317443120260022,0.7876106194690266,0.984,0.876,1.0,0.7876106194690266
MLP-A,1,17,0.1796641340281101,2.937483072280884,0.8320562101636324,0.9151698660181296,0.535827186512118,0.9209100758396533,0.7433628318584071,0.976,0.872,1.0,0.7433628318584071
MLP-A,1,18,0.1747801165948523,3.4918954372406006,0.8313677966314544,0.9139275789786017,0.46522655426765014,0.952329360780065,0.831858407079646,0.992,0.916,1.0,0.831858407079646
MLP-A,1,19,0.16876942236372766,3.3219311237335205,0.8327674566487847,0.9147741691291912,0.4931506849315068,0.9382448537378115,0.7699115044247787,0.986,0.904,1.0,0.7699115044247787
MLP-A,1,20,0.16191386205560349,3.369598388671875,0.82982485983421,0.9139563705568791,0.5010537407797682,0.9360780065005417,0.7699115044247787,0.986,0.896,1.0,0.7699115044247787
MLP-A,1,21,0.15948735637233613,3.1729986667633057,0.8326241798688704,0.9158268992992759,0.5347734457323499,0.9241603466955579,0.7522123893805309,0.98,0.872,1.0,0.7522123893805309
MLP-A,1,22,0.1506264347662317,3.399528980255127,0.8346103613657303,0.9165821704608763,0.5052687038988409,0.9382448537378115,0.8053097345132744,0.982,0.896,1.0,0.8053097345132744
MLP-A,1,23,0.14688451425667773,3.379286766052246,0.8321606709234903,0.9153826899856267,0.5226554267650158,0.9295774647887324,0.7876106194690266,0.984,0.868,1.0,0.7876106194690266
MLP-A,1,24,0.14901966304379574,3.9622802734375,0.8338731423965696,0.9159169704759274,0.44625922023182296,0.9577464788732394,0.8584070796460177,0.99,0.928,1.0,0.8584070796460177
MLP-A,1,25,0.1415607555511784,3.7862088680267334,0.830799256102392,0.914432355999956,0.47997892518440466,0.9469122426868906,0.831858407079646,0.986,0.908,1.0,0.831858407079646
MLP-A,1,26,0.13617861603802822,3.6760361194610596,0.8320145400244542,0.915404725435023,0.5036880927291886,0.9404117009750813,0.8053097345132744,0.984,0.9,1.0,0.8053097345132744
MLP-A,1,27,0.12933666542410216,3.912821054458618,0.8333576884831727,0.9156222528003517,0.4768177028451001,0.9436619718309859,0.7964601769911505,0.984,0.916,1.0,0.7964601769911505
MLP-A,1,28,0.12925487269270927,3.5832948684692383,0.8317011577448805,0.9148693384586394,0.5305584826132771,0.9295774647887324,0.7964601769911505,0.984,0.868,0.9833333333333333,0.7964601769911505
MLP-A,1,29,0.12542205961777808,4.003779411315918,0.8324318122400611,0.915425951988647,0.4768177028451001,0.9469122426868906,0.8495575221238938,0.984,0.904,1.0,0.8495575221238938
MLP-A,1,30,0.11954332374908189,3.8343698978424072,0.833434178875637,0.9162968321875802,0.5094836670179136,0.9382448537378115,0.7964601769911505,0.984,0.896,1.0,0.7964601769911505
MLP-A,1,31,0.11526262007178144,3.995419979095459,0.8342281948153213,0.9163202554067862,0.4905163329820864,0.9414951245937161,0.8141592920353983,0.984,0.9,1.0,0.8141592920353983
